symbol,earnings_date,fiscal_period,timing
AAPL,2023-02-02,AAPL_Q1FY2023,AMC
AAPL,2023-05-04,AAPL_Q2FY2023,AMC
AAPL,2023-08-03,AAPL_Q3FY2023,BMO
AAPL,2023-11-02,AAPL_Q4FY2023,AMC
AAPL,2024-02-01,AAPL_Q1FY2024,AMC
AAPL,2024-05-02,AAPL_Q2FY2024,BMO
AAPL,2024-08-01,AAPL_Q3FY2024,AMC
AAPL,2024-10-31,AAPL_Q4FY2024,AMC
MSFT,2023-02-02,MSFT_Q1FY2023,AMC
MSFT,2023-05-04,MSFT_Q2FY2023,AMC
MSFT,2023-08-03,MSFT_Q3FY2023,AMC
MSFT,2023-11-02,MSFT_Q4FY2023,BMO
MSFT,2024-02-01,MSFT_Q1FY2024,AMC
MSFT,2024-05-02,MSFT_Q2FY2024,BMO
MSFT,2024-08-01,MSFT_Q3FY2024,BMO
MSFT,2024-10-31,MSFT_Q4FY2024,AMC
NVDA,2023-02-02,NVDA_Q1FY2023,AMC
NVDA,2023-05-04,NVDA_Q2FY2023,BMO
NVDA,2023-08-03,NVDA_Q3FY2023,BMO
NVDA,2023-11-02,NVDA_Q4FY2023,AMC
NVDA,2024-02-01,NVDA_Q1FY2024,BMO
NVDA,2024-05-02,NVDA_Q2FY2024,BMO
NVDA,2024-08-01,NVDA_Q3FY2024,BMO
NVDA,2024-10-31,NVDA_Q4FY2024,BMO
GOOGL,2023-02-02,GOOGL_Q1FY2023,BMO
GOOGL,2023-05-04,GOOGL_Q2FY2023,BMO
GOOGL,2023-08-03,GOOGL_Q3FY2023,AMC
GOOGL,2023-11-02,GOOGL_Q4FY2023,BMO
GOOGL,2024-02-01,GOOGL_Q1FY2024,AMC
GOOGL,2024-05-02,GOOGL_Q2FY2024,AMC
GOOGL,2024-08-01,GOOGL_Q3FY2024,BMO
GOOGL,2024-10-31,GOOGL_Q4FY2024,AMC
META,2023-02-02,META_Q1FY2023,AMC
META,2023-05-04,META_Q2FY2023,AMC
META,2023-08-03,META_Q3FY2023,BMO
META,2023-11-02,META_Q4FY2023,BMO
META,2024-02-01,META_Q1FY2024,BMO
META,2024-05-02,META_Q2FY2024,BMO
META,2024-08-01,META_Q3FY2024,AMC
META,2024-10-31,META_Q4FY2024,BMO
AMZN,2023-02-02,AMZN_Q1FY2023,BMO
AMZN,2023-05-04,AMZN_Q2FY2023,AMC
AMZN,2023-08-03,AMZN_Q3FY2023,BMO
AMZN,2023-11-02,AMZN_Q4FY2023,BMO
AMZN,2024-02-01,AMZN_Q1FY2024,BMO
AMZN,2024-05-02,AMZN_Q2FY2024,AMC
AMZN,2024-08-01,AMZN_Q3FY2024,BMO
AMZN,2024-10-31,AMZN_Q4FY2024,AMC
AVGO,2023-02-02,AVGO_Q1FY2023,AMC
AVGO,2023-05-04,AVGO_Q2FY2023,AMC
AVGO,2023-08-03,AVGO_Q3FY2023,AMC
AVGO,2023-11-02,AVGO_Q4FY2023,AMC
AVGO,2024-02-01,AVGO_Q1FY2024,BMO
AVGO,2024-05-02,AVGO_Q2FY2024,AMC
AVGO,2024-08-01,AVGO_Q3FY2024,AMC
AVGO,2024-10-31,AVGO_Q4FY2024,AMC
LLY,2023-02-02,LLY_Q1FY2023,BMO
LLY,2023-05-04,LLY_Q2FY2023,AMC
LLY,2023-08-03,LLY_Q3FY2023,AMC
LLY,2023-11-02,LLY_Q4FY2023,BMO
LLY,2024-02-01,LLY_Q1FY2024,AMC
LLY,2024-05-02,LLY_Q2FY2024,AMC
LLY,2024-08-01,LLY_Q3FY2024,BMO
LLY,2024-10-31,LLY_Q4FY2024,AMC
JPM,2023-02-02,JPM_Q1FY2023,BMO
JPM,2023-05-04,JPM_Q2FY2023,AMC
JPM,2023-08-03,JPM_Q3FY2023,AMC
JPM,2023-11-02,JPM_Q4FY2023,AMC
JPM,2024-02-01,JPM_Q1FY2024,BMO
JPM,2024-05-02,JPM_Q2FY2024,BMO
JPM,2024-08-01,JPM_Q3FY2024,BMO
JPM,2024-10-31,JPM_Q4FY2024,BMO
UNH,2023-02-02,UNH_Q1FY2023,AMC
UNH,2023-05-04,UNH_Q2FY2023,BMO
UNH,2023-08-03,UNH_Q3FY2023,BMO
UNH,2023-11-02,UNH_Q4FY2023,BMO
UNH,2024-02-01,UNH_Q1FY2024,AMC
UNH,2024-05-02,UNH_Q2FY2024,AMC
UNH,2024-08-01,UNH_Q3FY2024,AMC
UNH,2024-10-31,UNH_Q4FY2024,AMC
XOM,2023-02-02,XOM_Q1FY2023,AMC
XOM,2023-05-04,XOM_Q2FY2023,BMO
XOM,2023-08-03,XOM_Q3FY2023,BMO
XOM,2023-11-02,XOM_Q4FY2023,AMC
XOM,2024-02-01,XOM_Q1FY2024,AMC
XOM,2024-05-02,XOM_Q2FY2024,BMO
XOM,2024-08-01,XOM_Q3FY2024,AMC
XOM,2024-10-31,XOM_Q4FY2024,AMC
V,2023-02-02,V_Q1FY2023,BMO
V,2023-05-04,V_Q2FY2023,AMC
V,2023-08-03,V_Q3FY2023,AMC
V,2023-11-02,V_Q4FY2023,AMC
V,2024-02-01,V_Q1FY2024,AMC
V,2024-05-02,V_Q2FY2024,BMO
V,2024-08-01,V_Q3FY2024,AMC
V,2024-10-31,V_Q4FY2024,BMO
MA,2023-02-02,MA_Q1FY2023,AMC
MA,2023-05-04,MA_Q2FY2023,AMC
MA,2023-08-03,MA_Q3FY2023,AMC
MA,2023-11-02,MA_Q4FY2023,BMO
MA,2024-02-01,MA_Q1FY2024,AMC
MA,2024-05-02,MA_Q2FY2024,AMC
MA,2024-08-01,MA_Q3FY2024,AMC
MA,2024-10-31,MA_Q4FY2024,BMO
HD,2023-02-02,HD_Q1FY2023,AMC
HD,2023-05-04,HD_Q2FY2023,BMO
HD,2023-08-03,HD_Q3FY2023,BMO
HD,2023-11-02,HD_Q4FY2023,AMC
HD,2024-02-01,HD_Q1FY2024,BMO
HD,2024-05-02,HD_Q2FY2024,BMO
HD,2024-08-01,HD_Q3FY2024,AMC
HD,2024-10-31,HD_Q4FY2024,BMO
PG,2023-02-02,PG_Q1FY2023,AMC
PG,2023-05-04,PG_Q2FY2023,BMO
PG,2023-08-03,PG_Q3FY2023,BMO
PG,2023-11-02,PG_Q4FY2023,AMC
PG,2024-02-01,PG_Q1FY2024,AMC
PG,2024-05-02,PG_Q2FY2024,AMC
PG,2024-08-01,PG_Q3FY2024,BMO
PG,2024-10-31,PG_Q4FY2024,AMC
COST,2023-02-02,COST_Q1FY2023,AMC
COST,2023-05-04,COST_Q2FY2023,AMC
COST,2023-08-03,COST_Q3FY2023,AMC
COST,2023-11-02,COST_Q4FY2023,AMC
COST,2024-02-01,COST_Q1FY2024,AMC
COST,2024-05-02,COST_Q2FY2024,AMC
COST,2024-08-01,COST_Q3FY2024,BMO
COST,2024-10-31,COST_Q4FY2024,AMC
ABBV,2023-02-02,ABBV_Q1FY2023,BMO
ABBV,2023-05-04,ABBV_Q2FY2023,BMO
ABBV,2023-08-03,ABBV_Q3FY2023,AMC
ABBV,2023-11-02,ABBV_Q4FY2023,BMO
ABBV,2024-02-01,ABBV_Q1FY2024,BMO
ABBV,2024-05-02,ABBV_Q2FY2024,BMO
ABBV,2024-08-01,ABBV_Q3FY2024,BMO
ABBV,2024-10-31,ABBV_Q4FY2024,BMO
MRK,2023-02-02,MRK_Q1FY2023,BMO
MRK,2023-05-04,MRK_Q2FY2023,BMO
MRK,2023-08-03,MRK_Q3FY2023,BMO
MRK,2023-11-02,MRK_Q4FY2023,BMO
MRK,2024-02-01,MRK_Q1FY2024,BMO
MRK,2024-05-02,MRK_Q2FY2024,AMC
MRK,2024-08-01,MRK_Q3FY2024,BMO
MRK,2024-10-31,MRK_Q4FY2024,BMO
CVX,2023-02-02,CVX_Q1FY2023,AMC
CVX,2023-05-04,CVX_Q2FY2023,AMC
CVX,2023-08-03,CVX_Q3FY2023,AMC
CVX,2023-11-02,CVX_Q4FY2023,BMO
CVX,2024-02-01,CVX_Q1FY2024,BMO
CVX,2024-05-02,CVX_Q2FY2024,BMO
CVX,2024-08-01,CVX_Q3FY2024,AMC
CVX,2024-10-31,CVX_Q4FY2024,BMO
CRM,2023-02-02,CRM_Q1FY2023,BMO
CRM,2023-05-04,CRM_Q2FY2023,AMC
CRM,2023-08-03,CRM_Q3FY2023,AMC
