symbol,period_end_date,filing_date,available_date,market_cap,revenue_growth_yoy,gross_margin,roic,fcf_positive,buyback_yield,fcf_yield,debt_to_equity,turnaround_flag,rs_rank_improving,sector,industry,security_type,delisting_date
AAPL,2023-09-30,2023-11-05,2023-11-06,459000000000,0.019,0.33,0.254,True,0.0239,0.0292,1.53,False,True,Energy,Software,COMMON,
MSFT,2023-09-30,2023-11-05,2023-11-06,2796000000000,0.274,0.591,0.211,True,0.0107,0.042,0.37,False,True,Industrials,Retail,COMMON,
NVDA,2023-09-30,2023-11-05,2023-11-06,1088000000000,0.387,0.631,0.202,True,0.0043,0.0413,2.12,False,True,Financials,Semiconductors,COMMON,
GOOGL,2023-09-30,2023-11-05,2023-11-06,2219000000000,0.379,0.711,0.326,True,0.024,0.0344,0.37,False,False,Financials,Semiconductors,COMMON,
META,2023-09-30,2023-11-05,2023-11-06,247000000000,0.058,0.534,0.074,True,0.0293,0.0508,2.45,False,True,Industrials,Biotech,COMMON,
AMZN,2023-09-30,2023-11-05,2023-11-06,2261000000000,0.024,0.514,0.232,True,0.0386,0.0564,1.91,False,False,Consumer Discretionary,Retail,COMMON,
AVGO,2023-09-30,2023-11-05,2023-11-06,2671000000000,0.118,0.7,0.185,True,0.0099,0.0132,0.15,False,False,Technology,Software,COMMON,
LLY,2023-09-30,2023-11-05,2023-11-06,2909000000000,0.234,0.364,0.322,True,0.0344,0.0135,0.67,False,True,Healthcare,Retail,COMMON,
JPM,2023-09-30,2023-11-05,2023-11-06,2348000000000,0.209,0.371,0.192,True,0.0163,0.0147,1.68,False,True,Industrials,Software,COMMON,
UNH,2023-09-30,2023-11-05,2023-11-06,2768000000000,0.244,0.573,0.068,True,0.0291,0.05,0.36,False,False,Healthcare,Biotech,COMMON,
XOM,2023-09-30,2023-11-05,2023-11-06,761000000000,0.075,0.375,0.327,True,0.0177,0.0531,1.42,True,False,Technology,Software,COMMON,
V,2023-09-30,2023-11-05,2023-11-06,978000000000,0.025,0.493,0.114,True,0.016,0.0129,1.01,False,True,Consumer Discretionary,Banks,COMMON,
MA,2023-09-30,2023-11-05,2023-11-06,1742000000000,0.263,0.615,0.285,True,0.0265,0.0343,0.56,False,True,Industrials,Oil & Gas,COMMON,
HD,2023-09-30,2023-11-05,2023-11-06,259000000000,0.287,0.279,0.225,True,0.0201,0.0526,0.48,False,True,Healthcare,Software,COMMON,
PG,2023-09-30,2023-11-05,2023-11-06,2447000000000,-0.019,0.681,0.171,True,0.0377,0.0385,1.49,True,True,Industrials,Oil & Gas,COMMON,
COST,2023-09-30,2023-11-05,2023-11-06,2325000000000,0.185,0.717,0.111,True,0.0286,0.0219,1.05,False,True,Financials,Software,COMMON,
ABBV,2023-09-30,2023-11-05,2023-11-06,48000000000,0.156,0.749,0.349,True,0.0029,0.0207,0.74,False,False,Healthcare,Banks,COMMON,
MRK,2023-09-30,2023-11-05,2023-11-06,1177000000000,0.021,0.667,0.261,True,0.0245,0.0594,1.67,True,False,Financials,Retail,COMMON,
CVX,2023-09-30,2023-11-05,2023-11-06,434000000000,0.373,0.317,0.085,True,0.0043,0.0377,0.75,False,False,Healthcare,Retail,COMMON,
CRM,2023-09-30,2023-11-05,2023-11-06,2607000000000,0.334,0.503,0.125,True,0.0363,0.0125,1.62,False,True,Financials,Semiconductors,COMMON,
ANET,2023-09-30,2023-11-05,2023-11-06,2619000000000,0.391,0.331,0.183,True,0.0282,0.038,0.37,False,False,Healthcare,Oil & Gas,COMMON,
PANW,2023-09-30,2023-11-05,2023-11-06,157000000000,0.326,0.541,0.094,True,0.0051,0.0254,2.26,False,False,Financials,Semiconductors,COMMON,
DXCM,2023-09-30,2023-11-05,2023-11-06,2803000000000,0.062,0.301,0.284,True,0.0354,0.0303,1.59,False,False,Healthcare,Semiconductors,COMMON,
ENPH,2023-09-30,2023-11-05,2023-11-06,1698000000000,-0.039,0.618,0.15,True,0.0372,0.0501,2.17,False,True,Industrials,Software,COMMON,
AXON,2023-09-30,2023-11-05,2023-11-06,1576000000000,0.342,0.679,0.117,True,0.0327,0.033,0.83,False,True,Technology,Retail,COMMON,
CRWD,2023-09-30,2023-11-05,2023-11-06,801000000000,0.129,0.389,0.071,True,0.0309,0.0276,1.32,False,False,Financials,Software,COMMON,
SMCI,2023-09-30,2023-11-05,2023-11-06,482000000000,0.345,0.381,0.224,True,0.0393,0.0119,1.53,False,False,Consumer Discretionary,Oil & Gas,COMMON,
ARM,2023-09-30,2023-11-05,2023-11-06,2104000000000,0.002,0.7,0.107,True,0.0018,0.0318,1.35,False,False,Industrials,Retail,COMMON,
APP,2023-09-30,2023-11-05,2023-11-06,2756000000000,0.039,0.466,0.335,True,0.0368,0.0412,1.69,True,False,Energy,Banks,COMMON,
CELH,2023-09-30,2023-11-05,2023-11-06,2741000000000,0.134,0.451,0.139,True,0.0051,0.031,2.36,False,False,Energy,Oil & Gas,COMMON,
