date,pct_above_50dma,pct_above_200dma,nh_nl_ratio,mclellan,hy_spread,hy_spread_60d_avg,hy_spread_20d_delta,hy_oas_20d_change_bp,yield_10y_3m_bp
2022-01-03,0.595,0.591,0.943,0.4,262.1,400.0,45.3,-11.0,158.7
2022-01-04,0.639,0.711,-0.036,-3.8,385.2,400.0,-29.5,-11.3,87.9
2022-01-05,0.635,0.513,-0.16,6.5,275.6,400.0,-38.2,-4.3,32.5
2022-01-06,0.701,0.484,0.413,-42.8,447.2,400.0,-33.8,-14.3,59.9
2022-01-07,0.464,0.64,0.027,45.9,420.6,400.0,19.8,3.1,-46.3
2022-01-10,0.415,0.801,0.37,-34.7,350.0,400.0,-23.6,-22.7,-55.0
2022-01-11,0.816,0.819,0.497,-8.9,448.6,400.0,3.9,5.3,79.0
2022-01-12,0.761,0.697,0.421,64.8,469.9,400.0,9.9,-0.4,46.9
2022-01-13,0.696,0.734,-0.029,18.5,400.9,400.0,-3.5,24.8,76.9
2022-01-14,0.611,0.678,-0.36,48.1,386.1,400.0,-9.6,19.5,26.5
2022-01-18,0.449,0.638,0.595,6.1,395.8,400.0,-6.5,-15.9,282.7
2022-01-19,0.669,0.506,-0.296,52.1,507.3,400.0,-26.1,-0.3,127.5
2022-01-20,0.463,0.793,0.711,28.6,404.6,400.0,16.2,4.9,104.0
2022-01-21,0.755,0.599,0.061,-73.1,434.7,400.0,22.0,-9.1,206.5
2022-01-24,0.411,0.749,0.02,-52.2,516.6,400.0,4.1,-13.6,274.3
2022-01-25,0.6,0.646,-0.054,-29.4,341.6,400.0,-17.2,3.6,-3.0
2022-01-26,0.697,0.535,0.123,7.2,250.0,400.0,-1.2,9.9,128.8
2022-01-27,0.663,0.551,-0.092,-28.9,405.7,400.0,-4.0,0.5,68.1
2022-01-28,0.744,0.581,0.234,57.2,441.5,400.0,-11.9,-2.6,146.6
2022-01-31,0.46,0.663,0.077,32.2,348.8,400.0,0.5,-2.8,114.6
2022-02-01,0.69,0.792,-0.226,4.6,430.6,400.0,-5.7,-17.0,32.5
2022-02-02,0.552,0.735,-0.185,16.1,478.4,400.0,22.7,10.5,180.0
2022-02-03,0.622,0.555,0.011,69.8,294.6,400.0,-18.2,3.1,94.8
2022-02-04,0.32,0.492,-0.557,-51.2,339.1,400.0,-4.4,1.9,128.5
2022-02-07,0.758,0.731,-0.374,46.6,422.6,400.0,-17.3,7.2,168.2
2022-02-08,0.45,0.882,0.476,23.4,341.6,400.0,-1.0,39.5,167.6
2022-02-09,0.648,0.765,0.464,123.3,371.7,400.0,5.1,28.3,57.5
2022-02-10,0.802,0.894,0.381,55.8,420.5,400.0,-5.3,6.8,76.6
