date,open,high,low,close,volume
2022-01-03,266.59,267.38,264.74,265.95,4310925
2022-01-04,265.95,265.96,264.53,265.76,8403798
2022-01-05,265.76,266.66,265.06,265.98,11342342
2022-01-06,265.98,270.38,265.98,269.89,10189290
2022-01-07,269.89,269.89,266.01,266.72,6669709
2022-01-10,266.72,266.72,261.58,263.18,11572052
2022-01-11,263.18,268.36,263.18,268.25,6234346
2022-01-12,268.25,268.25,266.25,266.28,8806900
2022-01-13,266.28,266.28,260.64,261.05,11533156
2022-01-14,261.05,261.05,258.86,259.04,10693697
2022-01-18,259.04,259.04,256.21,257.66,6783368
2022-01-19,257.66,264.33,257.66,263.93,14346230
2022-01-20,263.93,269.57,263.93,267.72,9199666
2022-01-21,267.72,272.98,267.72,272.5,11961433
2022-01-24,272.5,278.03,272.5,275.95,16381126
2022-01-25,275.95,280.61,275.95,280.0,13894563
2022-01-26,280.0,280.0,276.67,276.96,13909070
2022-01-27,276.96,277.29,275.28,276.06,9598064
2022-01-28,276.06,276.06,271.59,271.79,12207658
2022-01-31,271.79,271.79,268.38,270.85,9678704
2022-02-01,270.85,275.43,270.85,273.71,5478107
2022-02-02,273.71,274.53,271.02,274.23,10030063
2022-02-03,274.23,280.97,274.23,279.84,9845690
2022-02-04,279.84,279.84,274.57,274.86,11223178
2022-02-07,274.86,278.77,274.86,276.97,8442602
2022-02-08,276.97,276.97,269.63,271.58,6552896
2022-02-09,271.58,274.26,270.59,271.94,11554695
2022-02-10,271.94,275.22,271.94,275.04,5255002
2022-02-11,275.04,275.41,273.54,274.08,15927020
2022-02-14,274.08,277.44,274.08,276.39,8100471
2022-02-15,276.39,276.39,271.99,272.24,9803120
2022-02-16,272.24,272.24,263.53,265.23,11110745
2022-02-17,265.23,268.04,265.23,267.5,11254461
2022-02-18,267.5,275.94,267.5,274.81,5057618
2022-02-22,274.81,274.81,268.95,270.54,12355781
2022-02-23,270.54,276.08,270.54,275.69,10031708
2022-02-24,275.69,277.81,275.08,275.83,6892162
2022-02-25,275.83,275.83,268.83,270.1,6583869
2022-02-28,270.1,270.1,262.36,265.33,7774648
2022-03-01,265.33,266.88,263.44,265.35,5285635
2022-03-02,265.35,265.35,263.5,263.64,17697022
2022-03-03,263.64,263.64,256.26,258.26,16102104
2022-03-04,258.26,258.26,251.21,251.49,10645843
2022-03-07,251.49,251.49,246.47,248.15,8126497
2022-03-08,248.15,249.24,247.37,248.86,8212408
2022-03-09,248.86,249.06,246.71,248.79,12033756
2022-03-10,248.79,248.79,246.05,246.81,17950540
2022-03-11,246.81,247.83,246.38,247.55,7073325
2022-03-14,247.55,252.49,247.55,251.54,5682862
2022-03-15,251.54,254.92,251.54,253.05,16503058
2022-03-16,253.05,254.39,250.92,252.53,4347643
2022-03-17,252.53,256.73,252.53,256.16,5936247
2022-03-18,256.16,256.16,250.39,252.31,8050597
2022-03-21,252.31,252.34,251.22,251.39,4760325
2022-03-22,251.39,251.84,250.14,250.56,13864741
2022-03-23,250.56,250.56,245.29,245.73,12519050
2022-03-24,245.73,245.73,242.28,244.09,7060897
2022-03-25,244.09,244.09,234.24,236.29,14825298
2022-03-28,236.29,244.47,236.29,243.39,15866443
2022-03-29,243.39,243.39,238.5,239.82,8492820
2022-03-30,239.82,247.98,239.82,245.77,7420319
2022-03-31,245.77,248.02,245.29,245.87,21940412
2022-04-01,245.87,248.66,245.87,248.0,11857424
2022-04-04,248.0,248.0,245.33,246.08,9845547
2022-04-05,246.08,247.15,245.05,246.83,15331473
2022-04-06,246.83,250.08,246.83,249.3,10026801
2022-04-07,249.3,254.32,249.3,251.85,7258993
2022-04-08,251.85,256.98,251.85,254.87,9175651
2022-04-11,254.87,254.87,252.55,253.36,13463080
2022-04-12,253.36,253.36,249.31,251.43,4005286
2022-04-13,251.43,251.43,244.77,245.22,7919096
2022-04-14,245.22,248.16,245.22,247.19,15451597
2022-04-15,247.19,252.52,247.19,251.35,7240875
2022-04-18,251.35,259.49,251.35,257.71,16492947
2022-04-19,257.71,261.15,256.96,258.89,15648686
2022-04-20,258.89,258.89,255.52,255.77,8656217
2022-04-21,255.77,255.77,247.28,249.06,7078582
2022-04-22,249.06,253.42,249.06,253.09,7921225
2022-04-25,253.09,253.09,244.27,246.06,25798987
2022-04-26,246.06,246.06,242.07,244.72,18807565
2022-04-27,244.72,244.72,243.74,243.82,9343172
2022-04-28,243.82,245.26,242.84,243.51,6967301
2022-04-29,243.51,243.97,243.05,243.61,9312018
2022-05-02,243.61,245.53,243.01,244.09,9796451
2022-05-03,244.09,244.09,233.61,235.03,5404035
2022-05-04,235.03,236.66,232.06,235.05,9175216
2022-05-05,235.05,235.05,226.09,226.99,15081233
2022-05-06,226.99,231.76,226.99,229.55,4326447
2022-05-09,229.55,229.55,225.85,227.53,12368130
2022-05-10,227.53,227.53,217.98,219.98,15400633
2022-05-11,219.98,219.98,215.64,217.17,7101219
2022-05-12,217.17,217.17,213.82,215.21,17499280
2022-05-13,215.21,219.93,215.21,219.2,6741986
2022-05-16,219.2,224.76,218.11,219.83,10600726
2022-05-17,219.83,222.1,219.83,220.98,7859950
2022-05-18,220.98,226.01,220.98,225.04,7859247
2022-05-19,225.04,225.37,223.82,224.66,6941860
2022-05-20,224.66,229.06,224.66,227.28,11750780
2022-05-23,227.28,230.94,227.28,229.67,12478555
2022-05-24,229.67,229.67,224.31,225.08,8660050
2022-05-25,225.08,232.37,225.08,230.26,5157758
2022-05-26,230.26,230.26,224.94,225.18,10441179
2022-05-27,225.18,229.65,225.18,228.38,10520178
2022-05-31,228.38,228.38,222.77,223.01,8148252
2022-06-01,223.01,226.13,222.78,225.07,18753529
2022-06-02,225.07,232.03,225.07,231.65,4753673
2022-06-03,231.65,231.65,229.64,230.85,3660412
