date,open,high,low,close,volume
2022-01-03,265.2,265.2,262.07,263.28,8723413
2022-01-04,263.28,270.34,263.28,269.98,2920755
2022-01-05,269.98,274.78,269.98,274.47,10849626
2022-01-06,274.47,276.29,273.22,276.06,11337876
2022-01-07,276.06,276.06,272.28,274.35,11903386
2022-01-10,274.35,274.35,269.09,270.11,13794185
2022-01-11,270.11,270.11,265.05,267.76,9552385
2022-01-12,267.76,272.03,266.68,270.69,23166864
2022-01-13,270.69,270.69,260.25,261.86,9756445
2022-01-14,261.86,270.83,261.86,269.93,3537737
2022-01-18,269.93,279.1,269.93,275.65,9717802
2022-01-19,275.65,284.19,275.65,281.39,13913014
2022-01-20,281.39,285.82,281.39,284.36,5121179
2022-01-21,284.36,286.25,283.4,284.93,7974817
2022-01-24,284.93,288.01,284.93,286.79,14434592
2022-01-25,286.79,287.11,282.85,285.08,7089628
2022-01-26,285.08,299.4,285.08,295.46,8080542
2022-01-27,295.46,295.53,291.93,294.82,12143706
2022-01-28,294.82,294.82,291.94,292.52,5321040
2022-01-31,292.52,292.52,291.08,291.26,8844416
2022-02-01,291.26,291.26,285.28,287.79,6024251
2022-02-02,287.79,293.1,287.79,291.78,7982295
2022-02-03,291.78,291.78,288.07,289.29,9768920
2022-02-04,289.29,289.29,287.99,288.73,13580225
2022-02-07,288.73,298.37,288.73,295.34,10069140
2022-02-08,295.34,304.18,295.34,300.75,7088183
2022-02-09,300.75,300.75,295.11,295.67,14344645
2022-02-10,295.67,302.31,295.67,301.65,11366094
2022-02-11,301.65,301.65,293.23,294.6,4087073
2022-02-14,294.6,294.6,286.54,287.3,12424570
2022-02-15,287.3,287.3,284.63,285.78,9119871
2022-02-16,285.78,288.26,285.67,287.24,8770022
2022-02-17,287.24,288.31,286.09,286.2,14305746
2022-02-18,286.2,289.13,285.86,288.37,8188783
2022-02-22,288.37,289.57,284.32,286.59,12706949
2022-02-23,286.59,286.59,276.8,276.89,14812112
2022-02-24,276.89,278.16,273.56,276.05,9110031
2022-02-25,276.05,276.05,266.6,269.12,10627394
2022-02-28,269.12,270.88,268.77,269.18,11729321
2022-03-01,269.18,269.18,262.36,263.61,10691849
2022-03-02,263.61,267.17,263.61,265.96,12682538
2022-03-03,265.96,276.89,265.96,272.13,5851686
2022-03-04,272.13,272.13,263.85,264.38,6875228
2022-03-07,264.38,264.38,254.54,255.5,5369086
2022-03-08,255.5,255.66,254.15,254.26,17442334
2022-03-09,254.26,259.31,254.26,259.17,4545741
2022-03-10,259.17,261.67,256.53,259.89,15071043
2022-03-11,259.89,260.49,257.68,258.08,10733763
2022-03-14,258.08,258.08,253.06,253.5,6258910
2022-03-15,253.5,257.04,253.5,256.64,5343839
2022-03-16,256.64,264.79,256.64,263.4,8752029
2022-03-17,263.4,263.4,254.64,255.3,8123131
2022-03-18,255.3,257.05,255.3,256.6,10409179
2022-03-21,256.6,268.05,256.6,267.86,3686603
2022-03-22,267.86,267.86,264.01,265.19,8240528
2022-03-23,265.19,265.19,262.28,264.39,6258023
2022-03-24,264.39,264.39,262.74,264.28,14806946
2022-03-25,264.28,264.28,262.41,262.51,10466833
2022-03-28,262.51,270.26,262.51,267.44,7253515
2022-03-29,267.44,278.58,267.44,275.71,15689737
2022-03-30,275.71,275.71,267.7,267.97,7464902
2022-03-31,267.97,267.97,262.97,263.84,8523833
2022-04-01,263.84,270.03,263.84,269.47,9901842
2022-04-04,269.47,272.42,269.47,272.24,12783929
2022-04-05,272.24,274.98,271.24,274.3,8928463
2022-04-06,274.3,279.3,274.3,277.57,15684082
2022-04-07,277.57,279.41,276.39,278.07,7566790
2022-04-08,278.07,280.43,278.07,280.37,6002176
2022-04-11,280.37,280.83,278.19,278.89,16802255
2022-04-12,278.89,280.08,275.05,277.87,7839073
2022-04-13,277.87,277.87,274.05,277.47,11266036
2022-04-14,277.47,277.47,273.54,275.62,12083100
2022-04-15,275.62,279.1,275.62,277.85,20441649
2022-04-18,277.85,281.16,277.85,279.29,7890401
2022-04-19,279.29,279.29,270.09,270.7,10974315
2022-04-20,270.7,271.4,269.76,269.83,6496700
2022-04-21,269.83,270.34,268.19,269.96,7330164
2022-04-22,269.96,278.97,269.96,277.04,6562513
2022-04-25,277.04,277.04,274.55,275.76,12469296
2022-04-26,275.76,276.92,274.84,276.25,12838051
2022-04-27,276.25,276.75,274.29,275.94,10298865
2022-04-28,275.94,282.51,275.94,282.19,6515550
2022-04-29,282.19,282.19,275.73,276.62,6849085
2022-05-02,276.62,276.62,272.57,273.04,6711000
2022-05-03,273.04,273.04,268.73,269.2,10249783
2022-05-04,269.2,269.68,268.88,269.31,4721289
2022-05-05,269.31,269.31,261.52,262.67,7582305
2022-05-06,262.67,270.14,262.67,269.27,5200995
2022-05-09,269.27,273.87,268.29,271.2,10881211
2022-05-10,271.2,274.21,271.2,273.93,5977759
2022-05-11,273.93,284.9,273.93,283.83,19447893
2022-05-12,283.83,283.83,280.17,282.24,13499252
2022-05-13,282.24,287.74,282.24,286.38,8575073
2022-05-16,286.38,289.78,286.38,289.24,10484230
2022-05-17,289.24,297.54,289.24,296.88,10717155
2022-05-18,296.88,301.16,296.88,300.4,6052027
2022-05-19,300.4,300.4,295.06,297.88,14581543
2022-05-20,297.88,300.47,296.52,300.07,8552379
2022-05-23,300.07,300.07,296.33,296.87,6535984
2022-05-24,296.87,296.87,294.35,294.59,11035575
2022-05-25,294.59,296.07,294.05,294.58,5670964
2022-05-26,294.58,295.72,292.89,293.71,11551588
2022-05-27,293.71,293.71,289.37,289.37,10192956
2022-05-31,289.37,289.37,277.06,278.59,6851610
2022-06-01,278.59,280.61,278.57,280.02,13027798
2022-06-02,280.02,282.05,280.02,281.81,11782456
2022-06-03,281.81,284.69,281.25,283.58,7812658
2022-06-06,283.58,293.06,283.58,292.86,11024422
2022-06-07,292.86,292.86,285.06,285.44,5215409
2022-06-08,285.44,295.07,285.44,293.04,10816690
2022-06-09,293.04,305.83,293.04,305.63,4957445
2022-06-10,305.63,315.72,305.63,314.88,9354400
2022-06-13,314.88,314.88,312.62,313.09,11707061
2022-06-14,313.09,315.91,313.09,315.54,10174222
2022-06-15,315.54,315.54,310.48,311.52,16540968
2022-06-16,311.52,311.52,305.08,308.05,6469699
2022-06-17,308.05,319.15,308.05,317.16,10464430
2022-06-21,317.16,321.48,317.16,320.96,3786839
2022-06-22,320.96,326.2,320.96,325.15,7239970
2022-06-23,325.15,325.15,318.37,319.12,7872915
2022-06-24,319.12,319.12,310.08,311.36,16633755
2022-06-27,311.36,317.05,311.36,316.98,8802581
2022-06-28,316.98,319.94,316.87,319.29,12803662
2022-06-29,319.29,320.09,316.48,317.75,6188716
2022-06-30,317.75,327.71,317.75,327.21,7778187
2022-07-01,327.21,330.97,327.21,330.55,6358539
2022-07-05,330.55,330.55,324.73,325.91,5971276
2022-07-06,325.91,325.91,314.56,315.51,6137352
2022-07-07,315.51,320.06,315.51,318.76,6951206
2022-07-08,318.76,318.76,315.01,316.3,20117386
2022-07-11,316.3,316.3,314.43,315.62,8680624
2022-07-12,315.62,315.62,314.42,314.49,5172608
2022-07-13,314.49,324.17,314.49,322.2,7204997
2022-07-14,322.2,327.89,322.2,326.86,13344527
2022-07-15,326.86,326.86,325.54,326.38,6711365
2022-07-18,326.38,326.78,324.35,325.76,16111568
2022-07-19,325.76,330.25,325.76,327.4,13414594
2022-07-20,327.4,336.73,327.4,334.79,8221534
2022-07-21,334.79,336.37,334.79,335.31,6835259
2022-07-22,335.31,335.37,330.75,332.14,6074946
2022-07-25,332.14,332.14,322.05,325.53,9596984
2022-07-26,325.53,326.2,322.53,325.12,10490619
2022-07-27,325.12,325.12,316.66,318.69,15187838
2022-07-28,318.69,320.6,318.69,320.57,10249299
2022-07-29,320.57,324.19,320.57,323.08,7717866
2022-08-01,323.08,330.15,323.08,329.67,15397955
2022-08-02,329.67,331.55,327.05,328.56,12331982
2022-08-03,328.56,335.11,328.56,334.37,6749210
2022-08-04,334.37,345.25,334.37,343.61,8595612
2022-08-05,343.61,345.62,342.26,344.09,11572980
2022-08-08,344.09,358.6,344.09,357.33,10038684
2022-08-09,357.33,366.4,357.33,366.12,5937848
2022-08-10,366.12,366.12,363.15,363.25,9533723
2022-08-11,363.25,382.69,363.25,381.74,6781738
2022-08-12,381.74,382.77,376.18,381.37,9114703
2022-08-15,381.37,391.7,381.37,390.52,5283683
2022-08-16,390.52,395.35,390.52,394.73,6222220
2022-08-17,394.73,397.22,394.73,396.81,20572295
2022-08-18,396.81,408.73,396.81,405.71,7493188
2022-08-19,405.71,407.66,404.82,406.81,13871995
2022-08-22,406.81,406.81,404.75,406.35,8449801
2022-08-23,406.35,407.14,404.87,406.1,5492160
2022-08-24,406.1,406.1,397.96,398.43,5769008
2022-08-25,398.43,409.27,398.43,405.71,6470832
2022-08-26,405.71,405.71,401.07,401.3,20963503
2022-08-29,401.3,403.9,401.28,402.79,8101456
2022-08-30,402.79,404.27,402.33,402.99,9553577
2022-08-31,402.99,407.76,402.99,407.19,11672129
2022-09-01,407.19,407.78,405.96,407.17,10873471
2022-09-02,407.17,407.17,403.23,405.4,12559599
2022-09-06,405.4,408.39,404.84,408.31,7201738
2022-09-07,408.31,414.31,408.31,410.64,5534241
2022-09-08,410.64,410.64,401.56,403.44,6090129
2022-09-09,403.44,404.73,400.49,402.76,4815037
2022-09-12,402.76,412.56,402.76,411.52,7216861
2022-09-13,411.52,430.29,411.52,428.95,2001772
2022-09-14,428.95,428.95,414.14,416.88,11873735
2022-09-15,416.88,425.56,416.88,422.79,11171060
2022-09-16,422.79,426.71,421.26,423.61,6015274
2022-09-19,423.61,423.61,417.69,419.49,5123023
2022-09-20,419.49,419.49,416.28,416.55,16373390
2022-09-21,416.55,416.55,406.79,410.09,13079991
2022-09-22,410.09,410.09,397.56,400.87,8016786
2022-09-23,400.87,407.13,400.41,403.54,6783158
2022-09-26,403.54,417.96,403.54,415.89,9022352
2022-09-27,415.89,419.26,415.89,418.43,4993472
2022-09-28,418.43,421.35,416.6,419.71,9990914
2022-09-29,419.71,421.13,414.17,415.4,5493925
2022-09-30,415.4,415.4,407.65,409.02,3414870
2022-10-03,409.02,411.21,408.7,409.24,6417036
2022-10-04,409.24,409.24,399.61,402.28,5920707
2022-10-05,402.28,411.52,402.28,410.02,18306485
2022-10-06,410.02,410.19,405.96,406.12,17363472
2022-10-07,406.12,406.12,399.24,400.47,5685730
2022-10-11,400.47,416.94,400.47,415.98,8537366
2022-10-12,415.98,425.72,415.98,425.24,6834392
2022-10-13,425.24,425.24,416.57,416.85,18534089
2022-10-14,416.85,416.85,410.35,410.78,4290559
2022-10-17,410.78,410.78,407.81,409.5,10703142
2022-10-18,409.5,409.5,408.44,408.46,14815620
2022-10-19,408.46,409.57,404.89,405.39,7143622
2022-10-20,405.39,416.59,405.39,414.67,8970408
2022-10-21,414.67,416.5,414.22,416.21,13541077
2022-10-24,416.21,417.44,415.38,416.02,5707127
2022-10-25,416.02,416.02,411.83,411.86,11462795
2022-10-26,411.86,411.86,404.46,404.71,4783262
2022-10-27,404.71,404.71,397.87,400.55,4694301
2022-10-28,400.55,400.55,394.09,394.76,12487524
2022-10-31,394.76,394.76,385.41,386.55,6035787
2022-11-01,386.55,394.01,386.55,393.69,9546976
2022-11-02,393.69,403.04,393.69,399.96,5546896
2022-11-03,399.96,399.96,397.48,397.51,9941640
2022-11-04,397.51,408.61,397.51,406.48,4576074
2022-11-07,406.48,412.43,406.48,410.61,14920625
2022-11-08,410.61,410.61,402.67,403.28,12303190
2022-11-09,403.28,403.28,393.17,393.58,6986471
2022-11-10,393.58,397.99,393.58,395.68,4217678
2022-11-14,395.68,400.24,395.68,398.92,8187533
2022-11-15,398.92,398.92,387.69,390.41,7699494
2022-11-16,390.41,390.41,384.82,387.04,7147316
2022-11-17,387.04,394.94,387.04,392.69,13527729
2022-11-18,392.69,404.43,392.69,403.27,14438542
2022-11-21,403.27,404.68,403.0,403.91,10543537
2022-11-22,403.91,406.98,402.8,404.36,16130722
2022-11-23,404.36,404.36,399.3,401.37,2895693
2022-11-25,401.37,412.62,401.37,411.6,7868397
2022-11-28,411.6,416.26,411.6,415.53,7719776
2022-11-29,415.53,415.53,406.33,409.77,12445135
2022-11-30,409.77,417.64,409.77,415.26,7823384
2022-12-01,415.26,415.26,409.81,410.46,11096860
2022-12-02,410.46,410.46,402.84,404.01,7329020
2022-12-05,404.01,404.01,399.82,401.05,6786104
2022-12-06,401.05,401.05,393.55,395.36,12242556
2022-12-07,395.36,395.36,387.4,389.45,8879601
2022-12-08,389.45,389.45,380.26,380.46,10047598
2022-12-09,380.46,380.46,375.71,376.08,5410661
2022-12-12,376.08,376.08,372.67,372.79,11653687
2022-12-13,372.79,372.79,363.44,364.47,5775690
2022-12-14,364.47,368.95,364.47,367.86,17632702
2022-12-15,367.86,367.86,353.77,357.15,8019630
2022-12-16,357.15,357.15,351.96,354.93,7529869
2022-12-19,354.93,362.45,354.93,358.96,12696982
2022-12-20,358.96,369.05,358.96,365.91,8704212
2022-12-21,365.91,365.91,360.49,362.46,11840048
2022-12-22,362.46,369.51,362.46,368.74,7884732
