date,open,high,low,close,volume
2022-01-03,231.63,231.63,222.17,222.79,10360057
2022-01-04,222.79,222.79,217.11,218.22,6062664
2022-01-05,218.22,218.22,215.32,215.72,7340968
2022-01-06,215.72,216.69,215.72,216.36,8958546
2022-01-07,216.36,222.33,216.36,220.76,15178128
2022-01-10,220.76,224.97,220.76,223.8,7352785
2022-01-11,223.8,223.8,217.32,218.68,4443586
2022-01-12,218.68,218.68,216.24,217.09,10598539
2022-01-13,217.09,218.94,216.68,217.42,6568267
2022-01-14,217.42,217.42,215.07,216.31,5314127
2022-01-18,216.31,216.59,213.33,215.17,8953196
2022-01-19,215.17,215.17,206.36,208.01,13113424
2022-01-20,208.01,208.01,202.89,203.35,7063475
2022-01-21,203.35,203.35,201.1,201.75,10838655
2022-01-24,201.75,201.75,188.29,189.85,11672724
2022-01-25,189.85,192.68,189.85,192.26,12197219
2022-01-26,192.26,192.26,187.12,187.14,6629838
2022-01-27,187.14,190.53,187.14,189.69,5674920
2022-01-28,189.69,192.13,189.69,191.94,5992976
2022-01-31,191.94,191.94,188.81,189.91,12193210
2022-02-01,189.91,193.85,189.91,193.68,11605123
2022-02-02,193.68,196.82,193.68,196.54,6059511
2022-02-03,196.54,196.54,194.93,195.35,20854026
2022-02-04,195.35,195.35,192.85,193.74,5777342
2022-02-07,193.74,198.01,193.74,197.97,13253677
2022-02-08,197.97,199.69,197.52,198.88,16319416
2022-02-09,198.88,204.27,198.88,203.01,9284928
2022-02-10,203.01,203.01,192.43,193.7,6531260
2022-02-11,193.7,194.8,193.5,194.08,6588582
2022-02-14,194.08,194.08,187.97,188.16,8001694
2022-02-15,188.16,188.18,187.12,188.07,13692356
2022-02-16,188.07,191.61,188.07,190.73,5498850
2022-02-17,190.73,198.02,190.73,197.37,4258781
2022-02-18,197.37,197.37,193.61,193.76,10270866
2022-02-22,193.76,193.76,191.57,191.77,11213680
2022-02-23,191.77,192.33,190.97,191.42,19524639
2022-02-24,191.42,191.42,187.59,187.79,5111852
2022-02-25,187.79,191.76,187.79,191.44,8419637
2022-02-28,191.44,191.44,189.54,191.18,14143065
2022-03-01,191.18,192.09,189.6,191.65,9326262
2022-03-02,191.65,195.32,191.65,194.0,8217892
2022-03-03,194.0,194.65,193.56,193.73,12187997
2022-03-04,193.73,193.73,189.9,190.65,6991770
2022-03-07,190.65,191.84,189.56,190.41,12491567
2022-03-08,190.41,190.41,186.74,187.24,5382022
2022-03-09,187.24,187.85,185.03,187.64,4839041
2022-03-10,187.64,193.33,187.64,191.36,7964978
2022-03-11,191.36,191.36,186.73,186.99,3187297
2022-03-14,186.99,186.99,181.29,181.45,9192328
2022-03-15,181.45,181.82,181.45,181.63,4443600
2022-03-16,181.63,181.63,178.33,178.91,9948856
2022-03-17,178.91,179.7,178.36,179.02,9570382
2022-03-18,179.02,180.7,179.02,180.16,8647795
2022-03-21,180.16,180.16,171.31,172.73,10580925
2022-03-22,172.73,176.6,172.73,175.09,9642384
2022-03-23,175.09,175.09,171.03,171.11,7903369
2022-03-24,171.11,171.23,170.94,171.04,18483754
2022-03-25,171.04,171.04,168.1,168.84,10400082
2022-03-28,168.84,168.84,166.81,167.02,12100571
2022-03-29,167.02,172.73,167.02,172.68,13649751
2022-03-30,172.68,175.58,172.09,173.77,11608634
2022-03-31,173.77,177.24,173.77,176.9,20279745
2022-04-01,176.9,178.99,176.9,177.42,9496204
2022-04-04,177.42,179.74,177.42,179.6,8861401
2022-04-05,179.6,181.18,179.6,181.09,6852822
2022-04-06,181.09,182.91,180.9,182.0,8020332
2022-04-07,182.0,186.34,182.0,186.01,6632618
2022-04-08,186.01,187.32,185.79,186.59,11650792
2022-04-11,186.59,195.19,186.59,195.16,6169161
2022-04-12,195.16,200.02,195.16,198.89,9152310
2022-04-13,198.89,198.89,193.32,194.49,11115140
2022-04-14,194.49,194.63,193.65,193.82,9436819
2022-04-15,193.82,196.25,193.82,195.34,6209767
2022-04-18,195.34,196.01,194.73,195.51,11752516
2022-04-19,195.51,198.99,195.51,198.18,8587894
2022-04-20,198.18,201.42,198.18,201.31,2816245
2022-04-21,201.31,201.31,193.73,196.0,5996336
2022-04-22,196.0,202.22,196.0,201.01,15563716
2022-04-25,201.01,201.01,197.27,199.06,16090325
2022-04-26,199.06,199.06,196.73,196.74,10967473
2022-04-27,196.74,196.74,193.35,194.44,12159576
2022-04-28,194.44,200.06,194.44,197.56,6508908
2022-04-29,197.56,197.56,195.77,196.53,8007924
2022-05-02,196.53,196.53,192.7,193.99,14565213
2022-05-03,193.99,193.99,191.87,192.38,10536606
2022-05-04,192.38,192.38,184.9,185.72,9119990
2022-05-05,185.72,185.72,181.93,182.67,8246311
2022-05-06,182.67,182.67,178.03,178.28,14214722
2022-05-09,178.28,178.28,176.08,177.34,13919661
2022-05-10,177.34,181.16,177.34,179.67,11523151
2022-05-11,179.67,182.21,179.67,181.65,9124831
2022-05-12,181.65,186.38,181.65,186.19,7704363
2022-05-13,186.19,190.18,186.19,190.02,11724667
2022-05-16,190.02,190.02,187.56,188.06,5718608
2022-05-17,188.06,189.39,187.15,188.13,6213109
