date,open,high,low,close,volume
2022-01-03,396.12,396.12,389.14,389.66,4970680
2022-01-04,389.66,397.82,389.66,394.5,6199410
2022-01-05,394.5,394.5,385.33,386.19,6864898
2022-01-06,386.19,396.12,386.19,395.06,8968374
2022-01-07,395.06,395.06,389.36,389.59,6171046
2022-01-10,389.59,397.51,389.59,395.35,7678563
2022-01-11,395.35,399.02,395.35,398.4,6886485
2022-01-12,398.4,398.4,389.72,391.2,5002000
2022-01-13,391.2,400.87,391.2,400.59,6162233
2022-01-14,400.59,419.71,400.59,415.85,6526331
2022-01-18,415.85,415.85,405.11,410.08,5456233
2022-01-19,410.08,410.08,403.16,405.13,4988303
2022-01-20,405.13,407.98,405.1,405.84,7003565
2022-01-21,405.84,413.48,405.84,412.86,12557815
2022-01-24,412.86,422.96,412.86,422.88,8375566
2022-01-25,422.88,422.88,420.02,420.17,2487484
2022-01-26,420.17,421.79,420.17,421.47,13310226
2022-01-27,421.47,422.6,414.82,418.81,6734764
2022-01-28,418.81,418.81,414.46,415.68,15794615
2022-01-31,415.68,415.68,411.15,411.63,12270352
2022-02-01,411.63,411.63,399.38,401.14,7860317
2022-02-02,401.14,412.9,401.14,408.04,8219208
2022-02-03,408.04,411.05,408.04,409.02,5630122
2022-02-04,409.02,423.18,409.02,421.39,11531645
2022-02-07,421.39,430.29,421.39,428.32,16964295
2022-02-08,428.32,428.32,424.05,425.22,6644041
2022-02-09,425.22,425.22,415.32,416.17,6981763
2022-02-10,416.17,435.01,416.17,431.58,19568544
2022-02-11,431.58,431.58,416.88,417.89,9198262
2022-02-14,417.89,417.89,409.45,415.33,4830143
2022-02-15,415.33,415.33,412.59,412.92,5149742
2022-02-16,412.92,412.92,406.31,407.99,17570096
2022-02-17,407.99,407.99,396.37,401.53,10739933
2022-02-18,401.53,401.53,389.16,392.38,5837985
2022-02-22,392.38,392.38,386.55,387.11,10169647
2022-02-23,387.11,387.69,383.62,386.9,6370179
2022-02-24,386.9,389.98,384.9,389.36,4122488
2022-02-25,389.36,389.36,385.15,385.61,7739131
2022-02-28,385.61,385.61,381.17,381.87,8855150
2022-03-01,381.87,381.87,374.14,374.45,4747617
2022-03-02,374.45,377.46,374.45,375.82,5374866
2022-03-03,375.82,376.96,375.82,376.34,5952404
2022-03-04,376.34,379.68,376.34,379.26,8188699
2022-03-07,379.26,379.26,374.26,375.5,9355456
2022-03-08,375.5,375.5,367.83,369.14,4989514
2022-03-09,369.14,369.62,366.76,369.16,7040323
2022-03-10,369.16,373.4,369.16,373.04,7361120
2022-03-11,373.04,373.04,365.56,366.89,4434633
2022-03-14,366.89,366.89,362.36,362.65,9722198
2022-03-15,362.65,362.65,353.68,354.36,11282105
2022-03-16,354.36,354.36,345.43,346.61,10066928
2022-03-17,346.61,346.61,340.82,343.13,5237401
2022-03-18,343.13,343.13,336.38,337.77,11287203
2022-03-21,337.77,344.98,337.77,343.17,8533393
2022-03-22,343.17,346.45,341.0,343.51,13164059
2022-03-23,343.51,354.21,343.51,352.13,10759577
2022-03-24,352.13,362.68,352.13,361.04,10067790
2022-03-25,361.04,362.53,361.0,361.3,7938090
2022-03-28,361.3,361.3,347.78,347.79,13026052
2022-03-29,347.79,351.94,347.79,350.62,5624379
2022-03-30,350.62,359.96,350.62,358.58,5359842
2022-03-31,358.58,363.82,358.58,363.13,26610241
2022-04-01,363.13,366.4,363.13,365.74,4085604
2022-04-04,365.74,365.74,363.86,364.16,5517681
2022-04-05,364.16,364.16,353.46,356.16,12255528
2022-04-06,356.16,362.08,356.16,360.63,4635097
2022-04-07,360.63,360.63,357.56,359.43,11930234
2022-04-08,359.43,362.07,359.43,361.76,14515539
2022-04-11,361.76,361.76,357.23,357.85,15224985
2022-04-12,357.85,373.1,357.85,372.05,9126443
2022-04-13,372.05,374.75,371.16,373.93,5558434
2022-04-14,373.93,373.93,371.1,371.37,6164005
2022-04-15,371.37,371.37,362.47,363.5,14739536
2022-04-18,363.5,363.5,351.35,354.0,4212808
2022-04-19,354.0,358.51,354.0,358.41,12352126
2022-04-20,358.41,358.41,354.08,354.58,4670681
2022-04-21,354.58,355.2,351.2,351.67,8554189
2022-04-22,351.67,351.67,346.64,348.17,6926170
