date,open,high,low,close,volume
2022-01-03,177.78,184.44,177.78,183.9,3568915
2022-01-04,183.9,183.9,180.8,181.44,15658285
2022-01-05,181.44,181.96,181.3,181.31,23576742
2022-01-06,181.31,181.31,176.18,177.15,14042222
2022-01-07,177.15,177.44,176.41,176.96,9323156
2022-01-10,176.96,181.74,176.96,181.43,7569866
2022-01-11,181.43,181.43,175.64,176.42,5907953
2022-01-12,176.42,176.42,171.74,172.27,5337202
2022-01-13,172.27,180.59,172.27,178.87,6897407
2022-01-14,178.87,178.87,175.18,176.51,11046611
2022-01-18,176.51,180.81,176.51,180.29,7183187
2022-01-19,180.29,180.29,177.69,178.17,8205735
2022-01-20,178.17,178.17,172.56,174.82,9866502
2022-01-21,174.82,185.2,174.82,184.93,13049090
2022-01-24,184.93,185.61,183.52,184.03,18810648
2022-01-25,184.03,187.63,184.03,187.12,4638733
2022-01-26,187.12,188.64,184.47,186.56,19554442
2022-01-27,186.56,186.56,184.52,185.7,15385762
2022-01-28,185.7,193.92,185.7,191.64,12155127
2022-01-31,191.64,191.64,188.59,189.86,7793828
2022-02-01,189.86,189.86,184.44,185.36,7471418
2022-02-02,185.36,185.36,183.82,184.07,13551292
2022-02-03,184.07,184.87,183.77,184.34,7697706
2022-02-04,184.34,184.34,181.47,182.18,4054887
2022-02-07,182.18,182.18,178.07,179.25,8375214
2022-02-08,179.25,179.25,173.5,173.7,6959672
2022-02-09,173.7,173.7,170.57,171.41,13584018
2022-02-10,171.41,171.41,165.27,165.31,5124565
2022-02-11,165.31,165.31,160.78,161.36,23617296
2022-02-14,161.36,165.29,161.36,164.55,8652354
2022-02-15,164.55,169.98,164.55,168.97,4481802
2022-02-16,168.97,169.29,168.9,169.15,9012565
2022-02-17,169.15,169.15,162.59,162.9,10575116
2022-02-18,162.9,162.9,160.09,160.96,14622275
2022-02-22,160.96,165.7,160.96,165.63,9134118
2022-02-23,165.63,167.71,165.63,167.52,9468797
2022-02-24,167.52,167.52,161.65,162.66,9169470
2022-02-25,162.66,166.95,162.66,165.98,5485616
2022-02-28,165.98,165.98,163.2,164.42,8992816
2022-03-01,164.42,164.42,161.06,161.88,8785063
2022-03-02,161.88,163.93,161.88,163.21,6716299
2022-03-03,163.21,163.49,162.39,162.83,4167114
2022-03-04,162.83,171.92,162.83,170.12,7618090
2022-03-07,170.12,173.85,170.12,173.13,11327119
2022-03-08,173.13,173.13,172.75,172.82,16010646
2022-03-09,172.82,177.01,172.82,175.56,8178909
2022-03-10,175.56,175.56,171.36,171.66,8385521
2022-03-11,171.66,179.34,171.66,178.46,7935900
2022-03-14,178.46,180.21,178.46,180.2,10047889
2022-03-15,180.2,191.35,180.2,190.74,7309974
2022-03-16,190.74,190.74,186.89,187.3,11122896
2022-03-17,187.3,187.3,177.68,177.93,3540094
2022-03-18,177.93,177.98,176.68,176.91,11067144
2022-03-21,176.91,176.91,166.08,167.69,7442438
2022-03-22,167.69,177.81,167.69,177.62,8461124
2022-03-23,177.62,177.9,176.87,177.34,4678110
2022-03-24,177.34,177.34,171.1,171.66,8777296
2022-03-25,171.66,171.66,168.95,169.13,10960990
2022-03-28,169.13,169.13,162.13,162.39,13963355
2022-03-29,162.39,162.39,158.14,158.62,8925917
2022-03-30,158.62,165.34,158.62,165.32,10115735
2022-03-31,165.32,168.93,165.32,167.4,11384260
2022-04-01,167.4,170.72,167.4,169.85,6564560
2022-04-04,169.85,171.49,169.85,171.22,14882713
2022-04-05,171.22,172.18,170.3,171.3,5163547
2022-04-06,171.3,171.3,165.0,165.19,12295492
2022-04-07,165.19,166.95,165.19,166.4,5650088
2022-04-08,166.4,177.78,166.4,176.39,5103867
2022-04-11,176.39,180.86,176.39,180.66,6352710
2022-04-12,180.66,182.99,180.66,182.37,11273565
2022-04-13,182.37,182.37,180.41,181.3,5856903
2022-04-14,181.3,181.3,176.64,177.91,12534823
2022-04-15,177.91,193.93,177.91,193.67,9007640
2022-04-18,193.67,197.66,193.67,197.51,5592137
2022-04-19,197.51,199.82,196.18,197.69,8036276
2022-04-20,197.69,197.69,195.46,196.6,12122602
2022-04-21,196.6,196.6,190.7,192.34,14895336
2022-04-22,192.34,200.56,192.34,199.98,11929115
2022-04-25,199.98,202.68,199.98,201.27,13034524
2022-04-26,201.27,204.8,201.27,204.25,8924601
2022-04-27,204.25,204.25,197.03,198.17,7503450
2022-04-28,198.17,201.67,198.17,200.84,8185771
2022-04-29,200.84,200.84,200.7,200.71,15723971
2022-05-02,200.71,203.68,200.71,202.61,6322966
2022-05-03,202.61,202.61,200.39,201.09,9072180
2022-05-04,201.09,201.09,199.41,200.55,10387202
2022-05-05,200.55,203.42,200.55,203.09,8104309
2022-05-06,203.09,203.09,198.0,198.38,15051400
2022-05-09,198.38,198.38,192.99,193.56,10302657
2022-05-10,193.56,193.56,185.06,185.23,9638764
2022-05-11,185.23,187.53,185.23,185.87,9656037
2022-05-12,185.87,188.08,185.87,187.86,14027876
2022-05-13,187.86,187.86,182.91,183.34,7594227
2022-05-16,183.34,183.34,176.52,177.59,6799877
2022-05-17,177.59,177.59,176.9,177.25,10723087
2022-05-18,177.25,180.95,177.25,180.16,11317249
2022-05-19,180.16,180.16,172.04,172.76,11090841
2022-05-20,172.76,172.76,169.97,170.76,3504693
2022-05-23,170.76,175.71,170.76,175.6,8827722
2022-05-24,175.6,175.6,171.2,172.24,9133670
2022-05-25,172.24,172.24,168.84,169.75,11738925
2022-05-26,169.75,173.36,169.75,172.79,5761254
2022-05-27,172.79,173.56,170.71,172.05,11363532
2022-05-31,172.05,175.69,172.05,173.86,6945866
2022-06-01,173.86,177.69,173.86,177.55,8646065
2022-06-02,177.55,184.37,177.55,184.26,15517300
2022-06-03,184.26,191.11,184.26,189.52,9656961
2022-06-06,189.52,198.72,189.52,198.53,9620087
2022-06-07,198.53,209.88,198.53,208.51,11193017
2022-06-08,208.51,211.93,208.51,211.77,11783254
2022-06-09,211.77,213.07,211.77,212.54,2985597
2022-06-10,212.54,213.54,208.89,211.3,12569592
2022-06-13,211.3,211.3,206.97,207.67,14710688
2022-06-14,207.67,207.67,198.87,198.9,9350555
2022-06-15,198.9,198.9,196.19,196.41,4308786
2022-06-16,196.41,202.55,196.41,202.19,6693186
2022-06-17,202.19,202.19,197.3,198.26,5569777
2022-06-21,198.26,205.77,198.26,205.38,9082602
2022-06-22,205.38,206.28,204.12,205.23,9388295
2022-06-23,205.23,212.47,205.23,210.98,13981625
2022-06-24,210.98,218.12,210.98,216.64,15586623
2022-06-27,216.64,216.64,210.95,213.14,24545547
2022-06-28,213.14,223.91,213.14,222.71,6738621
2022-06-29,222.71,234.22,222.71,233.52,8901400
2022-06-30,233.52,237.1,233.52,236.92,8829890
2022-07-01,236.92,236.92,222.45,224.1,6785388
2022-07-05,224.1,224.1,216.81,219.43,9936256
2022-07-06,219.43,219.43,210.13,211.2,11973427
2022-07-07,211.2,211.2,210.34,210.42,22376770
2022-07-08,210.42,210.47,206.18,207.11,11433244
2022-07-11,207.11,210.57,207.11,209.41,5776902
2022-07-12,209.41,209.41,202.85,203.02,5210389
2022-07-13,203.02,203.02,190.16,191.4,6407417
2022-07-14,191.4,197.48,191.4,196.12,11637708
2022-07-15,196.12,201.42,196.12,201.32,9153658
2022-07-18,201.32,201.32,189.33,190.05,5304896
2022-07-19,190.05,190.05,186.65,187.51,6280840
2022-07-20,187.51,187.51,185.59,185.61,13697009
2022-07-21,185.61,185.61,182.33,182.86,14864096
2022-07-22,182.86,189.62,182.86,188.81,3681478
2022-07-25,188.81,190.63,187.77,189.53,9930930
