date,open,high,low,close,volume
2022-01-03,127.21,129.1,127.21,128.82,9130690
2022-01-04,128.82,129.21,127.58,127.87,10446256
2022-01-05,127.87,132.59,127.87,132.01,10766958
2022-01-06,132.01,132.01,128.03,128.36,11342324
2022-01-07,128.36,130.8,128.36,130.28,11052986
2022-01-10,130.28,130.28,123.77,123.97,4755104
2022-01-11,123.97,124.99,123.7,124.29,5927688
2022-01-12,124.29,125.46,123.47,124.52,14250287
2022-01-13,124.52,124.52,120.82,121.06,6026277
2022-01-14,121.06,126.08,121.06,125.59,9979543
2022-01-18,125.59,125.59,122.29,122.42,6927791
2022-01-19,122.42,122.84,121.17,121.49,13200332
2022-01-20,121.49,125.03,121.49,124.98,13708793
2022-01-21,124.98,126.67,124.98,125.7,6144786
2022-01-24,125.7,125.7,123.88,124.6,11771325
2022-01-25,124.6,124.6,122.79,122.89,12580787
2022-01-26,122.89,123.52,122.63,123.0,11236011
2022-01-27,123.0,123.0,121.53,121.92,8093795
2022-01-28,121.92,122.32,121.92,122.3,4462797
2022-01-31,122.3,122.3,120.12,120.49,14163419
2022-02-01,120.49,124.05,120.49,123.09,6929718
2022-02-02,123.09,123.09,120.76,121.31,8116633
2022-02-03,121.31,121.31,116.2,117.15,10710776
2022-02-04,117.15,125.71,117.15,125.28,5927777
2022-02-07,125.28,128.95,125.28,128.33,5685315
2022-02-08,128.33,128.33,125.59,126.35,6311634
2022-02-09,126.35,126.35,123.78,123.78,6134667
2022-02-10,123.78,125.88,123.78,125.86,5731792
2022-02-11,125.86,125.86,123.07,124.0,8853635
2022-02-14,124.0,128.88,124.0,127.14,9670984
2022-02-15,127.14,129.68,127.14,128.76,6726645
2022-02-16,128.76,130.28,128.76,129.7,9095472
2022-02-17,129.7,130.62,129.34,130.33,2966203
2022-02-18,130.33,134.99,130.33,134.97,9991246
2022-02-22,134.97,135.23,134.35,134.38,9129131
2022-02-23,134.38,135.02,134.38,134.88,13748940
2022-02-24,134.88,134.88,131.62,132.54,10320973
2022-02-25,132.54,134.54,132.54,134.5,11038274
2022-02-28,134.5,134.5,130.72,131.83,6713402
2022-03-01,131.83,137.01,131.83,135.75,4400942
2022-03-02,135.75,141.31,135.75,140.11,8830843
2022-03-03,140.11,140.11,134.57,134.76,4802760
2022-03-04,134.76,139.54,134.76,138.12,9092215
2022-03-07,138.12,138.12,134.04,134.17,10782945
2022-03-08,134.17,134.17,132.8,132.86,8514668
2022-03-09,132.86,133.34,132.74,132.84,6006169
2022-03-10,132.84,132.84,130.97,131.48,17761613
2022-03-11,131.48,131.48,129.67,130.42,7911721
2022-03-14,130.42,133.79,130.42,133.0,13265657
2022-03-15,133.0,137.03,133.0,136.47,16488683
2022-03-16,136.47,136.72,134.71,136.15,14889248
2022-03-17,136.15,136.53,136.1,136.19,11646992
2022-03-18,136.19,138.37,136.19,138.3,17857232
2022-03-21,138.3,138.3,134.29,134.94,10260104
2022-03-22,134.94,135.98,134.55,135.12,13296304
2022-03-23,135.12,135.62,134.11,134.46,9671424
2022-03-24,134.46,135.69,134.46,135.41,6322086
2022-03-25,135.41,135.41,131.25,131.77,9563342
2022-03-28,131.77,133.7,131.77,132.97,5014127
2022-03-29,132.97,135.07,132.97,133.91,9262457
2022-03-30,133.91,141.29,133.91,140.39,7654602
2022-03-31,140.39,140.39,134.34,136.21,12660322
2022-04-01,136.21,144.14,136.21,143.94,15282078
2022-04-04,143.94,150.97,143.94,150.7,5778746
2022-04-05,150.7,156.69,150.7,155.41,10418546
2022-04-06,155.41,155.41,153.15,153.62,10482611
2022-04-07,153.62,157.45,153.62,157.3,15103888
2022-04-08,157.3,157.3,150.11,151.06,12733865
2022-04-11,151.06,151.06,142.53,144.01,13914036
2022-04-12,144.01,144.01,141.36,142.11,10391777
2022-04-13,142.11,142.11,138.54,138.93,5474220
2022-04-14,138.93,138.93,131.39,132.67,6666933
2022-04-15,132.67,137.96,132.67,137.91,10557934
2022-04-18,137.91,137.91,134.67,135.64,5363961
2022-04-19,135.64,137.78,135.64,137.2,7255305
2022-04-20,137.2,147.28,137.2,146.7,7693847
2022-04-21,146.7,146.7,145.85,146.37,8530883
2022-04-22,146.37,146.37,141.75,142.04,10379887
2022-04-25,142.04,148.72,142.04,148.51,10089517
2022-04-26,148.51,148.51,147.41,148.06,11351443
2022-04-27,148.06,151.62,148.06,151.12,6139545
2022-04-28,151.12,151.12,141.25,141.75,7598261
2022-04-29,141.75,143.34,141.75,142.8,10690242
2022-05-02,142.8,142.99,142.53,142.65,5629581
2022-05-03,142.65,142.65,139.62,141.47,11999672
2022-05-04,141.47,145.31,141.47,144.81,9286722
2022-05-05,144.81,144.81,142.21,142.57,5263745
2022-05-06,142.57,142.57,141.17,141.69,12449462
2022-05-09,141.69,142.86,141.44,142.09,9761584
2022-05-10,142.09,145.35,142.09,145.09,18326356
2022-05-11,145.09,145.09,143.0,144.3,14039178
2022-05-12,144.3,144.58,143.47,143.82,4645113
2022-05-13,143.82,143.82,142.73,143.31,7978536
2022-05-16,143.31,143.6,142.04,142.79,9451163
2022-05-17,142.79,142.79,138.44,138.45,9919885
2022-05-18,138.45,141.56,138.45,141.02,6128488
2022-05-19,141.02,143.91,141.02,143.86,9192741
2022-05-20,143.86,143.86,137.78,138.48,7949145
2022-05-23,138.48,138.48,137.01,137.06,6327620
2022-05-24,137.06,142.15,137.06,141.47,7287200
2022-05-25,141.47,142.32,141.28,141.88,7348853
2022-05-26,141.88,141.88,140.58,140.86,18566710
2022-05-27,140.86,140.86,136.59,137.25,14195619
2022-05-31,137.25,141.75,137.25,141.45,9981107
2022-06-01,141.45,141.45,138.34,139.18,4529915
2022-06-02,139.18,141.78,139.18,141.51,15611487
2022-06-03,141.51,148.64,141.51,148.15,3952117
2022-06-06,148.15,148.89,148.15,148.64,5311660
2022-06-07,148.64,153.83,148.64,153.79,4839257
2022-06-08,153.79,157.51,153.79,155.56,6106015
2022-06-09,155.56,160.66,155.56,159.39,17409082
2022-06-10,159.39,159.76,156.84,158.51,12142968
2022-06-13,158.51,158.51,155.09,155.3,9850328
2022-06-14,155.3,155.3,153.59,153.67,8918564
2022-06-15,153.67,153.67,151.78,152.44,6108030
2022-06-16,152.44,153.49,152.44,153.48,12339003
2022-06-17,153.48,157.31,153.48,156.15,15918978
2022-06-21,156.15,156.15,150.56,150.58,12734037
2022-06-22,150.58,151.36,149.6,151.22,11392951
2022-06-23,151.22,152.7,151.22,152.41,13307491
2022-06-24,152.41,153.38,152.03,152.66,9130252
