date,open,high,low,close,volume
2022-01-03,329.49,329.49,323.3,325.6,10747962
2022-01-04,325.6,333.73,325.6,330.73,7821069
2022-01-05,330.73,330.8,327.22,327.87,10922873
2022-01-06,327.87,327.87,323.33,325.41,6040652
2022-01-07,325.41,325.41,320.45,320.67,10404091
2022-01-10,320.67,320.67,312.53,314.69,8626599
2022-01-11,314.69,320.2,314.69,317.15,7692157
2022-01-12,317.15,322.21,317.15,320.55,5396740
2022-01-13,320.55,326.03,320.55,322.13,9366627
2022-01-14,322.13,322.13,317.53,317.64,9024125
2022-01-18,317.64,317.64,315.42,316.14,6351143
2022-01-19,316.14,328.07,316.14,327.62,4691445
2022-01-20,327.62,327.62,316.63,317.26,4602959
2022-01-21,317.26,332.81,317.26,330.93,8027396
2022-01-24,330.93,332.37,330.86,331.61,10045135
2022-01-25,331.61,331.88,328.94,330.21,18624503
2022-01-26,330.21,337.51,330.21,337.3,8727050
2022-01-27,337.3,337.3,321.72,321.92,4638240
2022-01-28,321.92,332.61,321.92,332.0,8180245
2022-01-31,332.0,347.97,332.0,346.09,14658720
2022-02-01,346.09,355.61,346.09,354.59,6762354
2022-02-02,354.59,354.59,336.85,338.16,13900584
2022-02-03,338.16,345.88,338.16,343.95,9533189
2022-02-04,343.95,359.08,343.95,356.84,11510297
2022-02-07,356.84,371.56,356.84,369.36,18690807
2022-02-08,369.36,369.36,353.05,357.79,4261340
2022-02-09,357.79,366.65,357.79,365.98,12718925
2022-02-10,365.98,383.23,365.98,380.98,8555796
2022-02-11,380.98,382.87,380.37,381.16,6078860
2022-02-14,381.16,381.16,365.68,368.84,8535514
2022-02-15,368.84,375.95,368.84,375.7,17476861
2022-02-16,375.7,387.8,375.7,384.63,15157081
2022-02-17,384.63,384.63,383.27,383.36,3991645
2022-02-18,383.36,383.36,371.74,373.16,6530957
2022-02-22,373.16,384.51,373.16,381.42,12957141
2022-02-23,381.42,381.42,370.17,374.81,8809157
2022-02-24,374.81,379.62,374.81,378.1,8822313
2022-02-25,378.1,394.52,378.1,391.5,4745319
2022-02-28,391.5,391.5,376.15,377.1,6594913
2022-03-01,377.1,386.28,377.1,384.8,5161396
2022-03-02,384.8,385.17,380.73,382.94,4586707
2022-03-03,382.94,383.08,376.81,381.31,5373042
2022-03-04,381.31,388.46,381.31,385.67,6130340
2022-03-07,385.67,385.67,376.1,378.97,6553793
2022-03-08,378.97,378.97,368.3,369.02,6344812
2022-03-09,369.02,369.02,350.82,354.45,13365434
2022-03-10,354.45,365.05,354.45,364.33,6181937
2022-03-11,364.33,364.6,358.32,361.23,15720464
2022-03-14,361.23,368.66,361.23,365.81,7322114
2022-03-15,365.81,365.81,359.09,361.78,10592740
2022-03-16,361.78,361.78,347.67,352.38,10728960
2022-03-17,352.38,357.99,352.38,357.52,6204979
2022-03-18,357.52,363.58,357.52,360.1,7793212
2022-03-21,360.1,360.1,356.72,358.11,7266770
2022-03-22,358.11,362.52,358.11,360.48,10313623
2022-03-23,360.48,360.48,352.48,352.72,8439741
2022-03-24,352.72,362.06,352.72,361.15,6587211
2022-03-25,361.15,372.45,361.15,371.73,9319535
2022-03-28,371.73,381.02,371.73,378.05,10179092
2022-03-29,378.05,378.05,373.47,374.83,18625047
2022-03-30,374.83,378.15,374.58,375.26,9131591
2022-03-31,375.26,392.74,375.26,388.65,8921755
2022-04-01,388.65,400.63,388.65,399.93,10547078
2022-04-04,399.93,418.96,399.93,418.18,6078320
2022-04-05,418.18,418.18,407.07,410.83,4456151
2022-04-06,410.83,410.83,400.58,402.79,7843213
2022-04-07,402.79,404.65,402.79,403.93,13644398
2022-04-08,403.93,409.37,403.93,407.56,14554644
2022-04-11,407.56,409.33,405.0,406.18,4190145
2022-04-12,406.18,406.18,402.37,402.56,11599027
2022-04-13,402.56,414.8,402.56,414.12,3708287
2022-04-14,414.12,414.99,409.98,413.19,10677744
2022-04-15,413.19,413.19,400.09,401.98,10425275
2022-04-18,401.98,401.98,391.7,392.09,4458879
2022-04-19,392.09,395.48,392.09,394.2,13256763
2022-04-20,394.2,426.42,394.2,421.64,17850362
2022-04-21,421.64,421.64,412.07,412.41,8666779
2022-04-22,412.41,413.04,408.6,409.42,9401689
2022-04-25,409.42,433.2,409.42,432.08,16056855
2022-04-26,432.08,432.08,424.55,427.32,5663016
2022-04-27,427.32,432.64,427.32,431.63,5720512
2022-04-28,431.63,450.8,431.63,450.13,6351786
2022-04-29,450.13,450.13,437.63,440.52,9018899
2022-05-02,440.52,440.52,436.19,437.39,9009285
2022-05-03,437.39,437.39,430.68,432.57,7121891
2022-05-04,432.57,432.57,416.77,417.98,7879758
2022-05-05,417.98,434.16,417.98,432.9,7161089
2022-05-06,432.9,432.9,425.81,427.16,7299234
2022-05-09,427.16,427.16,418.1,418.75,6534402
2022-05-10,418.75,418.75,414.37,414.51,6555560
2022-05-11,414.51,426.25,414.51,423.17,3991279
2022-05-12,423.17,425.14,423.17,424.16,8125598
2022-05-13,424.16,424.16,415.92,416.6,4064365
2022-05-16,416.6,420.6,416.6,420.37,11997677
2022-05-17,420.37,428.26,420.37,428.03,7103036
2022-05-18,428.03,429.02,427.62,427.72,8471652
2022-05-19,427.72,427.72,424.01,425.39,7653825
2022-05-20,425.39,435.45,425.39,435.13,8059438
2022-05-23,435.13,435.85,432.84,433.3,14729309
2022-05-24,433.3,450.22,433.3,449.16,5175266
2022-05-25,449.16,449.16,440.98,441.49,4642080
2022-05-26,441.49,441.49,432.2,433.72,9320705
2022-05-27,433.72,433.72,424.37,424.92,7287332
2022-05-31,424.92,424.92,421.38,422.56,10260884
2022-06-01,422.56,424.13,421.09,422.5,11835699
2022-06-02,422.5,422.5,407.06,410.02,5708476
2022-06-03,410.02,411.83,410.02,410.83,11311783
2022-06-06,410.83,417.02,410.83,416.01,5904483
2022-06-07,416.01,416.01,400.27,402.45,9155177
2022-06-08,402.45,402.45,395.94,397.69,5417984
2022-06-09,397.69,403.32,397.69,402.71,9368443
2022-06-10,402.71,402.71,390.17,392.9,8812212
2022-06-13,392.9,392.9,388.18,390.04,5716276
2022-06-14,390.04,402.82,390.04,399.62,5160971
2022-06-15,399.62,416.18,399.62,415.99,11998058
2022-06-16,415.99,421.91,415.99,420.05,7413400
2022-06-17,420.05,420.05,416.9,418.37,13320468
2022-06-21,418.37,418.37,411.68,413.6,7150140
2022-06-22,413.6,425.58,413.6,422.07,14959721
2022-06-23,422.07,435.1,422.07,432.88,6080783
2022-06-24,432.88,432.88,420.7,421.69,16015997
2022-06-27,421.69,433.91,421.69,430.33,9528031
2022-06-28,430.33,430.33,422.46,424.41,10427099
2022-06-29,424.41,424.41,412.95,416.21,5946956
2022-06-30,416.21,417.08,413.98,414.7,11895682
2022-07-01,414.7,425.26,414.7,423.96,12062008
2022-07-05,423.96,428.89,423.96,426.84,7804617
2022-07-06,426.84,430.12,426.84,429.47,3784414
2022-07-07,429.47,434.63,429.47,432.8,5692548
2022-07-08,432.8,438.63,432.8,437.29,5692202
2022-07-11,437.29,438.12,435.95,436.09,10635852
2022-07-12,436.09,443.55,436.09,442.24,7377807
2022-07-13,442.24,442.24,431.55,435.65,7435349
2022-07-14,435.65,442.85,435.65,441.98,7084891
2022-07-15,441.98,450.54,441.98,450.49,15993870
2022-07-18,450.49,461.29,450.49,457.54,9048782
2022-07-19,457.54,466.76,457.54,465.23,9617511
2022-07-20,465.23,471.85,465.23,470.03,6936058
2022-07-21,470.03,482.86,470.03,482.5,8781383
2022-07-22,482.5,482.5,455.84,458.39,6014743
2022-07-25,458.39,468.62,458.39,467.18,10195835
2022-07-26,467.18,492.2,467.18,488.3,5617394
2022-07-27,488.3,488.3,478.28,481.43,11967293
2022-07-28,481.43,481.43,471.53,473.46,6622735
2022-07-29,473.46,490.77,473.46,487.26,12985671
2022-08-01,487.26,487.26,474.48,477.12,19056478
2022-08-02,477.12,477.12,468.17,469.93,8890025
2022-08-03,469.93,473.16,464.89,471.64,15016288
2022-08-04,471.64,471.64,461.57,463.16,12001948
2022-08-05,463.16,472.44,463.16,472.26,5009702
2022-08-08,472.26,472.26,459.37,463.85,9289275
2022-08-09,463.85,468.12,463.85,467.54,10858725
2022-08-10,467.54,473.87,467.54,470.45,11286141
2022-08-11,470.45,491.39,470.45,488.28,9542658
2022-08-12,488.28,505.55,488.28,501.14,9493563
2022-08-15,501.14,501.14,495.02,495.11,8904211
2022-08-16,495.11,495.11,481.06,481.15,9372312
2022-08-17,481.15,493.23,481.15,490.2,5446743
2022-08-18,490.2,490.2,477.35,482.96,8084956
2022-08-19,482.96,482.96,478.56,479.24,4969389
2022-08-22,479.24,479.24,467.19,467.87,7282238
2022-08-23,467.87,475.5,467.87,474.97,7015817
2022-08-24,474.97,474.97,466.26,468.03,6838881
2022-08-25,468.03,468.03,461.4,467.57,5833902
2022-08-26,467.57,470.06,465.41,467.27,9896689
2022-08-29,467.27,469.77,466.09,469.12,7824511
2022-08-30,469.12,481.12,469.12,476.05,7510626
2022-08-31,476.05,476.05,472.92,473.37,5060472
2022-09-01,473.37,473.37,462.17,465.46,7888018
2022-09-02,465.46,465.46,444.48,446.32,14051126
2022-09-06,446.32,447.84,444.33,447.26,14137233
2022-09-07,447.26,447.26,443.3,445.6,10318046
2022-09-08,445.6,445.6,436.33,438.46,7896564
2022-09-09,438.46,440.76,437.09,438.99,11112633
2022-09-12,438.99,452.04,438.99,447.43,6804254
2022-09-13,447.43,461.42,447.43,458.66,7883630
2022-09-14,458.66,458.66,441.96,443.02,6602711
2022-09-15,443.02,443.02,435.45,439.36,12779419
2022-09-16,439.36,449.0,439.36,448.86,12139830
2022-09-19,448.86,466.06,448.86,465.17,8763685
2022-09-20,465.17,465.17,456.54,456.61,17760739
2022-09-21,456.61,471.94,456.61,470.89,10480278
2022-09-22,470.89,470.89,453.93,456.73,10246953
2022-09-23,456.73,471.54,456.73,468.58,9817215
2022-09-26,468.58,468.58,464.41,465.53,5363274
2022-09-27,465.53,483.55,465.53,482.08,6213830
2022-09-28,482.08,482.08,476.46,476.98,8694009
2022-09-29,476.98,476.98,471.34,473.58,8722763
2022-09-30,473.58,474.84,468.16,472.07,11250296
2022-10-03,472.07,472.07,454.89,455.95,6802856
2022-10-04,455.95,455.95,434.17,438.16,9140948
2022-10-05,438.16,446.5,438.16,443.13,9206534
2022-10-06,443.13,453.87,443.13,452.99,9353657
2022-10-07,452.99,463.1,452.99,459.13,8944646
2022-10-11,459.13,459.13,443.98,446.29,5068036
2022-10-12,446.29,452.3,446.29,451.04,3596647
2022-10-13,451.04,451.04,437.68,441.03,6096921
2022-10-14,441.03,446.1,441.03,445.0,7185321
2022-10-17,445.0,459.1,445.0,456.38,5546176
2022-10-18,456.38,462.78,456.38,460.07,8690408
2022-10-19,460.07,475.63,460.07,475.42,13743036
2022-10-20,475.42,478.2,469.94,473.73,11880551
2022-10-21,473.73,473.73,470.69,471.33,10708338
2022-10-24,471.33,473.01,469.34,471.96,13178856
2022-10-25,471.96,471.96,456.26,457.84,6138867
2022-10-26,457.84,457.84,452.86,453.62,7402153
2022-10-27,453.62,453.62,450.32,450.33,11363746
2022-10-28,450.33,454.84,444.43,447.38,7349831
2022-10-31,447.38,450.63,447.38,450.0,7512428
2022-11-01,450.0,450.0,430.47,435.19,18717465
2022-11-02,435.19,435.19,421.44,424.05,9231912
2022-11-03,424.05,435.49,424.05,434.89,17992228
2022-11-04,434.89,434.89,415.34,415.63,4285215
2022-11-07,415.63,421.74,415.63,421.34,6904289
2022-11-08,421.34,421.34,417.09,417.74,10464787
2022-11-09,417.74,420.07,417.06,419.16,9225602
2022-11-10,419.16,436.37,419.16,434.02,3905051
2022-11-14,434.02,434.02,432.38,432.66,8106431
2022-11-15,432.66,439.53,432.66,438.7,23895651
2022-11-16,438.7,440.84,434.98,439.19,9808550
2022-11-17,439.19,439.27,436.68,438.03,11316522
2022-11-18,438.03,438.03,433.35,435.65,6868269
2022-11-21,435.65,443.26,435.65,442.49,9794324
2022-11-22,442.49,442.49,433.16,435.19,8842398
2022-11-23,435.19,435.19,424.11,424.17,13901756
2022-11-25,424.17,429.11,423.52,424.8,13725971
2022-11-28,424.8,427.12,422.51,426.56,10459345
2022-11-29,426.56,426.56,406.85,409.35,9141968
2022-11-30,409.35,409.35,407.39,409.17,4539634
2022-12-01,409.17,409.17,397.09,397.97,4476794
2022-12-02,397.97,403.69,397.97,403.53,9182080
2022-12-05,403.53,403.53,386.99,387.43,12608145
2022-12-06,387.43,405.75,387.43,404.48,15137693
2022-12-07,404.48,404.48,399.26,401.34,6225127
2022-12-08,401.34,401.34,392.32,393.54,4858812
2022-12-09,393.54,393.54,389.56,390.97,12905751
2022-12-12,390.97,396.21,390.97,395.81,6414831
2022-12-13,395.81,404.82,395.81,403.73,4728755
2022-12-14,403.73,403.73,400.77,401.17,7293752
2022-12-15,401.17,401.17,386.62,388.33,7243104
2022-12-16,388.33,388.33,375.02,377.82,15067767
2022-12-19,377.82,380.62,377.82,380.19,12562836
2022-12-20,380.19,390.74,380.19,388.64,6616288
2022-12-21,388.64,400.98,388.64,398.45,15543945
2022-12-22,398.45,400.95,398.14,399.88,9341807
2022-12-23,399.88,409.45,399.88,408.59,13583063
2022-12-27,408.59,426.76,408.59,426.45,15110061
2022-12-28,426.45,439.4,426.45,437.93,8000085
2022-12-29,437.93,447.84,437.93,447.02,11167606
2022-12-30,447.02,447.02,438.35,438.9,7551800
2023-01-03,438.9,453.28,438.9,448.41,12891012
