date,open,high,low,close,volume
2022-01-03,354.26,367.77,354.26,365.95,8963299
2022-01-04,365.95,372.75,365.95,370.5,4213786
2022-01-05,370.5,370.5,356.54,358.72,22478156
2022-01-06,358.72,358.72,352.03,353.14,14547507
2022-01-07,353.14,361.64,353.14,360.66,21979215
2022-01-10,360.66,360.66,354.92,357.21,12653618
2022-01-11,357.21,361.26,355.62,357.89,9083112
2022-01-12,357.89,357.89,352.78,354.19,11183076
2022-01-13,354.19,361.43,354.19,360.61,7341423
2022-01-14,360.61,366.98,360.61,364.59,6321519
2022-01-18,364.59,364.59,359.74,359.93,20544765
2022-01-19,359.93,367.31,359.93,366.36,7928279
2022-01-20,366.36,373.72,366.36,373.35,9395382
2022-01-21,373.35,378.11,373.35,378.03,10728109
2022-01-24,378.03,380.86,376.08,379.96,8091043
2022-01-25,379.96,411.93,379.96,410.02,13065142
2022-01-26,410.02,410.02,396.87,398.37,8539222
2022-01-27,398.37,398.37,395.56,396.1,36333818
2022-01-28,396.1,397.61,394.97,396.22,4146106
2022-01-31,396.22,407.88,396.22,406.75,6802802
2022-02-01,406.75,406.75,404.61,404.65,13670648
2022-02-02,404.65,415.1,404.65,414.36,4741444
2022-02-03,414.36,414.36,409.54,409.66,9612914
2022-02-04,409.66,414.14,409.63,413.71,7780665
2022-02-07,413.71,422.55,413.71,421.35,8480053
2022-02-08,421.35,421.35,414.69,416.27,14425269
2022-02-09,416.27,425.65,416.27,423.15,9419764
2022-02-10,423.15,436.22,423.15,436.04,6580846
2022-02-11,436.04,436.1,431.57,435.42,13356626
2022-02-14,435.42,435.42,425.65,426.98,9756304
2022-02-15,426.98,426.98,423.56,424.56,5115510
2022-02-16,424.56,426.5,422.17,424.06,6800014
2022-02-17,424.06,432.84,424.06,432.79,8592307
2022-02-18,432.79,432.79,424.61,425.18,12085059
2022-02-22,425.18,432.02,425.18,431.11,8441452
2022-02-23,431.11,436.64,431.11,436.38,13025362
2022-02-24,436.38,442.57,436.38,440.96,9142035
2022-02-25,440.96,454.73,440.96,452.33,6776120
2022-02-28,452.33,457.22,452.33,455.1,9091259
2022-03-01,455.1,455.1,449.95,450.21,11897156
2022-03-02,450.21,452.03,449.28,449.94,8254443
2022-03-03,449.94,453.14,449.94,450.64,5718707
2022-03-04,450.64,450.64,445.55,446.31,9613661
2022-03-07,446.31,446.31,430.27,433.41,6179001
2022-03-08,433.41,436.16,432.99,434.64,16186065
2022-03-09,434.64,440.83,434.51,436.99,14014042
2022-03-10,436.99,437.88,435.66,436.71,8092907
2022-03-11,436.71,437.52,434.83,437.24,10667932
2022-03-14,437.24,437.24,427.8,429.36,8577676
2022-03-15,429.36,429.36,408.73,408.81,16214914
2022-03-16,408.81,409.55,406.2,406.73,4666847
2022-03-17,406.73,406.73,393.59,395.78,9606701
2022-03-18,395.78,399.77,395.78,398.82,6070611
2022-03-21,398.82,398.82,388.36,390.21,10523966
2022-03-22,390.21,393.23,387.29,389.9,4183773
2022-03-23,389.9,389.9,386.97,387.6,10135668
2022-03-24,387.6,387.6,377.62,381.82,19298942
2022-03-25,381.82,390.16,381.82,389.8,7143195
2022-03-28,389.8,389.8,380.01,380.87,4861973
2022-03-29,380.87,380.87,362.64,362.95,11570261
2022-03-30,362.95,362.95,353.74,354.02,7830425
2022-03-31,354.02,366.26,354.02,365.33,12960410
2022-04-01,365.33,365.82,361.31,363.36,13793163
2022-04-04,363.36,373.32,363.36,371.59,13425932
2022-04-05,371.59,374.09,371.08,371.51,8795278
2022-04-06,371.51,384.75,371.51,380.85,18431323
2022-04-07,380.85,380.85,373.26,374.52,12210407
2022-04-08,374.52,379.51,374.52,376.75,6653204
2022-04-11,376.75,383.92,376.75,383.0,6851034
2022-04-12,383.0,383.0,371.99,373.22,14972710
2022-04-13,373.22,373.22,364.98,365.46,11612094
2022-04-14,365.46,365.46,361.95,363.63,6659186
2022-04-15,363.63,368.62,363.63,367.25,7702000
2022-04-18,367.25,367.25,361.29,361.36,8662036
2022-04-19,361.36,371.62,361.36,369.95,12337106
2022-04-20,369.95,380.0,369.95,377.3,8127777
2022-04-21,377.3,377.3,374.98,376.86,15035107
2022-04-22,376.86,381.07,376.86,380.37,10270372
2022-04-25,380.37,386.47,380.37,386.15,15328850
2022-04-26,386.15,393.14,386.15,393.01,5617458
2022-04-27,393.01,398.05,392.84,397.13,16193138
2022-04-28,397.13,397.13,390.58,392.45,14188077
2022-04-29,392.45,392.45,378.32,379.45,9156756
2022-05-02,379.45,382.05,378.13,380.73,7202666
2022-05-03,380.73,392.64,380.73,390.65,14960676
2022-05-04,390.65,401.64,390.65,401.51,7397184
2022-05-05,401.51,406.23,401.51,404.19,8867187
2022-05-06,404.19,404.19,399.85,400.48,10876428
2022-05-09,400.48,411.0,400.48,408.18,5642099
2022-05-10,408.18,408.18,397.72,399.13,8259814
2022-05-11,399.13,399.13,393.24,394.15,6146230
2022-05-12,394.15,394.15,381.48,382.79,4768320
2022-05-13,382.79,394.34,382.79,390.75,20452414
2022-05-16,390.75,390.75,377.46,377.89,6837844
2022-05-17,377.89,382.01,377.89,381.11,11404990
2022-05-18,381.11,400.42,381.11,399.79,20537542
2022-05-19,399.79,404.84,399.79,403.15,6897496
