date,open,high,low,close,volume
2022-01-03,218.52,218.52,215.05,216.47,8220751
2022-01-04,216.47,216.47,215.15,215.34,5900723
2022-01-05,215.34,215.34,209.89,210.42,5053254
2022-01-06,210.42,215.22,210.42,213.65,9924386
2022-01-07,213.65,216.71,213.65,215.21,8328685
2022-01-10,215.21,215.21,208.26,209.78,7414226
2022-01-11,209.78,212.6,209.78,212.41,8521513
2022-01-12,212.41,213.51,210.73,211.78,8635578
2022-01-13,211.78,212.73,209.92,210.73,10091067
2022-01-14,210.73,211.16,210.26,211.08,14471907
2022-01-18,211.08,211.15,209.31,209.99,12912844
2022-01-19,209.99,209.99,209.08,209.89,12208487
2022-01-20,209.89,209.89,206.82,207.19,7381700
2022-01-21,207.19,207.19,203.47,206.21,6709413
2022-01-24,206.21,206.21,203.04,204.33,6772064
2022-01-25,204.33,205.76,204.04,205.52,12653135
2022-01-26,205.52,205.52,204.03,205.21,12074253
2022-01-27,205.21,205.28,203.78,204.98,4485864
2022-01-28,204.98,204.98,201.86,202.46,13257011
2022-01-31,202.46,204.33,202.46,204.19,9861742
2022-02-01,204.19,205.85,204.19,205.32,8961755
2022-02-02,205.32,208.75,205.32,208.35,13818504
2022-02-03,208.35,210.36,206.84,209.23,9931828
2022-02-04,209.23,209.23,206.96,208.99,6230558
2022-02-07,208.99,210.74,208.99,210.6,6564638
2022-02-08,210.6,210.6,208.39,208.69,9710507
2022-02-09,208.69,208.69,205.26,207.54,9556733
2022-02-10,207.54,207.54,205.83,206.11,11370012
2022-02-11,206.11,209.52,206.11,209.35,22366208
2022-02-14,209.35,209.35,208.18,209.08,14676576
2022-02-15,209.08,209.46,209.08,209.37,6216365
2022-02-16,209.37,209.37,205.48,207.7,9110114
2022-02-17,207.7,209.43,207.22,208.42,7911379
2022-02-18,208.42,209.48,206.82,208.33,9881094
2022-02-22,208.33,212.29,208.33,211.93,5968010
2022-02-23,211.93,212.7,210.93,211.61,4994338
2022-02-24,211.61,215.28,211.61,213.37,5179726
