date,open,high,low,close,volume
2022-01-03,116.13,117.27,116.05,116.26,14694722
2022-01-04,116.26,117.37,115.98,117.28,4177437
2022-01-05,117.28,118.41,117.28,117.89,13838275
2022-01-06,117.89,117.89,114.88,115.55,9464903
2022-01-07,115.55,115.55,114.72,115.21,13105779
2022-01-10,115.21,116.63,115.21,116.37,8647836
2022-01-11,116.37,117.18,116.37,117.13,10341695
2022-01-12,117.13,117.13,114.91,115.69,7867909
2022-01-13,115.69,116.48,115.69,116.43,13215651
2022-01-14,116.43,118.39,116.43,118.1,6793351
2022-01-18,118.1,118.1,115.53,116.3,13396194
2022-01-19,116.3,116.3,112.02,112.78,9544418
2022-01-20,112.78,116.12,112.78,115.94,12027260
2022-01-21,115.94,116.64,115.94,116.5,5934519
2022-01-24,116.5,116.5,115.13,115.66,10523401
2022-01-25,115.66,115.66,113.99,114.76,10998644
2022-01-26,114.76,115.22,114.15,115.02,18656898
2022-01-27,115.02,117.1,115.02,116.89,11746870
2022-01-28,116.89,116.89,114.04,114.16,7023312
2022-01-31,114.16,114.16,112.72,113.43,6908033
2022-02-01,113.43,117.69,113.43,116.39,12048425
2022-02-02,116.39,118.21,116.39,117.88,7159936
2022-02-03,117.88,120.45,117.88,119.24,7218890
2022-02-04,119.24,120.25,119.24,119.99,6301768
2022-02-07,119.99,121.33,119.99,120.56,9372045
2022-02-08,120.56,120.56,119.64,119.67,9700638
2022-02-09,119.67,119.67,118.35,118.62,7799246
2022-02-10,118.62,120.54,118.62,120.11,17505058
2022-02-11,120.11,120.21,118.95,119.09,11166577
2022-02-14,119.09,121.33,119.09,119.61,17953642
2022-02-15,119.61,120.03,119.61,119.88,9363651
2022-02-16,119.88,124.28,119.88,124.04,6628376
2022-02-17,124.04,124.47,122.43,123.72,5969465
2022-02-18,123.72,126.67,123.72,125.99,8459395
2022-02-22,125.99,127.85,125.99,127.37,12010653
2022-02-23,127.37,128.35,126.97,127.13,7890301
2022-02-24,127.13,127.13,124.34,124.67,12519015
2022-02-25,124.67,124.77,124.43,124.55,15577343
2022-02-28,124.55,127.16,124.55,126.3,6435413
2022-03-01,126.3,126.3,123.86,123.9,5724128
2022-03-02,123.9,126.09,123.9,125.51,12984505
2022-03-03,125.51,128.29,125.51,128.16,9895503
2022-03-04,128.16,129.07,127.92,128.34,10121633
2022-03-07,128.34,131.21,128.34,130.17,11745082
2022-03-08,130.17,131.66,129.96,130.44,4826462
2022-03-09,130.44,131.87,130.44,131.6,10601430
2022-03-10,131.6,135.32,131.6,134.69,9551306
2022-03-11,134.69,134.69,130.28,131.45,10689350
2022-03-14,131.45,131.45,129.48,129.87,6065257
2022-03-15,129.87,133.41,129.87,132.42,9177481
2022-03-16,132.42,135.53,132.42,135.41,7323108
2022-03-17,135.41,135.41,132.35,132.45,13490365
2022-03-18,132.45,136.79,132.45,135.71,8582997
2022-03-21,135.71,135.71,130.06,130.35,6989924
2022-03-22,130.35,131.92,130.35,131.62,5978403
2022-03-23,131.62,132.73,130.22,132.06,12599145
2022-03-24,132.06,132.06,129.94,130.54,13157186
2022-03-25,130.54,130.54,128.47,129.17,19179681
2022-03-28,129.17,129.17,126.88,127.88,7812027
2022-03-29,127.88,128.66,126.63,127.46,5925766
2022-03-30,127.46,131.69,127.46,131.46,8449531
2022-03-31,131.46,133.37,131.46,133.15,6722020
2022-04-01,133.15,136.73,133.15,136.15,6909140
2022-04-04,136.15,136.15,135.29,135.46,10743041
2022-04-05,135.46,136.28,135.46,135.93,13753708
2022-04-06,135.93,135.93,132.9,133.66,10483111
2022-04-07,133.66,133.86,132.23,133.07,9297811
2022-04-08,133.07,133.07,131.55,131.91,12338182
2022-04-11,131.91,133.77,131.91,132.91,8113256
2022-04-12,132.91,132.91,131.26,131.44,15870439
2022-04-13,131.44,131.44,129.29,129.72,29492290
2022-04-14,129.72,131.51,129.54,130.51,6907725
2022-04-15,130.51,130.51,130.0,130.39,14413787
2022-04-18,130.39,130.39,128.28,128.96,14422803
