date,open,high,low,close,volume
2022-01-03,299.78,299.78,294.98,296.38,6813480
2022-01-04,296.38,297.72,294.35,297.24,13238967
2022-01-05,297.24,297.24,292.8,293.21,7285837
2022-01-06,293.21,293.21,287.06,288.41,12594292
2022-01-07,288.41,290.99,286.29,287.44,6907805
2022-01-10,287.44,288.43,287.12,287.15,19935930
2022-01-11,287.15,288.6,286.07,286.16,3481392
2022-01-12,286.16,294.5,286.16,294.36,13302370
2022-01-13,294.36,296.44,294.36,294.56,9824178
2022-01-14,294.56,300.13,294.56,299.38,4817346
2022-01-18,299.38,312.85,299.38,310.9,8127665
2022-01-19,310.9,310.9,306.4,308.41,4111894
2022-01-20,308.41,311.78,308.41,309.17,10231008
2022-01-21,309.17,313.8,309.17,313.47,6998817
2022-01-24,313.47,316.61,313.4,314.1,4073769
2022-01-25,314.1,314.1,310.91,312.62,9494938
2022-01-26,312.62,326.22,312.62,325.26,9416109
2022-01-27,325.26,334.13,325.26,331.92,20640517
2022-01-28,331.92,331.92,318.0,320.3,12375160
2022-01-31,320.3,329.62,320.3,327.74,3419495
2022-02-01,327.74,337.74,327.74,336.73,7193277
2022-02-02,336.73,345.06,336.73,343.6,13823610
2022-02-03,343.6,348.49,343.6,347.98,4635672
2022-02-04,347.98,357.39,347.98,357.23,6526448
2022-02-07,357.23,363.81,357.23,362.6,8892542
2022-02-08,362.6,367.32,362.6,366.15,7194187
2022-02-09,366.15,368.35,365.53,366.97,16793031
2022-02-10,366.97,366.97,356.76,360.36,9561520
2022-02-11,360.36,360.36,350.51,352.07,9005311
2022-02-14,352.07,356.95,352.07,356.69,6158285
2022-02-15,356.69,363.49,356.69,361.27,5717414
2022-02-16,361.27,363.04,357.58,361.0,9263650
2022-02-17,361.0,361.0,354.49,355.78,8605589
2022-02-18,355.78,355.78,348.38,349.03,5461071
2022-02-22,349.03,349.2,344.88,346.88,9758147
2022-02-23,346.88,352.04,346.88,351.02,9092435
2022-02-24,351.02,367.64,351.02,364.56,7855350
2022-02-25,364.56,364.71,364.0,364.4,14317624
2022-02-28,364.4,366.79,364.4,366.16,8842286
2022-03-01,366.16,374.74,366.16,373.2,8079034
2022-03-02,373.2,375.13,370.62,372.78,13970635
2022-03-03,372.78,376.12,371.92,375.1,8365540
2022-03-04,375.1,382.96,375.1,380.35,7567751
2022-03-07,380.35,387.52,380.35,387.5,5564685
2022-03-08,387.5,388.23,387.5,387.84,9104273
2022-03-09,387.84,387.84,383.47,384.68,12903051
2022-03-10,384.68,388.22,384.68,386.0,7521041
2022-03-11,386.0,386.0,373.6,375.05,5221398
2022-03-14,375.05,378.87,375.05,376.9,13314610
2022-03-15,376.9,382.91,376.9,382.46,13525865
2022-03-16,382.46,395.07,382.46,393.61,11228677
2022-03-17,393.61,401.0,393.61,399.8,9234366
2022-03-18,399.8,399.8,382.58,382.79,10512143
2022-03-21,382.79,393.75,382.79,391.9,4779949
2022-03-22,391.9,403.9,391.9,401.75,7040150
2022-03-23,401.75,401.75,394.86,395.52,11643212
2022-03-24,395.52,395.84,391.05,392.83,10173842
2022-03-25,392.83,404.24,392.83,402.5,12749710
2022-03-28,402.5,404.63,402.5,402.87,16412283
2022-03-29,402.87,402.87,396.61,398.87,5421836
2022-03-30,398.87,398.87,391.23,393.81,10782433
2022-03-31,393.81,413.05,393.81,411.76,8013612
2022-04-01,411.76,417.64,411.76,417.27,7432781
2022-04-04,417.27,420.47,411.76,415.29,23884516
2022-04-05,415.29,426.62,415.29,425.44,4741688
2022-04-06,425.44,425.59,424.68,424.78,8262311
2022-04-07,424.78,433.8,424.78,433.57,8084766
2022-04-08,433.57,441.21,433.57,437.84,9057175
2022-04-11,437.84,437.84,434.72,435.32,4037091
2022-04-12,435.32,442.29,435.32,438.99,6001713
2022-04-13,438.99,443.41,438.99,443.0,9061428
2022-04-14,443.0,450.35,443.0,449.03,5085347
