date,open,high,low,close,volume
2022-01-03,176.38,181.14,176.38,179.58,4486476
2022-01-04,179.58,179.58,177.52,178.52,10016285
2022-01-05,178.52,178.52,176.77,176.8,6706116
2022-01-06,176.8,180.5,176.8,179.92,6975299
2022-01-07,179.92,179.92,170.79,171.42,11490596
2022-01-10,171.42,171.42,167.27,167.66,4412506
2022-01-11,167.66,168.99,167.66,168.51,9467250
2022-01-12,168.51,171.45,168.51,171.19,16408334
2022-01-13,171.19,175.21,171.19,173.94,9417026
2022-01-14,173.94,173.94,164.56,165.75,13762392
2022-01-18,165.75,165.75,164.33,164.44,9324658
2022-01-19,164.44,168.26,164.44,167.12,6318422
2022-01-20,167.12,167.12,163.21,164.18,19229349
2022-01-21,164.18,164.32,163.27,163.61,8228319
2022-01-24,163.61,165.57,163.61,165.06,5369223
2022-01-25,165.06,166.64,164.37,165.37,5101415
2022-01-26,165.37,167.85,165.37,166.95,8249713
2022-01-27,166.95,168.19,165.5,166.55,12605317
2022-01-28,166.55,169.24,166.55,168.38,8847461
2022-01-31,168.38,170.63,167.79,170.31,4882055
2022-02-01,170.31,174.16,170.31,173.06,9188610
2022-02-02,173.06,175.7,173.06,175.69,13747526
2022-02-03,175.69,179.46,175.69,178.95,8444458
2022-02-04,178.95,178.95,177.52,177.53,15913296
2022-02-07,177.53,177.53,174.51,176.3,6360445
2022-02-08,176.3,177.81,176.3,177.07,12724561
2022-02-09,177.07,183.95,177.07,183.54,10784674
2022-02-10,183.54,185.83,183.54,184.43,10976680
2022-02-11,184.43,191.0,184.43,190.21,10618588
2022-02-14,190.21,196.45,190.21,195.47,7790800
2022-02-15,195.47,202.23,195.47,200.91,10019845
2022-02-16,200.91,206.61,200.91,206.22,7491098
2022-02-17,206.22,206.22,202.05,202.88,9916372
2022-02-18,202.88,202.88,198.67,199.13,9987003
2022-02-22,199.13,199.13,195.45,196.21,8095008
2022-02-23,196.21,200.73,196.21,200.34,8394263
2022-02-24,200.34,200.34,198.64,199.49,5018073
2022-02-25,199.49,199.49,196.71,197.49,9074271
2022-02-28,197.49,197.49,195.46,196.15,11254654
2022-03-01,196.15,199.33,196.15,197.99,9787368
2022-03-02,197.99,197.99,195.34,195.66,9408375
2022-03-03,195.66,195.66,193.07,194.05,5002886
2022-03-04,194.05,194.29,191.7,193.13,10354300
2022-03-07,193.13,196.64,193.13,196.48,5433797
2022-03-08,196.48,196.48,190.78,190.85,6579496
2022-03-09,190.85,191.45,190.85,191.01,5601595
2022-03-10,191.01,191.01,189.82,189.93,5883864
2022-03-11,189.93,192.97,189.93,192.15,9407952
2022-03-14,192.15,192.29,190.77,191.89,5170580
2022-03-15,191.89,191.89,188.83,188.89,5428032
2022-03-16,188.89,197.14,188.89,196.47,16733191
2022-03-17,196.47,202.36,196.47,202.14,18748185
2022-03-18,202.14,205.51,202.14,203.18,13229071
2022-03-21,203.18,205.92,203.18,205.5,7883360
2022-03-22,205.5,205.5,201.54,202.91,14019414
2022-03-23,202.91,205.59,202.91,203.82,11005647
2022-03-24,203.82,214.43,203.82,213.93,4076023
2022-03-25,213.93,219.37,213.93,218.91,14132724
2022-03-28,218.91,218.91,213.86,214.95,5386550
2022-03-29,214.95,216.81,214.95,216.67,7237247
2022-03-30,216.67,217.86,215.5,217.14,10029330
2022-03-31,217.14,220.3,217.14,219.34,9996088
2022-04-01,219.34,227.16,219.34,226.64,10358634
2022-04-04,226.64,226.64,222.77,223.12,14344872
2022-04-05,223.12,223.67,221.35,222.48,9901444
2022-04-06,222.48,222.48,217.67,218.18,9466653
2022-04-07,218.18,220.08,217.94,219.19,16409826
2022-04-08,219.19,220.14,219.15,219.77,8607883
2022-04-11,219.77,229.2,219.77,228.31,8484927
2022-04-12,228.31,228.31,224.9,225.01,10630902
