date,open,high,low,close,volume
2022-01-03,269.77,272.64,269.77,271.71,6396256
2022-01-04,271.71,271.71,266.7,266.91,10998798
2022-01-05,266.91,278.81,266.91,277.34,7871125
2022-01-06,277.34,283.56,277.34,282.8,11154324
2022-01-07,282.8,287.97,282.8,284.47,3053836
2022-01-10,284.47,284.47,276.48,278.16,19730198
2022-01-11,278.16,278.16,271.34,272.89,5932015
2022-01-12,272.89,280.82,272.89,280.46,12084948
2022-01-13,280.46,280.46,273.54,275.99,10853313
2022-01-14,275.99,279.27,275.99,278.08,11812503
2022-01-18,278.08,286.99,278.08,285.5,6406856
2022-01-19,285.5,286.27,285.5,286.05,7759376
2022-01-20,286.05,286.05,280.02,281.34,10421153
2022-01-21,281.34,281.34,273.0,274.44,8900162
2022-01-24,274.44,277.43,274.44,276.05,6176512
2022-01-25,276.05,276.05,269.71,271.86,11176738
2022-01-26,271.86,272.47,269.24,271.98,22153116
2022-01-27,271.98,271.98,267.45,268.0,7506636
2022-01-28,268.0,268.0,265.03,265.82,10802187
2022-01-31,265.82,265.82,261.8,263.79,9734072
2022-02-01,263.79,265.53,261.46,262.92,7661209
2022-02-02,262.92,262.92,259.86,260.27,12268107
2022-02-03,260.27,263.19,259.08,261.43,12201240
2022-02-04,261.43,265.36,261.43,265.28,7131801
2022-02-07,265.28,265.28,262.74,264.03,15763350
2022-02-08,264.03,266.17,264.03,265.12,8924145
2022-02-09,265.12,265.12,260.74,261.72,13663292
2022-02-10,261.72,261.72,255.81,256.06,10198325
2022-02-11,256.06,257.99,255.25,257.63,9027922
2022-02-14,257.63,265.09,257.63,260.98,8856632
2022-02-15,260.98,260.98,252.99,254.07,11646125
2022-02-16,254.07,256.23,253.59,253.85,5723132
2022-02-17,253.85,256.2,253.85,255.52,10309027
2022-02-18,255.52,257.6,255.52,256.68,15007892
2022-02-22,256.68,256.68,252.06,254.64,10899550
2022-02-23,254.64,254.93,253.32,254.91,4418542
2022-02-24,254.91,259.91,254.91,258.4,5110371
2022-02-25,258.4,258.4,254.44,255.36,8961104
2022-02-28,255.36,261.57,255.36,261.18,6486420
2022-03-01,261.18,261.18,254.6,256.18,12684227
2022-03-02,256.18,259.76,256.18,259.58,7350688
2022-03-03,259.58,260.08,259.27,259.88,11078609
2022-03-04,259.88,259.88,257.47,258.09,19302525
2022-03-07,258.09,258.09,247.86,251.52,8968294
2022-03-08,251.52,255.93,251.52,255.92,5928466
2022-03-09,255.92,255.92,251.82,252.65,10410568
2022-03-10,252.65,254.51,251.35,252.64,9950100
2022-03-11,252.64,254.48,252.64,254.45,9820794
2022-03-14,254.45,263.53,254.45,263.31,15358978
2022-03-15,263.31,263.31,260.98,262.09,5529095
2022-03-16,262.09,262.69,262.09,262.39,13253800
2022-03-17,262.39,265.78,262.02,264.05,6972783
2022-03-18,264.05,264.8,263.95,264.59,15436371
2022-03-21,264.59,264.59,261.46,261.85,3802216
2022-03-22,261.85,268.28,261.85,267.55,21687511
2022-03-23,267.55,267.55,264.4,265.91,7973798
2022-03-24,265.91,268.52,265.91,267.8,5476016
2022-03-25,267.8,268.42,265.78,267.08,12775234
2022-03-28,267.08,267.08,263.86,264.9,10904179
2022-03-29,264.9,270.83,264.9,268.99,10652185
2022-03-30,268.99,271.78,268.61,270.11,12888417
2022-03-31,270.11,270.11,261.57,261.95,9016413
2022-04-01,261.95,264.12,261.95,263.17,7904761
2022-04-04,263.17,263.17,259.29,260.94,5588622
2022-04-05,260.94,260.94,254.75,255.21,8490509
2022-04-06,255.21,260.34,255.21,258.81,7242099
2022-04-07,258.81,258.81,254.93,256.12,8856426
2022-04-08,256.12,258.25,256.03,257.18,9296701
2022-04-11,257.18,261.77,257.18,260.68,17804282
2022-04-12,260.68,261.41,258.06,259.89,6590074
2022-04-13,259.89,261.07,259.77,260.92,8398623
2022-04-14,260.92,260.92,257.63,258.52,7465751
2022-04-15,258.52,263.85,258.52,262.71,5069965
2022-04-18,262.71,262.88,258.63,262.14,28479396
2022-04-19,262.14,265.29,262.14,264.26,6110681
2022-04-20,264.26,271.21,264.26,270.09,10301086
2022-04-21,270.09,270.09,262.66,263.18,17541621
2022-04-22,263.18,263.94,259.97,260.74,5412643
2022-04-25,260.74,260.74,258.8,260.2,12615336
2022-04-26,260.2,262.5,260.2,260.78,4800574
2022-04-27,260.78,263.38,260.78,263.18,6446450
2022-04-28,263.18,270.48,263.18,267.9,11123008
2022-04-29,267.9,267.9,264.06,265.18,7967740
2022-05-02,265.18,265.18,263.11,264.53,15899649
2022-05-03,264.53,269.47,264.53,268.9,9354815
2022-05-04,268.9,273.22,268.9,270.3,10945059
2022-05-05,270.3,270.3,263.83,263.95,6743287
2022-05-06,263.95,263.95,256.42,257.45,5865420
2022-05-09,257.45,257.65,254.76,255.77,5596307
2022-05-10,255.77,258.28,255.77,257.89,6113570
2022-05-11,257.89,261.52,257.89,259.96,6729565
2022-05-12,259.96,259.96,256.49,256.78,14116288
2022-05-13,256.78,260.94,256.78,259.32,10442147
2022-05-16,259.32,262.85,259.32,260.36,5330243
2022-05-17,260.36,260.36,255.84,256.49,7536384
2022-05-18,256.49,256.49,252.39,254.41,8778853
2022-05-19,254.41,254.41,247.55,247.57,28727943
2022-05-20,247.57,247.57,243.34,243.51,8916654
2022-05-23,243.51,243.51,236.64,237.17,10654057
2022-05-24,237.17,237.17,230.82,232.1,5974752
2022-05-25,232.1,238.4,232.1,237.81,11854991
2022-05-26,237.81,237.81,236.19,236.56,15435485
2022-05-27,236.56,236.56,229.73,230.76,8365877
2022-05-31,230.76,232.9,230.21,232.23,11366700
2022-06-01,232.23,234.58,231.63,233.29,11186205
2022-06-02,233.29,234.95,232.87,234.02,9136440
2022-06-03,234.02,234.02,230.34,231.23,14892782
2022-06-06,231.23,234.32,231.23,233.38,6456024
2022-06-07,233.38,233.38,228.4,229.86,6269013
2022-06-08,229.86,234.12,229.86,232.56,8901943
2022-06-09,232.56,237.65,232.56,235.61,7653427
2022-06-10,235.61,235.62,235.47,235.49,2772903
2022-06-13,235.49,235.49,230.2,230.73,6632322
2022-06-14,230.73,234.97,230.73,233.47,3790358
2022-06-15,233.47,233.47,230.57,231.64,7816591
2022-06-16,231.64,234.56,231.64,232.64,11819881
2022-06-17,232.64,235.03,232.64,235.03,9080650
2022-06-21,235.03,235.03,232.03,232.43,9373266
