date,open,high,low,close,volume
2022-01-03,114.75,114.75,112.79,113.12,8793708
2022-01-04,113.12,116.41,113.12,115.78,13187092
2022-01-05,115.78,116.76,114.16,115.48,14582164
2022-01-06,115.48,116.11,115.48,115.89,27888293
2022-01-07,115.89,115.89,114.31,114.52,22303299
2022-01-10,114.52,114.65,114.31,114.4,14045617
2022-01-11,114.4,117.43,114.4,116.1,4900315
2022-01-12,116.1,120.58,116.1,119.97,15757033
2022-01-13,119.97,119.97,116.61,117.17,18934870
2022-01-14,117.17,117.72,116.93,117.19,9397973
2022-01-18,117.19,117.19,111.05,111.41,4510553
2022-01-19,111.41,111.45,110.38,110.62,9651251
2022-01-20,110.62,111.27,110.11,110.81,12707599
2022-01-21,110.81,111.47,110.81,111.09,9805037
2022-01-24,111.09,114.33,111.09,114.04,7556212
2022-01-25,114.04,114.04,113.21,113.6,8622683
2022-01-26,113.6,117.5,113.6,116.47,14897915
2022-01-27,116.47,118.18,116.47,116.92,10745034
2022-01-28,116.92,116.92,114.98,115.94,16018279
2022-01-31,115.94,116.34,115.94,116.28,13736398
2022-02-01,116.28,116.77,116.28,116.5,8223252
2022-02-02,116.5,116.92,116.5,116.85,12434628
2022-02-03,116.85,116.85,114.9,115.53,16215321
2022-02-04,115.53,115.53,113.49,114.2,9437991
2022-02-07,114.2,116.56,114.2,116.29,11631435
2022-02-08,116.29,118.9,116.29,118.26,4837906
2022-02-09,118.26,118.26,116.56,116.67,7447575
2022-02-10,116.67,116.71,115.87,116.4,8377068
2022-02-11,116.4,118.11,116.22,117.1,5901937
2022-02-14,117.1,118.76,117.1,118.62,9366288
2022-02-15,118.62,119.87,118.56,118.96,17513833
2022-02-16,118.96,121.33,118.96,121.18,10057003
2022-02-17,121.18,122.07,121.0,121.0,15171858
2022-02-18,121.0,124.71,121.0,124.03,11800738
2022-02-22,124.03,130.09,124.03,129.21,17684837
2022-02-23,129.21,130.24,129.0,129.34,8668635
2022-02-24,129.34,130.22,128.12,130.11,6799259
2022-02-25,130.11,130.11,127.88,128.13,12154119
2022-02-28,128.13,128.13,127.35,127.75,4746576
2022-03-01,127.75,128.32,126.91,128.1,11282672
2022-03-02,128.1,130.14,128.1,129.53,3674606
2022-03-03,129.53,129.53,128.92,129.08,6268565
2022-03-04,129.08,131.51,129.08,130.62,10223171
2022-03-07,130.62,130.62,129.32,129.81,5340103
2022-03-08,129.81,131.93,129.81,131.92,7542926
2022-03-09,131.92,133.53,131.92,132.78,5255714
2022-03-10,132.78,134.55,132.78,133.55,11811488
2022-03-11,133.55,133.55,131.97,132.54,13996729
2022-03-14,132.54,132.54,132.11,132.34,8897733
2022-03-15,132.34,132.54,131.24,131.52,21398694
2022-03-16,131.52,133.8,131.52,133.35,8091248
2022-03-17,133.35,133.35,129.38,130.45,5211245
2022-03-18,130.45,130.45,127.14,128.95,5018511
