date,open,high,low,close,volume
2022-01-03,129.06,129.48,127.54,128.15,16202771
2022-01-04,128.15,128.15,124.81,125.09,10160164
2022-01-05,125.09,128.39,125.09,127.84,6787322
2022-01-06,127.84,127.84,125.5,126.63,9061328
2022-01-07,126.63,126.63,123.48,124.42,8066173
2022-01-10,124.42,124.42,118.77,119.42,6714293
2022-01-11,119.42,124.58,119.42,124.4,5460177
2022-01-12,124.4,124.4,119.51,119.8,6985151
2022-01-13,119.8,121.73,119.8,120.64,8709441
2022-01-14,120.64,122.84,120.64,122.59,12214105
2022-01-18,122.59,122.59,121.25,121.44,5334105
2022-01-19,121.44,123.22,121.44,122.69,5117657
2022-01-20,122.69,124.17,122.69,124.17,9267427
2022-01-21,124.17,126.94,124.17,126.73,7789933
2022-01-24,126.73,130.14,126.73,128.6,7591322
2022-01-25,128.6,128.6,126.84,127.63,6152201
2022-01-26,127.63,127.63,125.9,126.4,6273338
2022-01-27,126.4,133.69,126.4,132.84,5671892
2022-01-28,132.84,136.82,132.84,136.42,4339849
2022-01-31,136.42,136.42,134.07,134.13,10169810
2022-02-01,134.13,135.56,134.13,135.21,10830176
2022-02-02,135.21,137.31,135.21,136.51,17286094
2022-02-03,136.51,136.51,136.3,136.45,11250447
2022-02-04,136.45,142.88,136.45,142.39,8761300
2022-02-07,142.39,143.04,141.14,142.04,10741232
2022-02-08,142.04,142.04,141.17,141.75,7652994
2022-02-09,141.75,145.39,141.75,144.61,6318517
2022-02-10,144.61,144.61,140.93,141.34,11515957
2022-02-11,141.34,141.34,138.71,139.54,10075454
2022-02-14,139.54,145.32,139.54,144.61,5332247
2022-02-15,144.61,144.72,144.46,144.51,8752106
2022-02-16,144.51,144.51,141.54,141.71,6370504
2022-02-17,141.71,142.78,141.61,142.32,12839706
2022-02-18,142.32,143.03,142.27,142.82,7490168
2022-02-22,142.82,147.79,142.82,147.52,17593805
2022-02-23,147.52,152.01,147.52,151.47,14241847
2022-02-24,151.47,152.31,150.4,152.23,5743296
2022-02-25,152.23,158.48,152.23,158.47,6805760
2022-02-28,158.47,163.81,158.47,163.46,11626223
2022-03-01,163.46,165.1,163.46,164.88,9086423
2022-03-02,164.88,164.88,161.35,161.53,7944698
2022-03-03,161.53,169.14,161.53,168.71,9085152
2022-03-04,168.71,174.54,168.71,173.98,8453812
2022-03-07,173.98,173.98,168.42,168.95,13295568
2022-03-08,168.95,168.95,165.83,166.53,7928926
2022-03-09,166.53,166.53,160.34,161.23,10718238
2022-03-10,161.23,161.23,156.89,157.08,10697991
2022-03-11,157.08,162.37,157.08,162.0,14612346
2022-03-14,162.0,163.06,162.0,162.35,8638807
2022-03-15,162.35,162.35,159.19,159.76,9461310
2022-03-16,159.76,162.74,159.76,162.72,10320351
2022-03-17,162.72,166.78,162.72,166.07,6854390
2022-03-18,166.07,172.38,166.07,171.54,8341341
2022-03-21,171.54,174.6,171.54,174.1,6178486
2022-03-22,174.1,176.98,174.1,176.83,11697306
2022-03-23,176.83,176.83,172.84,173.34,16629929
2022-03-24,173.34,174.57,173.34,173.75,4140633
2022-03-25,173.75,174.15,172.9,173.62,13246014
2022-03-28,173.62,173.62,162.83,164.01,8730754
2022-03-29,164.01,166.0,164.01,165.44,14723688
2022-03-30,165.44,165.44,157.5,158.73,9861190
2022-03-31,158.73,162.63,158.73,161.53,13103988
2022-04-01,161.53,161.53,159.25,160.03,8521374
2022-04-04,160.03,160.03,157.55,158.61,9057967
2022-04-05,158.61,158.61,156.06,156.69,13062566
2022-04-06,156.69,156.69,153.96,154.39,23705326
2022-04-07,154.39,154.39,153.08,153.54,7195920
2022-04-08,153.54,157.65,153.54,157.03,9306419
2022-04-11,157.03,157.03,152.92,152.96,6650412
2022-04-12,152.96,153.16,152.33,153.0,8076176
2022-04-13,153.0,162.61,153.0,161.04,7236913
2022-04-14,161.04,161.04,158.08,158.44,5962297
2022-04-15,158.44,158.82,158.1,158.38,10887340
2022-04-18,158.38,161.99,158.38,161.65,9640011
2022-04-19,161.65,170.47,161.65,170.45,6212573
2022-04-20,170.45,178.25,170.45,176.99,5576779
2022-04-21,176.99,177.79,175.55,176.39,12573106
2022-04-22,176.39,178.3,176.39,178.08,7291428
2022-04-25,178.08,178.46,176.79,177.19,21796184
2022-04-26,177.19,181.96,177.19,181.95,8591026
2022-04-27,181.95,181.95,181.3,181.43,9043220
2022-04-28,181.43,190.71,181.43,189.08,8115582
2022-04-29,189.08,189.08,179.94,180.43,5055050
2022-05-02,180.43,184.35,180.43,183.13,5049853
2022-05-03,183.13,187.16,183.13,186.49,15477589
2022-05-04,186.49,186.49,174.82,175.44,15174085
2022-05-05,175.44,175.44,168.22,168.62,5994226
2022-05-06,168.62,174.09,168.62,174.09,10844934
2022-05-09,174.09,176.71,174.09,176.29,15142620
2022-05-10,176.29,180.43,176.29,179.72,5229261
2022-05-11,179.72,187.62,179.72,187.19,8845804
2022-05-12,187.19,187.19,185.45,185.62,7202663
2022-05-13,185.62,194.05,185.62,193.3,9492694
2022-05-16,193.3,207.54,193.3,207.52,14549382
2022-05-17,207.52,214.08,207.52,213.99,10419782
2022-05-18,213.99,216.45,213.99,216.26,11250252
2022-05-19,216.26,217.74,214.95,215.97,3658120
2022-05-20,215.97,218.21,215.88,217.07,11757330
2022-05-23,217.07,218.18,217.07,218.0,8759440
2022-05-24,218.0,220.48,217.7,218.15,21076576
2022-05-25,218.15,218.15,211.5,212.4,11293539
