date,open,high,low,close,volume
2022-01-03,175.0,175.0,172.16,173.66,7544005
2022-01-04,173.66,173.66,172.8,172.91,5824334
2022-01-05,172.91,172.91,171.14,171.79,4188631
2022-01-06,171.79,171.79,171.06,171.15,5896752
2022-01-07,171.15,172.57,170.34,170.91,9304202
2022-01-10,170.91,173.98,170.01,171.93,15727659
2022-01-11,171.93,171.93,171.39,171.56,13917751
2022-01-12,171.56,171.56,169.03,169.69,9738892
2022-01-13,169.69,172.83,169.69,171.06,7808574
2022-01-14,171.06,171.06,169.66,170.08,9894849
2022-01-18,170.08,170.73,168.54,170.03,7221294
2022-01-19,170.03,170.74,168.53,170.58,17669412
2022-01-20,170.58,171.09,170.58,170.83,8238459
2022-01-21,170.83,173.6,170.83,172.16,8584466
2022-01-24,172.16,174.59,171.74,172.76,3662553
2022-01-25,172.76,172.76,171.34,171.74,8217906
2022-01-26,171.74,176.26,171.74,174.39,12417206
2022-01-27,174.39,174.9,174.39,174.65,5797347
2022-01-28,174.65,175.93,172.41,174.49,6581096
2022-01-31,174.49,176.24,174.49,175.69,12201682
2022-02-01,175.69,176.04,175.14,176.01,4922549
2022-02-02,176.01,176.55,175.12,176.52,13566585
2022-02-03,176.52,181.64,176.52,179.64,7182387
2022-02-04,179.64,180.36,178.91,179.32,7606948
2022-02-07,179.32,179.92,178.87,178.94,5668576
2022-02-08,178.94,179.84,178.39,179.1,10336775
2022-02-09,179.1,181.25,179.1,180.47,23770331
2022-02-10,180.47,180.47,178.23,178.59,12147074
2022-02-11,178.59,178.59,174.86,176.17,6288831
2022-02-14,176.17,176.17,173.67,175.46,13995525
2022-02-15,175.46,175.46,172.39,173.49,7828865
2022-02-16,173.49,173.49,172.45,172.99,15398705
2022-02-17,172.99,173.67,172.99,173.62,12270033
2022-02-18,173.62,173.62,172.17,172.55,2738013
2022-02-22,172.55,172.55,170.4,170.86,5946825
2022-02-23,170.86,171.32,170.04,170.96,12964871
2022-02-24,170.96,172.85,170.96,172.01,9441853
2022-02-25,172.01,172.01,168.19,170.0,5900204
2022-02-28,170.0,171.93,170.0,170.99,6896773
2022-03-01,170.99,172.58,170.99,171.99,4145381
2022-03-02,171.99,173.24,171.99,173.16,8577479
2022-03-03,173.16,175.06,173.16,174.66,21515321
2022-03-04,174.66,178.18,174.66,177.39,12261481
2022-03-07,177.39,177.51,175.77,176.97,21341557
2022-03-08,176.97,177.3,176.18,177.12,12647357
2022-03-09,177.12,177.86,176.21,176.62,13403035
2022-03-10,176.62,178.0,176.62,176.64,19572409
2022-03-11,176.64,179.97,176.64,178.57,10333538
2022-03-14,178.57,178.57,176.26,176.91,8244930
2022-03-15,176.91,176.95,174.39,175.87,13430825
2022-03-16,175.87,178.43,175.87,177.59,15895332
2022-03-17,177.59,179.69,177.16,178.88,7333871
2022-03-18,178.88,180.54,177.08,178.44,6658284
2022-03-21,178.44,181.03,178.44,179.53,9393630
2022-03-22,179.53,180.75,179.21,179.98,12392469
2022-03-23,179.98,182.01,179.98,181.9,12227968
2022-03-24,181.9,182.84,180.81,182.01,5026995
2022-03-25,182.01,183.98,182.01,183.34,19089374
2022-03-28,183.34,187.13,183.34,186.78,6875906
2022-03-29,186.78,188.81,186.78,187.58,7992179
2022-03-30,187.58,188.08,186.23,187.67,6193050
2022-03-31,187.67,189.99,187.57,188.64,26149262
2022-04-01,188.64,188.96,187.26,188.17,9789571
2022-04-04,188.17,193.38,188.17,191.36,6322403
2022-04-05,191.36,192.99,191.28,191.62,12554245
2022-04-06,191.62,191.62,189.63,191.28,12087160
2022-04-07,191.28,192.05,189.84,190.18,8243282
2022-04-08,190.18,193.09,190.18,191.67,12437699
2022-04-11,191.67,192.85,191.67,192.85,6387689
2022-04-12,192.85,192.85,191.64,192.2,7295969
2022-04-13,192.2,194.92,191.95,193.0,3976502
2022-04-14,193.0,193.0,190.96,190.99,5232603
2022-04-15,190.99,192.09,190.64,191.26,18311728
2022-04-18,191.26,192.42,190.46,191.88,17133933
2022-04-19,191.88,194.94,191.88,194.21,9123056
