date,open,high,low,close,volume
2022-01-03,243.62,246.73,243.62,245.87,10127114
2022-01-04,245.87,245.92,243.56,245.01,7352202
2022-01-05,245.01,246.96,243.56,245.77,6072332
2022-01-06,245.77,245.77,242.67,244.3,5881082
2022-01-07,244.3,244.3,241.45,241.82,11313027
2022-01-10,241.82,241.82,238.86,239.99,12098589
2022-01-11,239.99,248.82,239.99,247.34,8040196
2022-01-12,247.34,247.34,244.47,246.28,6999017
2022-01-13,246.28,249.99,246.28,249.53,11155780
2022-01-14,249.53,256.98,249.53,256.27,4912782
2022-01-18,256.27,259.13,256.27,258.93,19382462
2022-01-19,258.93,259.93,256.0,256.51,10648720
2022-01-20,256.51,256.51,254.16,254.27,8336966
2022-01-21,254.27,255.33,254.27,254.78,12384553
2022-01-24,254.78,262.81,254.78,262.25,11435870
2022-01-25,262.25,267.58,262.25,267.13,9762135
2022-01-26,267.13,270.68,267.13,269.08,4171965
2022-01-27,269.08,269.08,267.32,268.53,10473722
2022-01-28,268.53,271.41,268.53,269.95,15908344
2022-01-31,269.95,271.13,268.72,270.73,7116399
2022-02-01,270.73,273.25,270.47,271.49,13039054
2022-02-02,271.49,271.49,265.91,268.65,12479703
2022-02-03,268.65,268.65,262.88,265.77,9995341
2022-02-04,265.77,267.77,265.19,267.01,9512011
2022-02-07,267.01,267.01,261.68,263.27,11116468
2022-02-08,263.27,263.27,259.23,261.34,10494194
2022-02-09,261.34,261.72,260.18,261.57,18931621
2022-02-10,261.57,263.46,261.57,262.79,13081402
2022-02-11,262.79,268.8,262.79,266.65,11790974
2022-02-14,266.65,266.65,262.49,262.6,13563289
2022-02-15,262.6,262.6,258.1,258.63,11794208
2022-02-16,258.63,263.18,258.63,263.06,3865776
2022-02-17,263.06,271.22,263.06,268.81,8480656
2022-02-18,268.81,268.81,264.35,265.43,6935559
2022-02-22,265.43,265.43,262.11,262.75,10131782
2022-02-23,262.75,265.75,261.53,264.69,7112153
2022-02-24,264.69,265.45,263.81,264.99,11256398
2022-02-25,264.99,266.74,264.12,265.31,7508548
2022-02-28,265.31,265.31,262.52,262.85,17523848
2022-03-01,262.85,265.78,262.85,265.38,17193260
2022-03-02,265.38,265.38,263.98,264.72,4981816
2022-03-03,264.72,264.72,262.54,263.95,10111142
2022-03-04,263.95,263.95,260.02,260.35,7387117
2022-03-07,260.35,263.76,260.35,263.09,9828585
2022-03-08,263.09,263.09,261.02,262.03,11236475
2022-03-09,262.03,262.68,261.15,262.01,5328068
2022-03-10,262.01,266.88,262.01,266.1,6019759
2022-03-11,266.1,266.1,262.1,262.75,6326980
2022-03-14,262.75,262.95,261.3,262.59,7127227
2022-03-15,262.59,262.59,257.13,257.62,7210854
2022-03-16,257.62,257.62,255.8,256.06,12221486
2022-03-17,256.06,261.82,256.06,260.38,9713202
2022-03-18,260.38,260.38,253.65,255.5,6271573
2022-03-21,255.5,257.14,254.15,256.39,7819643
2022-03-22,256.39,262.68,256.39,261.75,3443955
2022-03-23,261.75,264.69,261.75,263.7,19932973
2022-03-24,263.7,263.7,259.21,261.9,8950568
2022-03-25,261.9,261.9,257.27,258.39,13217354
2022-03-28,258.39,258.39,251.03,252.31,12203928
2022-03-29,252.31,258.32,252.31,257.46,8758830
2022-03-30,257.46,258.04,255.72,256.22,3427136
2022-03-31,256.22,256.22,250.59,250.6,7108686
2022-04-01,250.6,250.6,246.67,247.52,10236249
2022-04-04,247.52,247.52,243.79,244.31,9103811
2022-04-05,244.31,244.31,241.25,242.91,13472348
2022-04-06,242.91,250.56,242.91,250.46,8879141
2022-04-07,250.46,254.86,250.46,253.51,18565695
2022-04-08,253.51,255.69,253.51,255.19,5816109
2022-04-11,255.19,259.61,255.19,259.2,10930548
2022-04-12,259.2,266.77,259.2,265.39,5887997
2022-04-13,265.39,268.51,265.39,267.3,12808672
2022-04-14,267.3,272.64,267.3,272.33,6574829
2022-04-15,272.33,272.33,266.88,270.28,4401116
2022-04-18,270.28,270.28,267.17,267.49,4903567
2022-04-19,267.49,267.52,264.04,264.17,7357077
2022-04-20,264.17,267.14,263.51,265.29,16575805
2022-04-21,265.29,265.29,256.48,256.77,11953760
2022-04-22,256.77,261.45,256.77,261.22,10625359
2022-04-25,261.22,261.22,259.56,259.74,8657821
2022-04-26,259.74,263.72,259.74,262.59,5663053
2022-04-27,262.59,262.59,256.89,258.15,6118807
2022-04-28,258.15,263.91,258.15,261.92,7126276
2022-04-29,261.92,266.95,261.92,266.66,6872621
2022-05-02,266.66,269.5,266.52,267.14,6833121
2022-05-03,267.14,269.59,267.14,269.06,6073433
2022-05-04,269.06,269.06,263.03,265.74,8907752
2022-05-05,265.74,266.19,265.39,266.02,6579685
2022-05-06,266.02,271.03,266.02,269.44,13973233
2022-05-09,269.44,269.65,266.97,268.55,13917108
2022-05-10,268.55,276.12,268.55,273.9,11301071
2022-05-11,273.9,273.9,266.93,267.95,10791102
2022-05-12,267.95,271.21,263.22,266.98,4776026
2022-05-13,266.98,266.98,258.55,260.73,22216152
2022-05-16,260.73,262.45,260.51,261.9,7939515
2022-05-17,261.9,261.9,260.01,261.33,12206576
2022-05-18,261.33,262.38,259.6,260.88,12399763
