date,open,high,low,close,volume
2022-01-03,384.17,387.23,384.17,386.12,10234894
2022-01-04,386.12,388.67,385.36,387.02,9090301
2022-01-05,387.02,389.81,387.02,387.52,5895860
2022-01-06,387.52,387.52,380.74,380.85,7764461
2022-01-07,380.85,380.85,373.94,375.78,5193816
2022-01-10,375.78,380.78,374.6,379.56,20309426
2022-01-11,379.56,385.69,378.97,382.43,7982937
2022-01-12,382.43,386.23,381.76,384.41,8259500
2022-01-13,384.41,384.41,381.25,381.5,19347643
2022-01-14,381.5,385.95,381.5,385.43,6391050
2022-01-18,385.43,385.43,381.03,383.6,14913294
2022-01-19,383.6,390.52,383.6,390.3,11262741
2022-01-20,390.3,390.3,385.91,386.52,4026491
2022-01-21,386.52,386.52,381.14,383.9,7660315
2022-01-24,383.9,383.9,382.47,383.19,10581760
2022-01-25,383.19,389.7,383.19,387.55,9013452
2022-01-26,387.55,389.92,386.64,387.43,9023149
2022-01-27,387.43,390.38,385.52,387.67,6970057
2022-01-28,387.67,388.07,384.01,385.73,6681486
2022-01-31,385.73,387.91,385.73,387.15,7854815
2022-02-01,387.15,387.62,386.31,386.84,19472694
2022-02-02,386.84,386.84,381.79,382.9,6180623
2022-02-03,382.9,383.68,381.62,383.6,7327300
2022-02-04,383.6,385.31,382.13,384.42,8989237
2022-02-07,384.42,396.65,384.42,396.59,4949210
2022-02-08,396.59,396.59,392.47,393.45,10562064
2022-02-09,393.45,393.45,387.04,389.17,5308384
2022-02-10,389.17,391.77,389.17,390.66,5752258
2022-02-11,390.66,390.66,383.6,385.62,5642841
2022-02-14,385.62,385.62,380.0,380.25,4610134
2022-02-15,380.25,380.25,371.72,373.15,14758521
2022-02-16,373.15,373.15,367.56,369.41,10947651
2022-02-17,369.41,369.41,365.71,365.82,12851291
2022-02-18,365.82,365.82,356.42,359.72,12391300
2022-02-22,359.72,359.72,358.52,358.58,8308219
2022-02-23,358.58,358.58,345.47,347.6,8781797
2022-02-24,347.6,351.19,347.6,349.91,13329431
2022-02-25,349.91,349.91,346.14,347.39,17113388
2022-02-28,347.39,347.39,345.09,345.57,5372284
2022-03-01,345.57,348.79,345.57,348.3,24348612
2022-03-02,348.3,350.12,348.3,350.06,5250004
2022-03-03,350.06,350.06,345.16,347.21,7386894
2022-03-04,347.21,350.64,347.21,349.34,9153320
2022-03-07,349.34,359.08,349.34,356.61,9495816
2022-03-08,356.61,356.61,349.48,351.92,19492353
2022-03-09,351.92,357.24,351.92,355.49,13319808
2022-03-10,355.49,355.49,349.33,350.35,10481621
2022-03-11,350.35,357.51,350.35,355.88,13446068
2022-03-14,355.88,355.97,350.03,352.6,10204107
2022-03-15,352.6,352.6,347.35,349.17,6782348
2022-03-16,349.17,356.54,349.17,354.56,10791349
2022-03-17,354.56,359.18,354.56,358.0,9129498
2022-03-18,358.0,358.0,353.37,354.85,6342970
2022-03-21,354.85,355.57,354.85,355.5,14725865
2022-03-22,355.5,355.5,352.01,352.23,8694644
2022-03-23,352.23,352.23,343.89,344.94,5676240
2022-03-24,344.94,346.69,344.94,345.86,6046184
2022-03-25,345.86,346.34,341.89,344.28,11006520
2022-03-28,344.28,344.28,337.08,340.05,13521247
2022-03-29,340.05,347.23,340.05,346.01,10774156
2022-03-30,346.01,346.01,340.57,341.91,10793909
2022-03-31,341.91,343.55,340.32,342.61,6426050
2022-04-01,342.61,349.34,342.61,347.58,9222473
2022-04-04,347.58,347.58,344.64,346.45,7786919
2022-04-05,346.45,346.45,342.79,343.16,8219447
2022-04-06,343.16,344.75,343.16,344.56,8497504
2022-04-07,344.56,348.73,341.87,346.68,6824473
2022-04-08,346.68,350.81,346.68,350.77,12002993
2022-04-11,350.77,360.5,350.77,359.59,5934857
2022-04-12,359.59,359.59,355.14,357.48,5285875
2022-04-13,357.48,359.56,355.75,358.45,6490946
2022-04-14,358.45,358.45,352.52,352.54,12652407
2022-04-15,352.54,356.63,352.54,355.71,10177229
2022-04-18,355.71,358.29,355.48,356.62,4354425
2022-04-19,356.62,357.94,355.52,355.83,11284148
2022-04-20,355.83,355.83,352.39,352.98,8715353
2022-04-21,352.98,353.76,349.55,351.41,7519776
2022-04-22,351.41,352.94,350.21,352.56,8066320
2022-04-25,352.56,352.56,347.39,348.13,5212386
2022-04-26,348.13,348.13,346.36,346.77,9523722
2022-04-27,346.77,347.62,346.45,346.9,5351992
2022-04-28,346.9,346.9,338.59,339.96,7725194
2022-04-29,339.96,339.96,333.64,335.32,7729199
2022-05-02,335.32,335.32,331.84,332.45,12090901
2022-05-03,332.45,341.16,332.45,339.46,9028508
2022-05-04,339.46,339.46,334.76,335.8,11785687
2022-05-05,335.8,337.11,333.69,335.6,5507949
2022-05-06,335.6,335.6,329.9,331.06,8511084
2022-05-09,331.06,333.13,326.73,327.73,10985937
2022-05-10,327.73,327.73,321.22,321.6,14605659
2022-05-11,321.6,325.61,321.6,324.5,5633975
2022-05-12,324.5,324.5,318.69,318.91,6347803
2022-05-13,318.91,322.94,318.91,322.8,10876497
2022-05-16,322.8,325.89,322.37,324.85,16930669
2022-05-17,324.85,326.69,323.45,324.57,9962632
2022-05-18,324.57,330.91,324.57,328.67,5700222
2022-05-19,328.67,342.72,328.67,342.46,5744895
2022-05-20,342.46,347.71,342.46,344.68,9378572
2022-05-23,344.68,344.68,337.86,339.66,10252484
2022-05-24,339.66,348.07,339.66,346.45,8133407
2022-05-25,346.45,349.99,343.59,347.35,5771091
2022-05-26,347.35,357.4,347.35,357.22,13805340
2022-05-27,357.22,357.22,353.05,354.89,7729170
2022-05-31,354.89,362.85,354.89,361.0,10971220
2022-06-01,361.0,361.71,359.85,361.05,4372007
2022-06-02,361.05,375.51,361.05,373.99,14367248
2022-06-03,373.99,375.14,370.24,372.65,6756907
2022-06-06,372.65,388.37,372.65,387.78,15216238
2022-06-07,387.78,391.07,387.78,390.09,11354162
2022-06-08,390.09,394.71,390.09,394.53,5017809
2022-06-09,394.53,404.57,394.53,403.54,9803114
2022-06-10,403.54,403.54,399.33,399.42,17237763
2022-06-13,399.42,406.07,399.42,404.62,6995887
2022-06-14,404.62,404.62,403.09,403.11,17250129
2022-06-15,403.11,407.32,402.66,403.97,10368608
2022-06-16,403.97,404.92,403.88,404.47,15189927
2022-06-17,404.47,410.4,404.47,407.6,9471466
2022-06-21,407.6,410.61,407.6,410.52,8456193
2022-06-22,410.52,410.52,407.07,407.47,18529324
2022-06-23,407.47,408.77,407.47,408.2,11858562
2022-06-24,408.2,408.2,394.4,395.86,8087831
2022-06-27,395.86,403.61,395.86,401.12,10528061
2022-06-28,401.12,411.27,401.12,410.25,7089049
2022-06-29,410.25,411.43,410.25,411.34,9277972
2022-06-30,411.34,411.34,402.7,402.77,14335488
2022-07-01,402.77,407.98,402.77,406.79,8329038
