date,open,high,low,close,volume
2022-01-03,288.31,292.49,288.31,290.65,5780004
2022-01-04,290.65,291.05,287.54,290.04,14326557
2022-01-05,290.04,292.16,290.04,291.73,12820251
2022-01-06,291.73,294.22,291.73,293.21,10639100
2022-01-07,293.21,293.21,290.78,291.17,10154744
2022-01-10,291.17,291.17,289.7,289.76,10021436
2022-01-11,289.76,294.3,289.76,292.25,7200242
2022-01-12,292.25,300.21,292.25,299.82,24166248
2022-01-13,299.82,308.15,299.82,304.97,7926725
2022-01-14,304.97,304.97,299.75,300.23,7491790
2022-01-18,300.23,300.23,295.3,295.57,13911724
2022-01-19,295.57,296.6,291.36,293.4,8782904
2022-01-20,293.4,295.94,293.4,293.85,8818851
2022-01-21,293.85,294.33,293.75,294.09,15647594
2022-01-24,294.09,299.31,294.09,299.29,11657334
2022-01-25,299.29,305.44,299.29,304.81,11896650
2022-01-26,304.81,307.53,300.03,304.88,5039995
2022-01-27,304.88,304.88,302.11,303.95,10430200
2022-01-28,303.95,307.56,303.95,306.2,5943191
2022-01-31,306.2,315.27,306.2,310.85,7407491
2022-02-01,310.85,315.36,310.85,313.31,9532871
2022-02-02,313.31,313.48,309.21,311.46,8758332
2022-02-03,311.46,311.46,307.06,308.84,11544126
2022-02-04,308.84,308.84,303.39,304.11,12094723
2022-02-07,304.11,306.03,304.11,304.98,12462734
2022-02-08,304.98,308.9,304.98,307.7,5190391
2022-02-09,307.7,312.03,307.7,310.93,22863751
2022-02-10,310.93,317.99,310.93,316.04,8799174
2022-02-11,316.04,324.01,316.04,322.71,14435100
2022-02-14,322.71,322.71,315.81,316.59,3250355
2022-02-15,316.59,319.46,315.6,318.44,7991335
2022-02-16,318.44,322.53,318.44,320.45,4954105
2022-02-17,320.45,320.52,318.49,320.17,6296181
2022-02-18,320.17,320.17,313.97,316.51,9067637
2022-02-22,316.51,323.53,316.51,323.04,7772482
2022-02-23,323.04,323.04,320.15,320.43,15030722
2022-02-24,320.43,320.43,310.22,310.77,18030887
2022-02-25,310.77,312.82,310.09,310.9,6036085
2022-02-28,310.9,310.9,308.74,309.91,7311024
2022-03-01,309.91,318.82,309.91,318.13,5882925
2022-03-02,318.13,320.87,318.13,320.37,14109516
2022-03-03,320.37,322.66,318.12,319.04,9469791
2022-03-04,319.04,320.53,317.86,318.21,9001776
2022-03-07,318.21,318.21,313.85,317.32,10069147
2022-03-08,317.32,328.68,317.32,327.39,7846135
2022-03-09,327.39,330.68,327.39,330.55,6308522
2022-03-10,330.55,330.55,323.99,324.14,9069447
2022-03-11,324.14,324.14,323.0,323.08,7985968
2022-03-14,323.08,325.08,322.98,323.01,10209300
2022-03-15,323.01,323.01,317.39,318.08,4626025
2022-03-16,318.08,318.08,310.0,310.27,9573825
2022-03-17,310.27,314.3,310.27,312.92,6744929
2022-03-18,312.92,312.92,308.8,309.45,9440523
2022-03-21,309.45,318.9,309.45,314.96,12762679
2022-03-22,314.96,316.3,313.92,315.04,7113471
2022-03-23,315.04,315.04,311.62,313.0,14341789
2022-03-24,313.0,313.0,301.15,302.61,4429046
2022-03-25,302.61,309.38,302.61,307.88,16477914
2022-03-28,307.88,309.79,307.88,309.2,14583446
2022-03-29,309.2,309.2,305.7,307.3,6232974
2022-03-30,307.3,307.3,300.93,303.53,6253862
2022-03-31,303.53,311.27,303.53,310.46,4886650
2022-04-01,310.46,310.46,303.57,305.9,12846108
2022-04-04,305.9,305.9,303.18,304.37,7785983
2022-04-05,304.37,308.34,304.37,306.85,7560833
2022-04-06,306.85,314.3,306.85,313.2,5670988
2022-04-07,313.2,313.2,309.35,312.3,18343568
2022-04-08,312.3,312.3,307.95,309.14,6021793
2022-04-11,309.14,309.82,308.36,308.72,8972424
2022-04-12,308.72,313.66,308.72,312.71,9687896
2022-04-13,312.71,320.22,312.71,317.74,7576269
2022-04-14,317.74,317.74,310.62,311.72,6987572
2022-04-15,311.72,312.63,309.4,312.27,7665922
