date,open,high,low,close,volume
2022-01-03,336.88,336.88,335.73,336.37,17260126
2022-01-04,336.37,336.37,316.53,317.19,13614651
2022-01-05,317.19,317.19,310.12,311.3,5622179
2022-01-06,311.3,326.39,311.3,324.23,5621902
2022-01-07,324.23,333.72,324.23,333.1,18502582
2022-01-10,333.1,342.73,333.1,340.94,7253199
2022-01-11,340.94,340.94,338.78,339.56,7304974
2022-01-12,339.56,354.36,339.56,352.97,6768500
2022-01-13,352.97,356.04,352.97,355.23,10243848
2022-01-14,355.23,361.6,355.23,361.11,5075267
2022-01-18,361.11,384.58,361.11,384.15,9772065
2022-01-19,384.15,394.61,384.15,394.15,5062166
2022-01-20,394.15,394.63,392.78,393.72,5076429
2022-01-21,393.72,400.67,393.72,398.58,5146081
2022-01-24,398.58,415.94,398.58,411.95,5225861
2022-01-25,411.95,422.77,411.95,418.12,11863128
2022-01-26,418.12,428.09,418.12,425.96,11864679
2022-01-27,425.96,441.09,425.96,439.06,8326210
2022-01-28,439.06,468.69,439.06,465.81,6902369
2022-01-31,465.81,465.81,451.35,456.0,15443812
2022-02-01,456.0,463.69,456.0,463.69,11733233
2022-02-02,463.69,469.46,463.69,468.85,5545657
2022-02-03,468.85,468.85,463.92,464.87,10223750
2022-02-04,464.87,464.87,453.44,458.13,10015000
2022-02-07,458.13,479.65,458.13,476.23,11844572
2022-02-08,476.23,476.23,464.36,465.26,26684757
2022-02-09,465.26,465.26,446.27,450.49,6405241
2022-02-10,450.49,450.49,444.25,444.83,11092383
2022-02-11,444.83,444.83,426.88,426.99,16165789
2022-02-14,426.99,426.99,418.72,418.87,17668560
2022-02-15,418.87,418.87,408.34,408.93,9551605
2022-02-16,408.93,415.22,408.83,409.92,5266848
2022-02-17,409.92,426.86,409.92,424.08,4334172
2022-02-18,424.08,424.08,417.35,418.5,12367555
2022-02-22,418.5,430.73,418.5,427.16,10190959
2022-02-23,427.16,436.79,427.16,434.85,9353408
2022-02-24,434.85,434.85,412.54,413.19,9949752
2022-02-25,413.19,413.63,407.95,408.1,13143085
2022-02-28,408.1,408.1,402.3,404.73,11056591
2022-03-01,404.73,410.49,404.73,408.5,10372432
2022-03-02,408.5,415.7,408.5,414.11,7008028
2022-03-03,414.11,420.72,414.11,417.48,13467522
2022-03-04,417.48,417.48,407.61,409.07,7053819
2022-03-07,409.07,409.07,402.8,403.27,13086589
2022-03-08,403.27,403.27,389.16,389.61,7594524
2022-03-09,389.61,391.62,388.8,390.37,11248796
2022-03-10,390.37,390.37,383.76,387.22,17992127
2022-03-11,387.22,395.39,387.22,392.2,11573506
2022-03-14,392.2,400.58,392.2,398.76,15658742
2022-03-15,398.76,398.76,394.02,395.85,7659263
2022-03-16,395.85,399.83,395.85,398.62,9234567
2022-03-17,398.62,398.62,395.96,396.79,7710968
2022-03-18,396.79,396.79,386.53,386.83,4575012
2022-03-21,386.83,386.83,378.18,379.88,13625915
2022-03-22,379.88,379.88,359.77,360.55,11156704
2022-03-23,360.55,360.55,356.37,357.4,10844502
2022-03-24,357.4,357.4,352.43,352.66,14544250
2022-03-25,352.66,352.66,341.83,343.96,5642486
2022-03-28,343.96,350.71,343.96,350.7,5126090
2022-03-29,350.7,355.23,350.7,355.16,14600216
2022-03-30,355.16,361.76,355.16,359.9,8639570
2022-03-31,359.9,368.84,359.9,365.88,9683560
2022-04-01,365.88,366.05,363.74,366.02,4941400
2022-04-04,366.02,368.03,363.6,366.07,16012015
2022-04-05,366.07,374.33,366.07,373.34,11623066
2022-04-06,373.34,382.14,373.34,379.33,7058618
2022-04-07,379.33,388.78,379.33,388.64,20466108
2022-04-08,388.64,390.56,383.59,388.41,5150545
2022-04-11,388.41,388.41,377.27,379.78,7789079
2022-04-12,379.78,383.15,379.78,382.04,13187560
2022-04-13,382.04,382.04,376.94,377.1,14094721
2022-04-14,377.1,385.23,377.1,383.03,4890212
2022-04-15,383.03,386.35,383.03,385.75,7933878
2022-04-18,385.75,386.89,385.56,386.38,11974851
2022-04-19,386.38,386.38,381.42,383.04,16018005
2022-04-20,383.04,393.6,383.04,392.2,15487899
2022-04-21,392.2,401.45,392.2,400.86,11759522
2022-04-22,400.86,400.86,393.99,395.85,9210682
2022-04-25,395.85,395.85,382.34,384.89,8270865
2022-04-26,384.89,389.67,384.89,386.66,10845360
2022-04-27,386.66,398.43,386.66,397.61,15769807
2022-04-28,397.61,397.61,383.91,386.3,8157037
2022-04-29,386.3,390.83,386.3,390.7,7966308
2022-05-02,390.7,390.7,381.3,383.49,14049556
2022-05-03,383.49,383.49,373.94,374.7,13587267
2022-05-04,374.7,383.86,374.7,383.05,7275636
2022-05-05,383.05,390.78,383.05,389.04,5243485
2022-05-06,389.04,392.75,387.28,387.83,4477711
2022-05-09,387.83,395.17,387.83,395.16,9361034
2022-05-10,395.16,405.64,395.16,401.65,5712464
2022-05-11,401.65,401.65,386.62,388.19,12717687
2022-05-12,388.19,391.06,388.19,389.12,4471819
2022-05-13,389.12,402.33,389.12,402.25,16944469
2022-05-16,402.25,407.29,402.25,406.87,7766122
2022-05-17,406.87,406.87,382.02,383.07,6455915
2022-05-18,383.07,383.07,373.49,373.83,7156539
2022-05-19,373.83,383.9,373.83,382.72,6287618
2022-05-20,382.72,382.72,377.51,377.97,16287063
2022-05-23,377.97,389.78,377.97,388.09,11624807
2022-05-24,388.09,409.74,388.09,407.13,9237118
2022-05-25,407.13,407.13,403.32,405.06,5492248
2022-05-26,405.06,405.06,395.8,399.46,8692601
2022-05-27,399.46,399.46,386.96,390.41,6528912
2022-05-31,390.41,397.68,390.41,397.5,3102193
2022-06-01,397.5,397.5,389.97,392.15,6733177
2022-06-02,392.15,392.15,384.63,388.67,11320161
2022-06-03,388.67,388.67,376.42,378.96,7493482
2022-06-06,378.96,378.96,374.13,375.33,8385412
2022-06-07,375.33,375.33,367.14,369.38,13475686
2022-06-08,369.38,369.38,351.31,352.92,12544345
2022-06-09,352.92,352.92,343.42,346.27,19469639
2022-06-10,346.27,353.83,346.27,352.46,3695329
2022-06-13,352.46,365.62,352.46,363.82,6344411
2022-06-14,363.82,363.82,362.34,363.07,12778270
2022-06-15,363.07,364.17,362.28,363.51,10559728
2022-06-16,363.51,366.55,363.51,366.08,9246785
2022-06-17,366.08,385.13,366.08,383.3,6976678
2022-06-21,383.3,383.3,371.99,374.58,9728600
2022-06-22,374.58,374.58,362.23,363.92,9507150
2022-06-23,363.92,365.25,363.39,363.64,4236310
2022-06-24,363.64,369.13,363.64,367.13,9678848
2022-06-27,367.13,368.95,363.38,367.0,7225939
2022-06-28,367.0,367.0,353.57,355.71,12439975
2022-06-29,355.71,364.85,355.71,363.24,10199635
2022-06-30,363.24,363.6,361.87,362.23,19430646
2022-07-01,362.23,367.88,362.23,367.08,8885849
2022-07-05,367.08,381.16,367.08,380.7,5742903
2022-07-06,380.7,380.7,364.41,368.15,3283883
2022-07-07,368.15,368.15,352.19,353.91,6105433
2022-07-08,353.91,360.39,353.91,358.73,10333902
2022-07-11,358.73,358.73,340.01,342.33,11445970
2022-07-12,342.33,342.33,337.56,339.31,6975529
2022-07-13,339.31,339.31,334.91,334.99,7481532
2022-07-14,334.99,338.33,334.99,337.94,9138204
2022-07-15,337.94,337.94,331.71,332.89,10345076
2022-07-18,332.89,337.36,332.89,336.86,13363433
2022-07-19,336.86,336.86,326.76,328.76,7024883
2022-07-20,328.76,328.76,319.47,319.55,6602424
2022-07-21,319.55,322.18,319.55,319.83,19973500
2022-07-22,319.83,321.26,319.62,320.74,18133858
2022-07-25,320.74,323.26,320.74,323.08,7190199
2022-07-26,323.08,335.72,323.08,334.51,14034310
2022-07-27,334.51,344.77,334.51,344.74,21463910
2022-07-28,344.74,349.96,344.74,348.52,15048416
2022-07-29,348.52,356.14,348.52,355.27,6549086
2022-08-01,355.27,360.13,355.27,357.59,9266580
2022-08-02,357.59,369.89,357.59,367.67,4409515
2022-08-03,367.67,372.34,366.03,370.94,6040644
2022-08-04,370.94,370.94,364.34,366.37,8831889
2022-08-05,366.37,366.37,357.0,360.18,9702579
2022-08-08,360.18,370.63,360.18,370.08,6734833
2022-08-09,370.08,371.28,365.08,368.67,2955950
2022-08-10,368.67,387.7,368.67,385.59,9601454
2022-08-11,385.59,385.59,372.38,376.0,11890717
2022-08-12,376.0,388.96,376.0,387.24,12072603
2022-08-15,387.24,387.24,383.27,383.58,8183735
2022-08-16,383.58,389.28,383.58,387.39,8418442
2022-08-17,387.39,387.39,374.54,376.02,9806953
2022-08-18,376.02,376.02,359.92,360.47,10465133
2022-08-19,360.47,373.99,360.47,373.22,8560081
2022-08-22,373.22,373.22,368.11,369.59,3508878
2022-08-23,369.59,380.55,369.59,378.3,15538308
2022-08-24,378.3,378.3,370.48,372.74,7379856
2022-08-25,372.74,381.99,372.74,381.53,5446262
2022-08-26,381.53,381.53,374.66,377.91,7594738
2022-08-29,377.91,377.91,367.01,367.6,9292093
2022-08-30,367.6,375.43,367.6,373.31,6964715
2022-08-31,373.31,382.08,373.31,381.74,7159741
