date,open,high,low,close,volume
2022-01-03,107.52,107.52,104.58,105.03,8769394
2022-01-04,105.03,111.84,105.03,111.05,7093294
2022-01-05,111.05,114.96,111.05,113.9,5618827
2022-01-06,113.9,116.28,113.9,115.43,4948775
2022-01-07,115.43,115.43,113.62,113.89,12643843
2022-01-10,113.89,117.49,113.89,117.36,7882928
2022-01-11,117.36,120.38,117.36,119.9,4540355
2022-01-12,119.9,119.9,119.04,119.6,8844312
2022-01-13,119.6,123.2,119.6,122.79,7966251
2022-01-14,122.79,126.03,122.79,125.94,15637607
2022-01-18,125.94,127.84,125.94,126.79,7536138
2022-01-19,126.79,126.79,122.06,123.33,13147744
2022-01-20,123.33,123.33,120.16,120.33,8141539
2022-01-21,120.33,120.33,115.0,115.82,5539134
2022-01-24,115.82,120.44,115.82,119.59,10730689
2022-01-25,119.59,119.59,115.23,115.45,14462142
2022-01-26,115.45,116.07,114.94,115.55,12771870
2022-01-27,115.55,115.55,110.24,111.2,10075173
2022-01-28,111.2,116.28,111.2,115.83,13242138
2022-01-31,115.83,115.83,112.21,112.63,9512621
2022-02-01,112.63,113.62,112.63,113.52,9182123
2022-02-02,113.52,113.52,109.28,109.3,4930523
2022-02-03,109.3,111.71,109.3,111.63,9673725
2022-02-04,111.63,115.44,111.63,114.61,16243138
2022-02-07,114.61,115.51,114.61,114.66,4618557
2022-02-08,114.66,114.94,114.35,114.49,5257317
2022-02-09,114.49,116.99,114.49,116.76,7796354
2022-02-10,116.76,116.76,114.39,115.06,5166525
2022-02-11,115.06,118.62,115.06,118.14,11683779
2022-02-14,118.14,119.23,118.14,119.0,4452530
2022-02-15,119.0,119.0,114.24,114.57,11666576
2022-02-16,114.57,121.03,114.57,119.8,13279560
2022-02-17,119.8,121.0,119.8,120.35,11556527
2022-02-18,120.35,120.35,118.41,119.37,8959043
2022-02-22,119.37,120.01,119.37,119.86,11003328
2022-02-23,119.86,119.86,117.22,117.8,5597773
2022-02-24,117.8,117.83,116.92,117.38,9858895
2022-02-25,117.38,120.2,117.38,119.65,6938819
2022-02-28,119.65,122.0,119.65,121.66,12689795
2022-03-01,121.66,124.22,121.66,123.51,11805683
2022-03-02,123.51,123.51,121.65,121.73,6425894
2022-03-03,121.73,121.73,118.23,119.23,10228244
2022-03-04,119.23,120.7,119.23,120.36,10399271
2022-03-07,120.36,122.95,120.36,122.64,7351173
2022-03-08,122.64,122.64,120.11,120.49,8966286
2022-03-09,120.49,120.49,119.56,119.84,10903735
2022-03-10,119.84,121.74,119.84,120.99,7402414
2022-03-11,120.99,120.99,120.33,120.72,6234798
2022-03-14,120.72,124.59,120.72,124.15,9734018
2022-03-15,124.15,124.15,119.67,120.29,16084329
2022-03-16,120.29,120.29,115.78,116.15,8360002
2022-03-17,116.15,119.71,116.15,119.28,7718490
2022-03-18,119.28,121.89,119.28,121.08,6471743
2022-03-21,121.08,121.65,121.07,121.35,14076679
2022-03-22,121.35,121.35,120.22,120.38,12610946
2022-03-23,120.38,122.36,120.38,121.77,8381289
2022-03-24,121.77,122.5,121.77,122.33,6485303
2022-03-25,122.33,123.35,122.33,123.23,6461329
2022-03-28,123.23,123.32,122.11,123.04,6311149
2022-03-29,123.04,126.21,123.04,124.65,7294954
2022-03-30,124.65,127.77,124.65,127.46,7100618
2022-03-31,127.46,130.73,127.46,130.28,6614438
2022-04-01,130.28,132.65,130.28,131.74,13881268
2022-04-04,131.74,132.1,131.25,131.73,16753300
2022-04-05,131.73,133.47,131.73,133.17,5747476
2022-04-06,133.17,137.65,133.17,137.08,7070627
2022-04-07,137.08,137.08,136.05,136.58,6081959
2022-04-08,136.58,136.58,135.14,135.69,10093416
2022-04-11,135.69,137.7,135.69,137.33,7756801
2022-04-12,137.33,140.24,137.33,139.81,5884019
2022-04-13,139.81,139.88,139.48,139.48,17210750
2022-04-14,139.48,141.61,139.48,141.02,10800256
2022-04-15,141.02,141.02,137.63,138.19,6005709
2022-04-18,138.19,138.57,137.07,138.16,16235041
2022-04-19,138.16,143.75,138.16,143.46,5616723
2022-04-20,143.46,145.7,143.46,145.59,11361950
2022-04-21,145.59,145.59,142.63,143.34,23374038
2022-04-22,143.34,143.34,141.27,141.58,8431817
2022-04-25,141.58,141.58,136.61,137.4,7918280
2022-04-26,137.4,143.92,137.4,142.91,9502244
2022-04-27,142.91,142.91,138.85,139.52,21643073
2022-04-28,139.52,139.52,131.21,131.26,16038286
2022-04-29,131.26,131.26,126.0,126.88,7441960
2022-05-02,126.88,127.59,125.26,127.05,10037244
2022-05-03,127.05,127.05,124.56,124.87,12853990
2022-05-04,124.87,125.95,124.65,125.27,7484958
2022-05-05,125.27,126.74,125.27,126.32,5651111
2022-05-06,126.32,126.32,124.06,124.44,13711416
2022-05-09,124.44,124.44,121.44,121.71,10895979
2022-05-10,121.71,124.66,121.71,124.43,10094950
2022-05-11,124.43,125.72,124.43,125.34,13835474
2022-05-12,125.34,125.34,116.62,117.49,5620248
2022-05-13,117.49,117.49,113.16,113.21,8099520
2022-05-16,113.21,113.21,108.05,108.42,25527708
2022-05-17,108.42,108.87,107.77,108.01,11151226
2022-05-18,108.01,108.66,108.01,108.55,11423753
2022-05-19,108.55,108.68,107.47,108.11,9270398
2022-05-20,108.11,108.11,106.44,106.48,4254760
2022-05-23,106.48,109.21,106.48,109.15,6406359
2022-05-24,109.15,111.03,109.15,110.01,12805451
2022-05-25,110.01,110.01,107.31,107.62,7154623
