date,open,high,low,close,volume
2022-01-03,112.59,113.81,112.59,113.4,8866897
2022-01-04,113.4,113.4,111.58,111.64,14174516
2022-01-05,111.64,113.66,111.64,113.31,8901089
2022-01-06,113.31,113.31,111.57,111.99,11030223
2022-01-07,111.99,114.21,111.99,113.81,6333465
2022-01-10,113.81,114.16,112.99,113.23,6938165
2022-01-11,113.23,113.23,108.78,109.3,10237732
2022-01-12,109.3,109.3,106.6,107.15,18945206
2022-01-13,107.15,107.15,106.0,106.25,15743056
2022-01-14,106.25,110.06,106.25,109.38,11219133
2022-01-18,109.38,111.69,109.38,111.51,9441009
2022-01-19,111.51,115.59,111.51,115.4,15563324
2022-01-20,115.4,120.21,115.4,119.5,12211288
2022-01-21,119.5,119.5,117.29,118.24,3550273
2022-01-24,118.24,118.4,117.44,117.84,5829417
2022-01-25,117.84,117.84,116.67,116.9,10173085
2022-01-26,116.9,116.9,115.02,115.34,4347941
2022-01-27,115.34,115.34,110.54,111.07,6205610
2022-01-28,111.07,111.68,110.43,111.09,6716475
2022-01-31,111.09,111.09,108.19,108.22,8020678
2022-02-01,108.22,108.23,108.17,108.2,7920999
2022-02-02,108.2,113.13,108.2,113.13,7915645
2022-02-03,113.13,113.13,111.84,112.0,12361817
2022-02-04,112.0,112.84,111.55,112.51,7991671
2022-02-07,112.51,115.34,112.51,114.72,7618941
2022-02-08,114.72,115.73,114.31,115.45,5180080
2022-02-09,115.45,116.6,115.45,116.22,13386248
2022-02-10,116.22,116.22,114.42,115.41,6792984
2022-02-11,115.41,115.41,114.29,114.91,5752746
2022-02-14,114.91,114.91,112.37,112.7,9676745
2022-02-15,112.7,114.9,112.7,114.76,6538533
2022-02-16,114.76,114.76,109.82,110.74,7200196
2022-02-17,110.74,113.63,110.74,113.06,9853961
2022-02-18,113.06,113.06,109.7,109.87,7798226
2022-02-22,109.87,112.3,109.87,112.15,22401618
2022-02-23,112.15,112.17,111.15,111.39,8624077
2022-02-24,111.39,111.39,108.19,108.63,11377352
2022-02-25,108.63,110.92,108.63,110.0,4087002
2022-02-28,110.0,112.91,110.0,112.21,6297985
2022-03-01,112.21,112.21,110.29,111.25,5753014
2022-03-02,111.25,113.55,111.25,112.99,6066231
2022-03-03,112.99,112.99,106.91,107.8,10492960
2022-03-04,107.8,107.8,104.49,104.94,13446454
2022-03-07,104.94,108.39,104.94,107.86,10199530
2022-03-08,107.86,107.93,107.01,107.41,8115952
2022-03-09,107.41,107.41,103.38,103.39,6904320
2022-03-10,103.39,103.39,101.3,101.95,13872789
2022-03-11,101.95,101.95,99.78,100.07,20348183
2022-03-14,100.07,100.6,98.94,99.77,9379361
2022-03-15,99.77,99.77,98.91,99.06,12938853
2022-03-16,99.06,99.62,99.06,99.48,10194390
2022-03-17,99.48,100.04,99.25,99.39,12021436
2022-03-18,99.39,102.93,99.39,102.3,5577110
2022-03-21,102.3,103.82,102.3,103.26,7309939
2022-03-22,103.26,104.56,103.26,104.31,10409066
2022-03-23,104.31,107.61,104.31,106.92,14432546
2022-03-24,106.92,106.98,105.3,106.12,6406004
2022-03-25,106.12,106.12,103.08,103.42,3939956
2022-03-28,103.42,106.22,103.42,106.11,7280384
2022-03-29,106.11,106.48,106.11,106.47,13310347
2022-03-30,106.47,107.07,106.42,106.83,4715859
2022-03-31,106.83,106.83,105.34,105.49,5549575
2022-04-01,105.49,105.49,103.24,104.2,9457961
2022-04-04,104.2,106.33,104.2,106.11,8483312
2022-04-05,106.11,109.43,106.11,108.36,11271484
2022-04-06,108.36,111.68,108.36,110.2,5435756
2022-04-07,110.2,112.97,110.2,112.1,7802919
2022-04-08,112.1,113.76,112.1,113.49,14332986
2022-04-11,113.49,114.06,113.49,113.86,5514224
2022-04-12,113.86,113.96,113.37,113.51,16042707
2022-04-13,113.51,116.89,113.51,116.47,5798055
2022-04-14,116.47,116.47,115.38,115.63,12481431
2022-04-15,115.63,117.84,115.63,116.58,7654594
2022-04-18,116.58,116.58,114.44,114.71,5621093
2022-04-19,114.71,114.71,112.78,113.21,7284361
2022-04-20,113.21,113.26,112.47,112.72,11050339
2022-04-21,112.72,112.72,110.25,110.91,8861781
