date,open,high,low,close,volume
2022-01-03,360.11,376.6,360.11,376.23,6240124
2022-01-04,376.23,376.79,374.03,376.05,10587121
2022-01-05,376.05,377.36,372.77,373.96,15200123
2022-01-06,373.96,373.96,369.46,370.52,8805389
2022-01-07,370.52,376.01,370.52,372.92,10869467
2022-01-10,372.92,376.61,372.92,375.41,12033825
2022-01-11,375.41,381.88,375.41,381.66,12387544
2022-01-12,381.66,381.66,374.94,375.49,6068306
2022-01-13,375.49,376.62,369.84,373.4,6512252
2022-01-14,373.4,387.24,373.4,386.85,6742694
2022-01-18,386.85,388.71,386.85,388.33,19219837
2022-01-19,388.33,388.33,381.44,387.12,10889147
2022-01-20,387.12,387.12,379.98,380.75,10695421
2022-01-21,380.75,386.87,380.75,384.09,10288057
2022-01-24,384.09,392.61,384.09,391.03,5239217
2022-01-25,391.03,399.02,391.03,397.01,19293449
2022-01-26,397.01,397.01,394.47,395.18,10763539
2022-01-27,395.18,398.69,395.18,397.64,11866905
2022-01-28,397.64,410.5,397.64,409.38,4385400
2022-01-31,409.38,417.36,409.38,417.07,12138072
2022-02-01,417.07,417.07,409.49,411.35,7706040
2022-02-02,411.35,411.35,392.85,393.39,5235049
2022-02-03,393.39,396.95,392.52,395.4,6067726
2022-02-04,395.4,400.96,395.4,400.91,5357683
2022-02-07,400.91,400.91,392.72,393.3,5321609
2022-02-08,393.3,394.19,388.59,393.2,9103951
2022-02-09,393.2,393.66,390.42,391.34,7612444
2022-02-10,391.34,393.0,391.02,392.01,10156533
2022-02-11,392.01,392.01,386.7,388.25,17372348
2022-02-14,388.25,398.44,388.25,397.07,8437516
2022-02-15,397.07,400.06,394.94,398.05,3620216
2022-02-16,398.05,398.05,389.25,391.94,8066390
2022-02-17,391.94,400.12,391.94,398.23,14322721
2022-02-18,398.23,398.23,384.71,389.48,8585834
2022-02-22,389.48,399.65,389.48,398.28,16382631
2022-02-23,398.28,407.75,398.28,405.2,10651130
2022-02-24,405.2,416.38,405.2,415.12,4259626
2022-02-25,415.12,415.15,411.8,413.92,9284277
2022-02-28,413.92,413.92,409.28,410.3,10007051
2022-03-01,410.3,411.95,409.14,410.86,13689536
2022-03-02,410.86,412.06,408.22,410.21,18399878
2022-03-03,410.21,410.21,404.5,405.51,12776143
2022-03-04,405.51,405.51,398.93,401.55,10598170
2022-03-07,401.55,401.55,398.84,398.95,11646023
2022-03-08,398.95,398.95,390.39,390.82,8308563
2022-03-09,390.82,399.07,390.82,395.44,4949756
2022-03-10,395.44,395.94,394.48,395.03,9034836
2022-03-11,395.03,395.03,392.22,392.86,10284167
2022-03-14,392.86,392.86,383.51,385.27,5490538
2022-03-15,385.27,385.27,376.74,377.49,15106696
2022-03-16,377.49,391.4,377.49,390.44,13285242
2022-03-17,390.44,390.44,384.78,386.14,5133485
2022-03-18,386.14,392.26,386.14,390.24,15345501
2022-03-21,390.24,393.31,389.78,391.3,7855105
2022-03-22,391.3,391.3,371.88,372.73,6508394
2022-03-23,372.73,386.74,372.73,384.55,13683633
2022-03-24,384.55,390.72,384.55,389.13,8706480
2022-03-25,389.13,389.13,383.53,383.9,18994767
2022-03-28,383.9,386.97,382.65,383.67,6317567
2022-03-29,383.67,383.67,375.43,375.99,4445206
2022-03-30,375.99,389.59,375.99,388.15,7943183
2022-03-31,388.15,388.15,381.9,381.99,12184668
2022-04-01,381.99,381.99,377.92,378.47,6132682
2022-04-04,378.47,378.47,373.08,373.63,5219748
2022-04-05,373.63,374.95,371.61,374.12,9738239
2022-04-06,374.12,383.24,374.12,383.15,4948153
2022-04-07,383.15,396.12,383.15,395.28,10045919
2022-04-08,395.28,395.28,387.1,392.49,7754243
2022-04-11,392.49,395.28,392.49,395.05,10829523
2022-04-12,395.05,399.14,392.97,395.57,5108766
2022-04-13,395.57,395.57,386.06,388.79,14935705
2022-04-14,388.79,407.44,388.79,405.57,8258769
2022-04-15,405.57,416.29,405.57,415.3,12060052
2022-04-18,415.3,416.73,415.3,416.63,13045452
2022-04-19,416.63,431.05,416.63,428.27,5592975
2022-04-20,428.27,440.48,428.27,437.39,12646651
2022-04-21,437.39,438.83,436.1,437.97,5025187
2022-04-22,437.97,442.48,437.97,440.42,5136820
2022-04-25,440.42,454.57,440.42,452.17,19493657
2022-04-26,452.17,452.17,444.46,444.7,13863102
2022-04-27,444.7,463.13,444.7,457.85,20367797
2022-04-28,457.85,457.85,452.82,456.0,7663002
2022-04-29,456.0,472.0,456.0,468.27,9257748
2022-05-02,468.27,469.87,467.42,468.17,10972930
2022-05-03,468.17,472.36,468.17,470.89,8842867
2022-05-04,470.89,472.49,468.05,470.56,6593175
2022-05-05,470.56,470.56,465.07,466.15,6209345
2022-05-06,466.15,466.15,460.26,463.9,9679733
2022-05-09,463.9,476.79,463.9,475.17,5799348
2022-05-10,475.17,475.17,453.47,456.28,5734749
2022-05-11,456.28,456.28,446.19,446.45,10401169
2022-05-12,446.45,446.45,440.61,440.77,8554228
2022-05-13,440.77,440.77,429.84,432.49,12927695
2022-05-16,432.49,444.36,432.49,444.01,7497164
2022-05-17,444.01,454.16,444.01,453.83,7042667
