date,open,high,low,close,volume
2022-01-03,283.31,283.31,273.0,273.41,3330326
2022-01-04,273.41,275.97,273.41,275.87,10179879
2022-01-05,275.87,281.04,275.87,280.93,5833149
2022-01-06,280.93,280.93,270.14,272.61,10844244
2022-01-07,272.61,272.61,264.76,265.82,14246297
2022-01-10,265.82,265.82,259.87,260.41,11253086
2022-01-11,260.41,260.41,252.18,253.35,8114497
2022-01-12,253.35,256.08,253.35,255.76,18612818
2022-01-13,255.76,255.76,251.45,252.05,7389927
2022-01-14,252.05,254.53,252.05,253.61,6191832
2022-01-18,253.61,253.61,247.92,249.61,10154858
2022-01-19,249.61,249.61,247.77,247.9,12107980
2022-01-20,247.9,254.11,247.9,253.82,3159323
2022-01-21,253.82,253.82,245.37,247.58,13856048
2022-01-24,247.58,247.58,243.43,244.68,4639152
2022-01-25,244.68,247.87,244.68,247.11,3910424
2022-01-26,247.11,247.11,244.53,245.54,7743291
2022-01-27,245.54,247.9,245.54,246.72,5809024
2022-01-28,246.72,247.28,246.38,246.89,10493800
2022-01-31,246.89,246.89,238.66,238.96,10247284
2022-02-01,238.96,247.08,238.96,246.62,10053166
2022-02-02,246.62,247.88,245.31,246.24,14501024
2022-02-03,246.24,256.37,246.24,255.23,7832569
2022-02-04,255.23,257.68,255.23,257.31,10292662
2022-02-07,257.31,265.68,257.31,265.07,4557393
2022-02-08,265.07,273.02,265.07,271.3,13048730
2022-02-09,271.3,279.93,271.3,278.94,7271773
2022-02-10,278.94,278.94,277.19,277.75,7931659
2022-02-11,277.75,289.91,277.75,289.12,7748564
2022-02-14,289.12,289.12,284.82,286.31,8539219
2022-02-15,286.31,289.14,286.31,288.79,7665900
2022-02-16,288.79,294.65,288.79,294.54,3738208
2022-02-17,294.54,316.63,294.54,316.12,14593351
2022-02-18,316.12,325.25,316.12,324.06,6850649
2022-02-22,324.06,324.06,319.02,320.53,7650619
2022-02-23,320.53,324.24,320.53,322.65,8225830
2022-02-24,322.65,322.65,312.97,313.39,10960129
2022-02-25,313.39,325.06,313.39,323.94,7295862
2022-02-28,323.94,323.94,301.76,302.52,13610558
2022-03-01,302.52,302.52,299.93,301.56,18808340
2022-03-02,301.56,317.14,301.56,316.75,17096667
2022-03-03,316.75,323.39,316.75,322.32,9833059
2022-03-04,322.32,327.11,322.32,326.04,7055950
2022-03-07,326.04,326.04,317.44,317.77,6981041
2022-03-08,317.77,327.48,317.77,327.46,7664440
2022-03-09,327.46,327.46,319.29,321.12,6322520
2022-03-10,321.12,321.12,314.38,314.96,10494128
2022-03-11,314.96,328.92,314.96,324.55,8116548
2022-03-14,324.55,324.55,317.4,318.03,8828263
2022-03-15,318.03,318.03,304.32,308.11,7856386
2022-03-16,308.11,308.11,301.43,301.82,10643605
2022-03-17,301.82,305.44,301.46,303.27,9844019
2022-03-18,303.27,303.27,296.1,300.12,7714715
2022-03-21,300.12,313.97,300.12,312.61,8374258
2022-03-22,312.61,313.83,310.32,313.05,8370649
2022-03-23,313.05,313.05,302.48,304.78,11620730
2022-03-24,304.78,304.78,291.9,292.65,6509429
2022-03-25,292.65,299.02,292.65,298.72,7376782
2022-03-28,298.72,301.7,298.23,300.9,4155789
2022-03-29,300.9,305.37,300.9,305.17,5780439
2022-03-30,305.17,305.17,300.33,302.5,8084919
2022-03-31,302.5,304.19,302.5,303.73,7461059
2022-04-01,303.73,313.63,303.73,312.02,4053221
2022-04-04,312.02,313.18,310.88,312.26,10962899
2022-04-05,312.26,312.26,301.21,304.64,6247976
2022-04-06,304.64,310.74,304.64,309.74,4647893
2022-04-07,309.74,309.74,305.05,307.56,10280339
2022-04-08,307.56,314.88,307.56,314.4,12404987
2022-04-11,314.4,316.38,313.68,314.78,3352068
2022-04-12,314.78,321.7,314.78,321.04,11675122
2022-04-13,321.04,325.8,321.04,324.86,8151498
2022-04-14,324.86,336.06,324.86,334.52,8022190
2022-04-15,334.52,343.06,334.52,341.93,5677682
2022-04-18,341.93,341.93,332.07,332.43,8351312
2022-04-19,332.43,332.43,318.7,319.16,8567762
2022-04-20,319.16,320.15,317.76,318.82,21885847
2022-04-21,318.82,326.05,318.82,323.29,10949616
2022-04-22,323.29,323.29,318.25,318.36,8877365
2022-04-25,318.36,321.86,318.36,321.72,14257562
2022-04-26,321.72,328.04,321.72,324.8,12660916
2022-04-27,324.8,327.02,323.68,324.49,4967363
2022-04-28,324.49,324.49,319.11,320.18,11577928
2022-04-29,320.18,320.18,310.09,313.25,9240213
2022-05-02,313.25,332.19,313.25,331.1,6714874
2022-05-03,331.1,331.1,315.27,316.15,5875879
2022-05-04,316.15,316.15,307.61,307.81,8379567
2022-05-05,307.81,327.18,307.81,326.22,8849456
2022-05-06,326.22,326.22,318.34,319.07,14068054
2022-05-09,319.07,319.07,314.5,315.33,3609736
2022-05-10,315.33,320.81,315.33,320.31,5370609
2022-05-11,320.31,324.84,320.31,323.94,9610045
2022-05-12,323.94,327.81,323.94,327.33,8407040
2022-05-13,327.33,340.49,327.33,338.54,9287322
2022-05-16,338.54,338.54,331.49,331.67,7397467
2022-05-17,331.67,334.19,331.67,333.16,9815777
2022-05-18,333.16,333.71,332.5,332.98,4705697
2022-05-19,332.98,332.98,325.77,326.79,20564257
2022-05-20,326.79,328.84,326.79,327.75,10501856
2022-05-23,327.75,334.76,327.75,332.05,10669654
2022-05-24,332.05,337.27,332.05,336.58,5801238
2022-05-25,336.58,346.42,336.58,344.85,7021922
2022-05-26,344.85,347.34,344.07,344.76,10902461
2022-05-27,344.76,344.76,335.21,337.39,7724315
2022-05-31,337.39,337.39,326.35,327.45,9891839
2022-06-01,327.45,327.45,322.81,324.33,6505855
2022-06-02,324.33,324.33,314.39,314.99,5203041
2022-06-03,314.99,314.99,307.9,310.28,13857509
2022-06-06,310.28,310.28,301.28,302.48,6208519
2022-06-07,302.48,302.48,298.11,298.33,12787086
2022-06-08,298.33,310.64,298.33,310.52,6353807
2022-06-09,310.52,310.52,308.33,309.87,8340090
2022-06-10,309.87,322.2,309.87,321.03,7611649
2022-06-13,321.03,324.25,321.03,324.21,8169526
2022-06-14,324.21,324.21,318.06,319.99,12033413
2022-06-15,319.99,319.99,318.67,319.33,17068618
2022-06-16,319.33,319.33,307.15,308.09,8230068
2022-06-17,308.09,308.09,304.3,306.04,9327261
2022-06-21,306.04,306.04,296.47,297.5,7978214
2022-06-22,297.5,303.23,297.5,301.65,9199407
2022-06-23,301.65,301.65,298.25,298.96,6668157
2022-06-24,298.96,298.96,294.41,297.15,5872282
2022-06-27,297.15,297.15,292.18,294.61,10119597
2022-06-28,294.61,300.81,294.61,300.71,9715711
