date,open,high,low,close,volume
2022-01-03,114.32,114.32,112.41,113.23,9469864
2022-01-04,113.23,113.23,112.33,112.34,5709142
2022-01-05,112.34,113.93,112.34,113.74,8866556
2022-01-06,113.74,115.45,113.74,115.37,5195885
2022-01-07,115.37,115.37,114.3,114.64,13061582
2022-01-10,114.64,114.64,113.17,114.0,11254651
2022-01-11,114.0,114.0,113.04,113.37,10560464
2022-01-12,113.37,113.37,111.77,112.13,6887478
2022-01-13,112.13,113.95,112.13,113.48,15673875
2022-01-14,113.48,114.3,113.0,113.72,5757877
2022-01-18,113.72,113.72,112.48,112.66,9065692
2022-01-19,112.66,113.43,112.66,112.76,5566756
2022-01-20,112.76,112.76,112.04,112.22,8258194
2022-01-21,112.22,115.95,112.22,115.95,14774629
2022-01-24,115.95,116.86,115.28,115.59,10734389
2022-01-25,115.59,116.82,115.59,116.72,6147711
2022-01-26,116.72,117.76,116.72,117.39,7211379
2022-01-27,117.39,117.52,116.82,117.17,7634660
2022-01-28,117.17,119.05,117.17,117.86,6364715
2022-01-31,117.86,118.45,117.86,118.19,9909807
2022-02-01,118.19,122.85,118.19,122.1,21285326
2022-02-02,122.1,122.34,121.92,121.95,7104423
2022-02-03,121.95,121.95,117.35,117.89,19228930
2022-02-04,117.89,121.99,117.89,121.31,8873266
2022-02-07,121.31,121.31,119.96,120.52,10108301
2022-02-08,120.52,120.71,120.2,120.67,9863439
2022-02-09,120.67,121.31,119.8,119.82,4508427
2022-02-10,119.82,119.87,118.63,118.9,10658593
2022-02-11,118.9,118.9,116.1,117.19,3359103
2022-02-14,117.19,117.19,113.5,114.18,9661784
2022-02-15,114.18,114.18,111.96,113.13,9483983
2022-02-16,113.13,114.21,113.12,113.9,4809165
2022-02-17,113.9,113.9,111.08,111.49,9119343
2022-02-18,111.49,112.72,111.49,112.24,7903743
2022-02-22,112.24,116.04,112.24,115.7,8356290
2022-02-23,115.7,116.98,115.7,116.14,8390171
2022-02-24,116.14,116.14,113.59,114.06,7020723
2022-02-25,114.06,115.19,114.06,114.68,9159295
2022-02-28,114.68,116.95,114.68,116.13,12562983
2022-03-01,116.13,118.3,116.13,118.13,8076092
2022-03-02,118.13,118.5,117.83,118.43,8709276
2022-03-03,118.43,119.76,118.43,119.38,11520792
2022-03-04,119.38,121.42,119.38,120.72,22028269
2022-03-07,120.72,122.05,120.72,121.68,8226554
2022-03-08,121.68,122.37,121.39,122.2,4497762
2022-03-09,122.2,122.2,120.14,121.19,6207848
2022-03-10,121.19,122.97,121.19,122.72,11307507
2022-03-11,122.72,122.72,121.44,121.88,16273518
2022-03-14,121.88,127.9,121.88,126.1,6087316
2022-03-15,126.1,126.1,124.01,125.06,8733109
2022-03-16,125.06,126.93,125.06,126.39,8954926
2022-03-17,126.39,126.39,122.99,124.31,6533619
2022-03-18,124.31,124.31,123.04,123.55,16421357
2022-03-21,123.55,123.55,122.0,122.62,14155732
2022-03-22,122.62,122.62,119.26,120.46,10197583
2022-03-23,120.46,120.46,118.76,119.57,7512194
2022-03-24,119.57,120.37,119.57,120.15,13026429
2022-03-25,120.15,121.15,119.54,119.77,10914190
2022-03-28,119.77,121.72,119.77,121.66,7460876
2022-03-29,121.66,121.66,119.85,120.2,13106086
2022-03-30,120.2,121.32,120.2,121.31,10300398
2022-03-31,121.31,121.31,120.37,120.39,4573197
2022-04-01,120.39,122.41,120.39,122.18,5975088
2022-04-04,122.18,124.03,122.18,123.45,5221233
2022-04-05,123.45,125.76,123.45,125.1,13422999
2022-04-06,125.1,125.18,124.49,124.85,6710208
2022-04-07,124.85,127.41,124.85,127.04,11419908
2022-04-08,127.04,127.04,123.59,124.33,21183838
2022-04-11,124.33,125.26,124.33,125.07,12208632
2022-04-12,125.07,125.99,124.8,125.31,7515005
2022-04-13,125.31,127.4,125.31,126.69,6599665
2022-04-14,126.69,126.76,125.99,126.58,7861287
2022-04-15,126.58,126.58,123.26,124.97,5890758
2022-04-18,124.97,124.97,122.7,123.22,5622051
2022-04-19,123.22,123.69,123.07,123.21,6439839
2022-04-20,123.21,124.12,121.64,122.8,10994260
2022-04-21,122.8,124.28,122.65,124.19,7214884
2022-04-22,124.19,125.81,124.19,125.76,8120371
2022-04-25,125.76,126.46,125.51,125.85,10720567
2022-04-26,125.85,126.88,125.81,125.9,11886275
2022-04-27,125.9,127.71,125.9,127.67,4107297
2022-04-28,127.67,128.02,127.09,127.28,4460033
2022-04-29,127.28,127.28,126.85,126.95,7614670
2022-05-02,126.95,126.95,123.92,124.79,5689163
2022-05-03,124.79,126.27,124.79,126.24,12507191
2022-05-04,126.24,126.3,126.1,126.1,7381301
2022-05-05,126.1,128.22,126.1,128.0,18238492
2022-05-06,128.0,128.0,125.96,126.01,7310579
2022-05-09,126.01,126.01,124.9,125.22,10053677
2022-05-10,125.22,126.82,125.22,126.78,6805052
2022-05-11,126.78,127.35,126.78,127.34,10799806
2022-05-12,127.34,127.34,124.65,125.4,10895280
2022-05-13,125.4,127.29,125.4,126.93,12674467
2022-05-16,126.93,126.93,123.48,124.8,8421408
2022-05-17,124.8,126.94,124.8,126.16,14770445
2022-05-18,126.16,126.16,124.16,124.57,10017582
2022-05-19,124.57,127.17,124.57,126.57,6870443
2022-05-20,126.57,126.99,126.13,126.76,6890106
2022-05-23,126.76,127.36,126.71,127.35,11893814
2022-05-24,127.35,127.96,127.12,127.22,14734525
2022-05-25,127.22,127.91,127.11,127.38,5672695
2022-05-26,127.38,128.05,126.61,127.53,11999702
2022-05-27,127.53,128.8,127.53,128.72,4903489
2022-05-31,128.72,128.94,128.33,128.62,6941348
2022-06-01,128.62,131.37,128.62,131.11,10809041
2022-06-02,131.11,131.11,129.33,129.87,6331165
2022-06-03,129.87,132.54,129.87,131.35,15971262
2022-06-06,131.35,133.92,131.35,132.33,11335296
2022-06-07,132.33,135.52,132.33,134.49,5539366
2022-06-08,134.49,134.74,134.19,134.71,11549887
2022-06-09,134.71,136.12,134.71,135.3,5240107
2022-06-10,135.3,136.29,135.26,135.88,8899270
2022-06-13,135.88,135.88,133.53,133.75,12621697
2022-06-14,133.75,136.17,132.78,134.45,11801289
2022-06-15,134.45,141.36,134.45,140.32,8584419
2022-06-16,140.32,143.64,140.32,143.31,7742878
2022-06-17,143.31,143.31,141.63,141.87,5592181
2022-06-21,141.87,141.87,137.74,138.59,9559417
2022-06-22,138.59,138.96,138.23,138.7,12259298
2022-06-23,138.7,141.56,138.7,140.68,20295110
2022-06-24,140.68,140.76,139.78,140.63,7404118
2022-06-27,140.63,145.34,140.63,144.15,12467873
2022-06-28,144.15,144.15,142.56,142.7,12064652
2022-06-29,142.7,143.93,142.7,143.13,7344068
2022-06-30,143.13,143.66,142.11,142.94,11856495
