date,open,high,low,close,volume
2022-01-03,360.0,360.0,350.31,351.99,6038625
2022-01-04,351.99,351.99,346.16,348.52,7163939
2022-01-05,348.52,349.1,344.18,346.93,7372714
2022-01-06,346.93,355.82,346.93,355.02,4910106
2022-01-07,355.02,358.78,355.02,357.54,6407162
2022-01-10,357.54,357.54,351.33,352.0,5646056
2022-01-11,352.0,354.38,352.0,354.2,7534540
2022-01-12,354.2,354.2,347.36,347.82,6612821
2022-01-13,347.82,353.0,347.82,352.51,4635237
2022-01-14,352.51,352.51,350.54,350.66,19955913
2022-01-18,350.66,350.98,348.33,350.41,14665616
2022-01-19,350.41,356.19,350.41,356.17,6507020
2022-01-20,356.17,356.17,349.82,350.85,9909144
2022-01-21,350.85,350.85,343.54,345.16,10501052
2022-01-24,345.16,345.16,342.58,342.89,14309501
2022-01-25,342.89,347.36,342.89,347.33,6404798
2022-01-26,347.33,347.33,340.47,341.19,13754033
2022-01-27,341.19,341.19,329.35,329.92,7137248
2022-01-28,329.92,329.92,327.7,328.27,5207732
2022-01-31,328.27,331.5,328.27,330.58,11871541
2022-02-01,330.58,337.19,330.58,335.51,14891533
2022-02-02,335.51,335.51,331.99,333.79,25019437
2022-02-03,333.79,333.79,331.45,332.27,5499181
2022-02-04,332.27,338.32,332.27,337.04,11752398
2022-02-07,337.04,337.04,327.75,329.7,7542615
2022-02-08,329.7,329.7,326.42,328.29,12156122
2022-02-09,328.29,332.19,326.89,329.18,4934708
2022-02-10,329.18,333.12,329.18,331.09,5362238
2022-02-11,331.09,332.62,329.11,329.2,6515210
2022-02-14,329.2,329.61,328.56,329.47,9171263
2022-02-15,329.47,329.47,319.63,319.9,6876136
2022-02-16,319.9,319.9,316.01,317.51,11566479
2022-02-17,317.51,321.04,317.51,319.37,13399900
2022-02-18,319.37,319.37,314.37,315.76,11294551
2022-02-22,315.76,316.84,314.93,316.11,16979462
2022-02-23,316.11,318.81,316.11,317.93,10494172
2022-02-24,317.93,317.93,316.41,316.76,5461539
2022-02-25,316.76,318.94,316.76,317.53,15330434
2022-02-28,317.53,317.53,313.67,314.01,6975660
2022-03-01,314.01,315.4,312.16,313.36,12789913
2022-03-02,313.36,316.71,313.36,315.79,16676209
2022-03-03,315.79,317.16,313.43,316.51,10667104
2022-03-04,316.51,316.51,311.55,314.42,4884299
2022-03-07,314.42,315.77,314.42,315.39,6154629
