date,open,high,low,close,volume
2022-01-03,128.01,131.55,128.01,131.17,8451778
2022-01-04,131.17,133.18,131.16,131.19,6347961
2022-01-05,131.19,137.83,131.19,136.54,11748690
2022-01-06,136.54,139.72,136.54,138.8,12982096
2022-01-07,138.8,141.15,138.8,140.35,5133775
2022-01-10,140.35,141.04,139.55,140.1,9514050
2022-01-11,140.1,140.1,135.15,136.14,17648639
2022-01-12,136.14,136.93,136.14,136.35,12586891
2022-01-13,136.35,136.35,133.27,134.12,16610975
2022-01-14,134.12,134.12,132.68,132.99,10278105
2022-01-18,132.99,133.57,132.73,133.34,5140635
2022-01-19,133.34,137.28,133.34,136.88,4652760
2022-01-20,136.88,137.49,136.28,136.58,7093699
2022-01-21,136.58,136.58,133.04,134.05,6701980
2022-01-24,134.05,134.05,129.41,130.39,17631725
2022-01-25,130.39,130.39,127.12,127.73,19717489
2022-01-26,127.73,133.9,127.73,133.15,11658496
2022-01-27,133.15,133.15,129.92,131.72,11416779
2022-01-28,131.72,131.72,127.1,127.27,6228755
2022-01-31,127.27,129.02,127.27,128.02,10899306
2022-02-01,128.02,128.02,126.46,126.55,5025837
2022-02-02,126.55,126.55,126.29,126.51,5687770
2022-02-03,126.51,129.57,126.51,128.7,16222018
2022-02-04,128.7,132.34,128.7,131.8,10034009
2022-02-07,131.8,132.0,131.27,131.57,11811924
2022-02-08,131.57,132.97,131.57,132.45,3319369
2022-02-09,132.45,137.05,132.45,135.87,7408052
2022-02-10,135.87,135.87,133.68,133.86,7216753
2022-02-11,133.86,133.86,130.14,130.65,13726985
2022-02-14,130.65,132.21,130.65,131.9,12983208
2022-02-15,131.9,131.9,129.3,129.32,12658052
2022-02-16,129.32,129.32,128.02,128.25,9348937
2022-02-17,128.25,128.79,127.37,128.27,15622964
2022-02-18,128.27,129.17,127.64,128.79,6460248
2022-02-22,128.79,128.79,127.82,128.08,7922562
2022-02-23,128.08,131.5,128.08,130.57,17880335
2022-02-24,130.57,131.18,129.91,130.39,9250872
2022-02-25,130.39,130.39,126.27,126.35,14874483
2022-02-28,126.35,127.08,126.35,126.91,7415613
2022-03-01,126.91,127.42,126.21,127.29,9341644
2022-03-02,127.29,127.29,125.82,126.58,13559149
2022-03-03,126.58,126.73,125.3,126.0,15130784
2022-03-04,126.0,126.0,123.95,124.8,8591808
2022-03-07,124.8,124.8,122.35,122.77,5120399
2022-03-08,122.77,127.05,122.77,126.39,6169535
2022-03-09,126.39,128.05,126.39,127.93,7611053
2022-03-10,127.93,130.37,127.93,129.63,10744037
2022-03-11,129.63,129.9,128.12,129.09,6541870
2022-03-14,129.09,129.09,126.28,126.89,10689056
2022-03-15,126.89,126.89,119.37,119.69,9991309
2022-03-16,119.69,123.68,119.69,122.36,7388432
2022-03-17,122.36,127.44,122.36,127.34,4182336
2022-03-18,127.34,127.34,123.05,124.06,10860986
2022-03-21,124.06,124.06,119.18,119.45,4517582
2022-03-22,119.45,121.02,119.45,120.97,12464342
2022-03-23,120.97,125.72,120.97,125.24,21079781
2022-03-24,125.24,125.24,123.25,123.44,8967402
2022-03-25,123.44,129.14,123.44,128.19,7237342
2022-03-28,128.19,129.66,128.19,129.42,16310056
2022-03-29,129.42,129.42,123.12,123.35,7966820
2022-03-30,123.35,126.98,123.35,126.13,9887783
2022-03-31,126.13,126.13,124.98,125.53,11597805
2022-04-01,125.53,126.04,124.55,125.22,6445123
2022-04-04,125.22,125.83,124.35,124.58,16308037
2022-04-05,124.58,125.56,124.26,124.78,14000039
2022-04-06,124.78,124.78,122.28,122.74,21802694
2022-04-07,122.74,122.74,119.92,120.01,11205115
2022-04-08,120.01,121.98,120.01,121.43,7773944
2022-04-11,121.43,121.43,118.34,118.6,5455394
2022-04-12,118.6,118.6,115.81,116.18,9358758
2022-04-13,116.18,116.18,110.93,111.83,9259070
2022-04-14,111.83,114.97,111.83,113.88,14725176
2022-04-15,113.88,120.14,113.88,119.23,8243193
2022-04-18,119.23,119.23,115.09,116.19,6651055
2022-04-19,116.19,116.19,114.52,114.57,4338711
2022-04-20,114.57,115.23,113.33,114.55,8539948
2022-04-21,114.55,116.48,114.55,116.39,6685538
2022-04-22,116.39,116.72,116.2,116.23,7580241
2022-04-25,116.23,120.35,116.23,119.98,8192505
2022-04-26,119.98,119.98,117.63,118.27,9233203
2022-04-27,118.27,118.54,118.15,118.28,6174086
2022-04-28,118.28,118.55,118.28,118.37,6752775
2022-04-29,118.37,118.37,114.32,114.44,15875665
2022-05-02,114.44,114.6,114.02,114.17,8005778
2022-05-03,114.17,115.51,114.15,114.86,11831678
2022-05-04,114.86,114.86,111.47,111.57,7614877
2022-05-05,111.57,111.57,109.84,109.98,8017088
2022-05-06,109.98,114.11,109.98,113.92,13379639
2022-05-09,113.92,113.92,111.25,112.29,7186300
2022-05-10,112.29,112.88,112.29,112.56,12593188
2022-05-11,112.56,112.56,111.74,111.91,11259379
2022-05-12,111.91,112.07,109.86,110.58,7612676
2022-05-13,110.58,110.58,107.62,108.06,5620601
2022-05-16,108.06,109.04,108.06,108.83,12132838
2022-05-17,108.83,108.83,106.59,106.89,6928498
2022-05-18,106.89,106.89,105.61,106.05,7908892
2022-05-19,106.05,109.01,106.05,108.61,7156295
2022-05-20,108.61,108.61,106.45,106.77,4465922
2022-05-23,106.77,111.0,106.77,109.16,8954171
2022-05-24,109.16,109.39,108.09,108.21,3841948
2022-05-25,108.21,108.21,107.63,107.78,11395736
2022-05-26,107.78,108.93,107.78,108.75,11523207
2022-05-27,108.75,108.75,105.22,105.84,8496340
2022-05-31,105.84,107.57,105.84,107.33,5426599
2022-06-01,107.33,107.33,105.11,105.29,11056037
2022-06-02,105.29,105.7,105.18,105.66,2018650
2022-06-03,105.66,105.66,103.26,103.3,8846937
2022-06-06,103.3,104.16,103.3,104.04,14896824
2022-06-07,104.04,104.04,100.83,101.28,10030483
2022-06-08,101.28,101.28,99.95,100.19,6890194
2022-06-09,100.19,100.19,98.85,99.14,5508646
2022-06-10,99.14,100.22,99.14,100.12,23898227
2022-06-13,100.12,103.55,100.12,102.95,7527064
2022-06-14,102.95,102.95,101.85,102.04,8175208
2022-06-15,102.04,102.21,100.75,101.36,7212691
2022-06-16,101.36,101.36,99.43,99.96,6067216
2022-06-17,99.96,103.06,99.96,103.02,3272909
2022-06-21,103.02,103.02,101.74,102.47,6996354
