date,open,high,low,close,volume
2022-01-03,430.0,434.27,430.0,432.27,8444115
2022-01-04,432.27,434.72,430.61,431.8,16263956
2022-01-05,431.8,436.86,431.8,434.74,4972979
2022-01-06,434.74,443.87,434.74,441.54,8843244
2022-01-07,441.54,442.73,440.27,440.64,5384540
2022-01-10,440.64,445.53,438.75,439.74,10277347
2022-01-11,439.74,447.98,439.74,446.88,12670093
2022-01-12,446.88,450.87,446.88,450.46,7509618
2022-01-13,450.46,450.46,448.28,448.48,3135547
2022-01-14,448.48,452.64,447.72,451.06,9622159
2022-01-18,451.06,451.06,446.54,449.11,10582321
2022-01-19,449.11,449.11,446.72,447.15,10445876
2022-01-20,447.15,454.11,446.76,448.37,14567635
2022-01-21,448.37,448.37,435.9,440.01,5789627
2022-01-24,440.01,440.01,432.43,432.61,11664801
2022-01-25,432.61,432.61,430.05,430.31,14317641
2022-01-26,430.31,430.31,422.88,426.11,4362539
2022-01-27,426.11,431.36,426.11,427.57,10098129
2022-01-28,427.57,427.57,421.67,423.84,7263178
2022-01-31,423.84,423.84,414.14,418.02,8601016
2022-02-01,418.02,425.82,418.02,424.32,10211964
2022-02-02,424.32,424.68,422.26,423.49,7312593
2022-02-03,423.49,425.24,423.42,423.9,6781553
2022-02-04,423.9,423.9,416.02,418.03,9008336
2022-02-07,418.03,418.03,415.11,415.88,5752249
2022-02-08,415.88,419.74,414.2,416.47,5755519
2022-02-09,416.47,416.47,407.95,411.83,11660869
2022-02-10,411.83,414.01,410.31,413.5,5612362
2022-02-11,413.5,413.5,410.15,411.15,11600108
2022-02-14,411.15,411.35,407.78,410.08,10692322
2022-02-15,410.08,410.08,407.45,407.74,4455622
2022-02-16,407.74,418.26,407.74,415.49,6776519
2022-02-17,415.49,416.34,414.88,415.55,14326818
2022-02-18,415.55,415.55,411.0,411.3,6001582
2022-02-22,411.3,415.99,411.3,414.83,7379661
2022-02-23,414.83,414.83,406.65,409.92,10690054
2022-02-24,409.92,412.61,409.84,410.9,12156276
2022-02-25,410.9,410.9,401.97,403.04,8035537
