date,open,high,low,close,volume
2022-01-03,95.0,95.87,94.9,95.64,14847496
2022-01-04,95.64,96.62,95.64,96.55,8525437
2022-01-05,96.55,97.48,96.55,96.96,6300982
2022-01-06,96.96,96.96,95.23,95.26,11660869
2022-01-07,95.26,95.33,95.1,95.11,7866571
2022-01-10,95.11,95.11,93.75,94.11,11389476
2022-01-11,94.11,94.28,93.73,93.92,2982398
2022-01-12,93.92,94.96,93.84,94.73,8904631
2022-01-13,94.73,95.03,94.73,94.97,7393840
2022-01-14,94.97,96.2,94.97,95.94,5807707
2022-01-18,95.94,96.9,95.75,96.21,7122031
2022-01-19,96.21,96.21,95.08,95.08,7063976
2022-01-20,95.08,95.08,92.88,92.93,8717174
2022-01-21,92.93,93.18,92.38,93.03,5142600
2022-01-24,93.03,93.03,92.76,92.84,10084493
2022-01-25,92.84,92.84,91.56,92.0,15347849
2022-01-26,92.0,92.0,90.08,90.59,9942921
2022-01-27,90.59,90.59,89.4,89.97,12281387
2022-01-28,89.97,90.11,89.1,89.8,13767550
2022-01-31,89.8,91.12,89.36,90.32,14571757
2022-02-01,90.32,92.23,90.27,90.46,18775351
2022-02-02,90.46,91.89,90.46,91.76,7277654
2022-02-03,91.76,91.76,90.03,90.89,6666505
2022-02-04,90.89,91.69,90.89,91.59,12156642
2022-02-07,91.59,91.75,91.51,91.61,11796418
2022-02-08,91.61,92.9,91.61,92.17,12118819
2022-02-09,92.17,92.17,91.53,91.79,18919675
2022-02-10,91.79,92.74,91.79,92.66,8926616
2022-02-11,92.66,93.28,92.36,92.89,10537623
2022-02-14,92.89,92.89,92.29,92.3,6003449
2022-02-15,92.3,92.49,91.56,92.27,20876369
2022-02-16,92.27,92.55,91.81,92.06,7766902
2022-02-17,92.06,92.96,92.06,92.44,7855414
2022-02-18,92.44,92.44,91.08,91.45,7735263
2022-02-22,91.45,92.11,90.67,91.41,6865652
2022-02-23,91.41,91.81,91.16,91.71,6637362
2022-02-24,91.71,91.81,91.22,91.72,7206675
2022-02-25,91.72,93.6,91.72,92.82,5145749
2022-02-28,92.82,94.19,92.6,93.45,6490647
2022-03-01,93.45,93.71,92.56,93.43,19376765
2022-03-02,93.43,93.98,92.94,93.59,11926365
2022-03-03,93.59,93.98,93.59,93.82,12869383
2022-03-04,93.82,94.23,93.82,94.15,14230292
2022-03-07,94.15,94.15,91.29,92.59,18506893
2022-03-08,92.59,92.6,92.2,92.32,4375060
2022-03-09,92.32,92.32,90.88,91.08,5433243
2022-03-10,91.08,92.14,91.08,92.12,6443036
2022-03-11,92.12,92.22,91.63,92.05,7363957
2022-03-14,92.05,92.05,91.69,91.87,7879478
2022-03-15,91.87,93.14,91.87,92.59,7431282
2022-03-16,92.59,93.36,92.59,92.93,9700845
2022-03-17,92.93,92.93,91.32,91.97,9012455
2022-03-18,91.97,92.95,91.3,91.89,6654913
2022-03-21,91.89,92.06,90.93,91.6,3722032
2022-03-22,91.6,91.6,89.7,90.15,5973553
2022-03-23,90.15,90.16,88.9,89.58,7133442
2022-03-24,89.58,89.58,89.29,89.41,8049883
2022-03-25,89.41,89.74,89.18,89.3,5655465
2022-03-28,89.3,89.3,88.06,88.1,7302135
2022-03-29,88.1,89.09,88.1,89.0,5652480
2022-03-30,89.0,89.15,88.71,88.9,8449959
2022-03-31,88.9,89.23,88.64,88.91,5784910
2022-04-01,88.91,89.39,88.91,89.22,6327641
2022-04-04,89.22,89.22,88.5,88.57,5264655
2022-04-05,88.57,88.97,87.89,88.92,8356913
2022-04-06,88.92,88.92,87.97,88.6,6283394
2022-04-07,88.6,88.6,87.31,87.87,12771334
2022-04-08,87.87,88.31,87.87,88.31,10452378
2022-04-11,88.31,89.97,88.31,89.49,8641262
