date,open,high,low,close,volume
2022-01-03,65.79,65.79,64.92,65.23,6804208
2022-01-04,65.23,66.74,65.23,66.4,8485041
2022-01-05,66.4,66.69,65.94,66.12,9117499
2022-01-06,66.12,66.37,66.09,66.2,10852396
2022-01-07,66.2,66.53,65.95,66.14,11142929
2022-01-10,66.14,66.14,64.7,65.02,11526870
2022-01-11,65.02,65.13,64.56,64.84,11721318
2022-01-12,64.84,64.84,63.93,64.29,9920612
2022-01-13,64.29,64.29,62.99,63.46,9084595
2022-01-14,63.46,63.46,62.16,62.18,12885863
2022-01-18,62.18,62.69,61.99,62.1,11725943
2022-01-19,62.1,63.08,62.1,62.9,4912107
2022-01-20,62.9,64.39,62.9,64.36,8292688
2022-01-21,64.36,64.36,62.36,62.64,4319455
2022-01-24,62.64,64.76,62.64,64.71,4285794
2022-01-25,64.71,65.18,64.66,65.13,7249549
2022-01-26,65.13,65.13,63.27,63.73,8442616
2022-01-27,63.73,63.73,63.25,63.27,7499365
2022-01-28,63.27,63.27,60.76,60.99,4366900
2022-01-31,60.99,60.99,59.09,59.1,12116010
2022-02-01,59.1,61.41,59.1,61.19,6697352
2022-02-02,61.19,61.19,60.05,60.39,10807495
2022-02-03,60.39,61.21,60.39,61.07,6771443
2022-02-04,61.07,61.07,60.43,60.98,7282225
2022-02-07,60.98,61.65,60.98,61.04,10569400
2022-02-08,61.04,62.12,61.04,61.53,7727849
2022-02-09,61.53,61.53,58.84,59.07,9513315
2022-02-10,59.07,60.86,59.07,60.68,9928589
2022-02-11,60.68,60.83,60.54,60.6,5021041
2022-02-14,60.6,60.6,59.87,60.03,10757518
2022-02-15,60.03,60.74,60.03,60.63,6107049
2022-02-16,60.63,60.63,59.57,59.81,5697709
2022-02-17,59.81,60.53,59.64,60.1,6644892
2022-02-18,60.1,60.75,59.47,59.94,12308433
2022-02-22,59.94,60.93,59.94,60.83,4684885
2022-02-23,60.83,60.83,60.55,60.61,11529264
2022-02-24,60.61,60.61,59.41,59.42,10178835
2022-02-25,59.42,60.22,59.42,59.89,9154292
2022-02-28,59.89,59.89,59.01,59.61,9807623
2022-03-01,59.61,59.61,57.51,57.53,7912533
2022-03-02,57.53,58.72,57.53,57.79,11674469
2022-03-03,57.79,57.79,56.63,57.22,7492220
2022-03-04,57.22,57.91,57.22,57.65,4639217
2022-03-07,57.65,57.65,56.23,56.72,8615825
2022-03-08,56.72,56.72,54.83,55.41,12243951
2022-03-09,55.41,56.86,55.41,56.76,10819011
2022-03-10,56.76,57.78,56.76,57.75,18361392
2022-03-11,57.75,57.91,57.62,57.78,8030239
2022-03-14,57.78,58.72,57.78,58.33,8332709
2022-03-15,58.33,59.54,58.33,59.31,8094345
2022-03-16,59.31,59.55,59.05,59.34,6514074
2022-03-17,59.34,59.34,57.32,57.97,7353901
2022-03-18,57.97,58.41,57.89,58.35,5864606
2022-03-21,58.35,59.78,58.35,59.56,3549965
2022-03-22,59.56,60.46,59.56,60.31,7045578
2022-03-23,60.31,60.54,60.31,60.42,8969992
2022-03-24,60.42,61.31,60.42,61.14,11436131
2022-03-25,61.14,61.38,60.78,60.91,7058461
2022-03-28,60.91,62.33,60.91,62.22,7091288
2022-03-29,62.22,64.05,62.22,63.95,13419881
2022-03-30,63.95,63.95,61.94,62.37,5217508
2022-03-31,62.37,64.04,62.37,63.8,8324310
2022-04-01,63.8,66.8,63.8,66.75,13031784
2022-04-04,66.75,68.28,66.75,67.49,6693415
2022-04-05,67.49,69.03,67.49,68.86,4811819
2022-04-06,68.86,68.86,67.85,68.03,17588218
2022-04-07,68.03,68.03,67.38,67.4,12233860
2022-04-08,67.4,67.55,66.94,67.16,12386868
2022-04-11,67.16,67.16,66.35,66.67,8574268
2022-04-12,66.67,66.67,64.56,65.0,11481537
2022-04-13,65.0,65.0,64.62,64.82,3281609
2022-04-14,64.82,66.3,64.82,65.94,7460122
2022-04-15,65.94,65.94,64.25,64.31,12981397
2022-04-18,64.31,64.88,63.83,64.58,5084148
2022-04-19,64.58,64.99,64.49,64.81,7776514
