date,open,high,low,close,volume
2022-01-03,390.05,395.63,390.05,394.69,11486792
2022-01-04,394.69,394.69,387.43,389.29,5113026
2022-01-05,389.29,390.22,386.29,387.35,10116345
2022-01-06,387.35,387.35,385.23,385.79,15939108
2022-01-07,385.79,388.46,385.5,385.74,10873192
2022-01-10,385.74,388.12,385.74,386.89,10416070
2022-01-11,386.89,386.89,377.26,377.4,7168953
2022-01-12,377.4,380.04,377.4,379.74,6189770
2022-01-13,379.74,379.74,376.41,377.31,4737371
2022-01-14,377.31,386.63,377.31,385.3,12030863
2022-01-18,385.3,393.27,385.3,391.44,8134674
2022-01-19,391.44,404.11,391.44,401.57,5196252
2022-01-20,401.57,401.57,393.11,394.48,13132011
2022-01-21,394.48,405.47,394.48,404.41,7026755
2022-01-24,404.41,406.91,404.27,405.21,6305003
2022-01-25,405.21,410.92,405.21,410.68,7286258
2022-01-26,410.68,417.6,410.68,416.1,8225620
2022-01-27,416.1,420.16,416.1,419.85,10672798
2022-01-28,419.85,419.85,408.52,411.26,6261150
2022-01-31,411.26,420.41,411.26,418.93,13311642
2022-02-01,418.93,422.31,418.93,421.84,10785269
2022-02-02,421.84,421.84,406.27,410.17,7232786
2022-02-03,410.17,410.17,404.37,406.45,8335916
2022-02-04,406.45,406.45,395.83,397.18,7504006
2022-02-07,397.18,397.18,384.2,386.53,9123334
2022-02-08,386.53,397.42,386.53,392.98,16320778
2022-02-09,392.98,392.98,380.8,382.06,7473137
2022-02-10,382.06,382.06,369.13,372.56,9585732
2022-02-11,372.56,389.39,372.56,387.04,6719786
2022-02-14,387.04,387.04,382.77,383.8,10993140
2022-02-15,383.8,388.91,383.8,388.74,9924953
2022-02-16,388.74,398.03,388.74,397.28,15124811
2022-02-17,397.28,403.8,397.28,403.3,6377736
2022-02-18,403.3,407.17,403.3,404.53,11713237
2022-02-22,404.53,406.55,404.18,404.31,14733486
2022-02-23,404.31,410.06,404.31,408.57,7459156
2022-02-24,408.57,409.06,404.44,406.89,8446127
2022-02-25,406.89,413.13,406.89,412.42,9590611
2022-02-28,412.42,414.43,409.71,410.45,8083766
2022-03-01,410.45,410.8,409.14,409.38,9539271
2022-03-02,409.38,426.95,409.38,424.5,11633209
2022-03-03,424.5,424.5,417.03,420.68,8490085
2022-03-04,420.68,423.14,416.95,420.91,8463560
2022-03-07,420.91,426.28,420.91,424.48,9886341
2022-03-08,424.48,430.14,424.48,428.6,7574763
2022-03-09,428.6,431.88,428.6,431.09,7726099
2022-03-10,431.09,431.09,419.59,420.95,6202455
2022-03-11,420.95,424.68,420.95,422.34,8737576
2022-03-14,422.34,428.04,422.34,424.39,10629034
2022-03-15,424.39,434.17,424.39,433.84,7979170
2022-03-16,433.84,440.76,433.84,440.12,6521373
2022-03-17,440.12,452.51,440.12,450.49,8550611
2022-03-18,450.49,450.49,441.94,441.99,10415807
2022-03-21,441.99,441.99,431.03,433.7,9352813
2022-03-22,433.7,437.66,433.7,436.52,21678249
2022-03-23,436.52,446.75,436.52,446.19,6834088
2022-03-24,446.19,446.19,440.19,444.55,8367562
2022-03-25,444.55,444.55,435.82,438.36,12136390
2022-03-28,438.36,438.36,424.36,425.18,6730285
2022-03-29,425.18,428.81,425.18,428.23,19216648
2022-03-30,428.23,428.33,423.95,427.38,8902533
2022-03-31,427.38,428.43,420.36,423.91,11122242
2022-04-01,423.91,432.78,423.91,431.41,8953951
2022-04-04,431.41,433.81,429.59,430.77,13355718
2022-04-05,430.77,431.07,430.04,430.86,5808670
2022-04-06,430.86,439.0,430.86,438.44,16663629
2022-04-07,438.44,459.49,438.44,457.33,9749119
2022-04-08,457.33,457.33,450.62,453.53,11563724
2022-04-11,453.53,453.53,443.18,446.05,6613673
2022-04-12,446.05,446.05,436.83,437.75,10169434
2022-04-13,437.75,443.63,437.68,441.85,6033295
2022-04-14,441.85,441.85,431.67,432.78,14221390
2022-04-15,432.78,432.78,428.96,429.77,5304556
2022-04-18,429.77,429.77,426.89,427.5,9451361
2022-04-19,427.5,440.58,427.5,440.53,7607381
2022-04-20,440.53,454.05,440.53,450.81,4756148
2022-04-21,450.81,450.81,435.34,437.79,6112561
2022-04-22,437.79,453.88,437.79,451.38,10636877
2022-04-25,451.38,451.38,440.56,441.06,6208172
2022-04-26,441.06,442.64,441.06,442.49,6799310
2022-04-27,442.49,442.49,433.66,435.55,10317353
2022-04-28,435.55,436.13,430.62,432.39,12812561
2022-04-29,432.39,432.39,424.36,424.42,11574449
2022-05-02,424.42,439.22,424.42,438.35,8722087
2022-05-03,438.35,439.05,435.14,437.25,9694367
2022-05-04,437.25,441.93,437.25,439.23,9318370
2022-05-05,439.23,439.23,429.23,430.37,5870542
2022-05-06,430.37,430.37,417.43,418.92,9936999
2022-05-09,418.92,418.92,412.94,415.44,5849672
2022-05-10,415.44,420.67,415.44,419.69,11361152
2022-05-11,419.69,419.69,418.51,418.79,9379661
2022-05-12,418.79,428.37,418.79,426.77,3738967
2022-05-13,426.77,429.24,426.77,427.86,13146246
2022-05-16,427.86,428.52,427.8,427.99,7211498
2022-05-17,427.99,438.11,427.99,432.48,6976642
2022-05-18,432.48,435.93,432.37,433.39,13024743
2022-05-19,433.39,443.24,433.39,441.39,8324347
2022-05-20,441.39,450.81,441.39,446.19,11284773
2022-05-23,446.19,455.22,446.19,454.13,6842459
2022-05-24,454.13,464.74,454.13,460.5,12255283
2022-05-25,460.5,473.18,460.5,472.75,9615434
2022-05-26,472.75,481.51,472.75,480.41,10448475
2022-05-27,480.41,497.97,480.41,496.88,8273684
2022-05-31,496.88,496.88,491.29,491.83,17054215
2022-06-01,491.83,501.51,491.83,499.86,18777638
2022-06-02,499.86,499.86,485.96,486.89,3680330
2022-06-03,486.89,496.51,486.89,495.9,12871708
2022-06-06,495.9,503.41,494.55,496.52,5769544
2022-06-07,496.52,507.9,496.52,505.61,10895612
2022-06-08,505.61,523.78,505.61,522.26,4364130
2022-06-09,522.26,533.62,522.26,530.44,10441463
2022-06-10,530.44,530.44,524.64,526.35,6359784
2022-06-13,526.35,526.35,513.97,515.57,7396160
2022-06-14,515.57,523.86,515.57,520.99,7475655
2022-06-15,520.99,520.99,518.05,518.24,6623799
2022-06-16,518.24,525.68,518.24,524.97,6696105
2022-06-17,524.97,524.97,513.42,519.98,7578261
2022-06-21,519.98,519.98,509.87,510.89,8355474
2022-06-22,510.89,510.89,508.26,508.62,10112195
2022-06-23,508.62,515.75,508.62,513.62,18704667
2022-06-24,513.62,517.24,513.62,514.91,6084466
2022-06-27,514.91,514.91,505.94,507.04,9348098
2022-06-28,507.04,527.48,507.04,524.94,12104174
2022-06-29,524.94,527.24,518.51,523.64,6692133
2022-06-30,523.64,523.64,498.32,501.51,3602332
2022-07-01,501.51,510.77,501.51,510.64,4140341
2022-07-05,510.64,513.19,509.65,510.63,3655721
2022-07-06,510.63,510.8,505.34,509.05,16453466
2022-07-07,509.05,509.05,504.18,507.29,11360603
2022-07-08,507.29,508.36,504.96,505.58,12023698
2022-07-11,505.58,522.77,505.58,522.12,13158299
2022-07-12,522.12,531.78,521.26,526.88,7058984
2022-07-13,526.88,530.92,526.88,529.62,22325004
2022-07-14,529.62,529.62,525.7,527.05,10162211
2022-07-15,527.05,547.03,527.05,544.91,8631173
2022-07-18,544.91,560.12,544.91,553.89,13852838
2022-07-19,553.89,565.16,553.89,564.59,11604690
2022-07-20,564.59,570.4,564.59,567.71,15157687
2022-07-21,567.71,580.37,567.71,578.81,15518342
2022-07-22,578.81,585.2,578.81,583.29,7715187
2022-07-25,583.29,585.23,576.21,579.26,9576377
2022-07-26,579.26,583.61,579.26,583.48,6176867
2022-07-27,583.48,608.46,583.48,607.53,4632870
2022-07-28,607.53,612.88,607.53,610.02,12418761
2022-07-29,610.02,627.16,610.02,625.17,13030643
2022-08-01,625.17,640.8,625.17,639.73,4021252
2022-08-02,639.73,649.54,639.73,646.79,6669909
2022-08-03,646.79,670.29,646.79,667.79,9087708
2022-08-04,667.79,667.79,637.95,640.65,9440836
2022-08-05,640.65,640.65,617.45,618.59,20135608
2022-08-08,618.59,641.59,618.59,639.55,6915146
2022-08-09,639.55,639.55,630.8,631.77,8297604
2022-08-10,631.77,634.05,631.77,633.24,11524006
2022-08-11,633.24,658.2,633.24,654.97,7724585
2022-08-12,654.97,660.04,654.88,657.6,7260865
2022-08-15,657.6,680.96,657.6,679.38,7026336
2022-08-16,679.38,679.38,674.05,674.46,9754039
2022-08-17,674.46,682.63,674.46,682.59,8283066
2022-08-18,682.59,683.89,678.1,683.48,11675369
2022-08-19,683.48,706.44,683.48,703.42,10251998
2022-08-22,703.42,703.42,697.19,700.03,2768577
2022-08-23,700.03,700.03,683.13,687.32,4410018
2022-08-24,687.32,687.32,675.53,681.31,7273112
2022-08-25,681.31,681.31,669.34,675.92,13150903
2022-08-26,675.92,675.92,667.37,667.71,6847051
2022-08-29,667.71,667.71,658.1,659.06,10322499
2022-08-30,659.06,679.71,659.06,673.51,11289665
2022-08-31,673.51,694.27,673.51,692.07,11029747
2022-09-01,692.07,700.37,692.07,697.41,7138621
2022-09-02,697.41,697.41,682.56,688.93,5613949
2022-09-06,688.93,688.93,678.13,681.38,5257205
2022-09-07,681.38,681.38,650.45,654.94,29161913
2022-09-08,654.94,664.93,654.94,659.85,10661722
2022-09-09,659.85,659.85,651.29,651.38,18554690
2022-09-12,651.38,670.82,651.38,670.14,6367744
2022-09-13,670.14,670.14,649.28,652.78,14640868
2022-09-14,652.78,652.78,644.77,645.52,7343129
2022-09-15,645.52,649.58,641.39,644.45,8783808
