date,open,high,low,close,volume
2022-01-03,328.64,336.66,328.64,335.43,4965511
2022-01-04,335.43,335.43,330.32,330.67,7312478
2022-01-05,330.67,339.51,330.67,338.46,5858050
2022-01-06,338.46,341.57,335.97,338.25,12180335
2022-01-07,338.25,344.2,338.25,343.97,10141351
2022-01-10,343.97,343.97,339.17,339.18,10146912
2022-01-11,339.18,339.18,324.39,326.93,13133996
2022-01-12,326.93,326.93,316.51,317.03,6385167
2022-01-13,317.03,333.69,317.03,332.62,9898715
2022-01-14,332.62,332.62,328.0,329.04,13634145
2022-01-18,329.04,336.73,329.04,336.13,6209156
2022-01-19,336.13,336.13,326.92,328.13,3946467
2022-01-20,328.13,331.78,328.13,329.42,6741027
2022-01-21,329.42,334.11,329.42,331.78,13027959
2022-01-24,331.78,351.6,331.78,350.31,6069410
2022-01-25,350.31,350.31,347.97,348.39,7377610
2022-01-26,348.39,348.39,342.29,343.9,6505262
2022-01-27,343.9,346.93,343.9,346.38,8234626
2022-01-28,346.38,346.38,339.25,340.54,5842089
2022-01-31,340.54,343.89,340.54,343.38,4909832
2022-02-01,343.38,344.89,338.54,343.21,7449528
2022-02-02,343.21,343.21,336.05,338.52,7975113
2022-02-03,338.52,342.09,338.52,341.89,13888789
2022-02-04,341.89,343.85,341.89,342.77,9124784
2022-02-07,342.77,349.21,342.77,347.94,5561141
2022-02-08,347.94,359.78,347.94,359.21,6631404
2022-02-09,359.21,359.21,355.19,355.99,11821105
2022-02-10,355.99,355.99,350.6,353.41,7500449
2022-02-11,353.41,353.41,342.27,344.69,5738780
2022-02-14,344.69,348.92,344.69,348.3,9183616
2022-02-15,348.3,348.3,343.77,344.24,6478792
2022-02-16,344.24,347.5,344.24,346.69,10759051
2022-02-17,346.69,355.93,346.69,354.63,10274610
2022-02-18,354.63,354.63,347.21,350.24,5615537
2022-02-22,350.24,350.24,346.88,347.29,18146484
2022-02-23,347.29,354.34,347.29,354.22,8459667
2022-02-24,354.22,360.06,354.22,359.2,3061727
2022-02-25,359.2,365.54,359.2,363.52,10347152
2022-02-28,363.52,363.52,358.47,361.02,3143008
2022-03-01,361.02,361.02,350.61,351.5,13469413
2022-03-02,351.5,351.5,343.71,346.97,9091268
2022-03-03,346.97,346.97,339.44,340.57,8381414
2022-03-04,340.57,345.46,340.57,344.53,8590264
2022-03-07,344.53,347.08,344.53,346.58,10861095
2022-03-08,346.58,346.58,342.17,342.85,7088171
2022-03-09,342.85,342.85,340.1,340.25,8555144
2022-03-10,340.25,344.54,340.25,343.52,9005528
2022-03-11,343.52,343.52,338.93,341.63,2713141
2022-03-14,341.63,341.63,336.96,338.06,10893983
2022-03-15,338.06,355.27,338.06,351.18,11654944
2022-03-16,351.18,351.18,347.63,347.72,10292975
2022-03-17,347.72,352.9,347.72,352.34,10005913
2022-03-18,352.34,357.08,352.34,355.16,16265890
2022-03-21,355.16,355.16,345.17,345.23,8439034
2022-03-22,345.23,345.23,340.53,340.99,8556035
2022-03-23,340.99,346.59,340.99,346.52,6616916
2022-03-24,346.52,349.59,345.66,345.84,3994803
2022-03-25,345.84,345.84,333.72,336.54,10315676
2022-03-28,336.54,340.25,336.54,339.24,6908922
2022-03-29,339.24,339.24,332.43,335.69,3977400
2022-03-30,335.69,338.78,335.69,338.66,8334588
2022-03-31,338.66,356.68,338.66,356.57,8241920
2022-04-01,356.57,361.25,356.57,359.35,7833601
2022-04-04,359.35,366.07,359.35,363.74,9068047
2022-04-05,363.74,365.73,360.57,362.19,4600213
2022-04-06,362.19,362.19,352.47,354.76,12773199
2022-04-07,354.76,364.49,354.76,361.91,10215460
2022-04-08,361.91,362.87,356.18,357.97,14120076
2022-04-11,357.97,360.77,355.33,356.6,6880206
2022-04-12,356.6,369.33,356.6,369.14,10201801
2022-04-13,369.14,371.3,364.89,366.98,4067502
2022-04-14,366.98,378.99,366.98,375.74,6154129
2022-04-15,375.74,380.17,375.74,378.71,4961117
2022-04-18,378.71,378.71,373.73,374.95,9529964
2022-04-19,374.95,377.89,374.91,377.59,5521862
2022-04-20,377.59,377.59,370.76,372.69,7210558
2022-04-21,372.69,381.11,372.69,379.34,8575480
2022-04-22,379.34,393.6,379.34,388.63,7297340
2022-04-25,388.63,389.78,388.59,389.2,5073482
2022-04-26,389.2,402.53,389.2,399.45,16592194
2022-04-27,399.45,402.32,399.45,400.88,8994806
2022-04-28,400.88,411.23,400.88,408.11,16651989
2022-04-29,408.11,434.73,408.11,431.84,5684639
2022-05-02,431.84,454.19,431.84,452.84,7390614
2022-05-03,452.84,452.84,450.66,451.51,8893511
2022-05-04,451.51,456.26,451.51,454.27,15855014
2022-05-05,454.27,454.27,440.95,445.52,16604979
2022-05-06,445.52,454.95,445.52,452.56,7220053
2022-05-09,452.56,457.56,451.42,456.15,6415173
2022-05-10,456.15,456.15,446.62,449.74,8570649
2022-05-11,449.74,461.35,449.74,460.23,13882794
2022-05-12,460.23,463.83,454.08,458.16,9068791
2022-05-13,458.16,458.16,452.76,453.89,9755271
2022-05-16,453.89,459.8,453.89,457.59,13831389
2022-05-17,457.59,458.06,451.14,453.81,12967122
2022-05-18,453.81,455.7,453.39,453.78,13169186
2022-05-19,453.78,470.6,453.78,469.31,11396500
2022-05-20,469.31,469.31,461.99,464.11,15261420
2022-05-23,464.11,471.29,464.11,470.35,5465577
2022-05-24,470.35,470.35,462.44,465.42,21849859
2022-05-25,465.42,465.42,455.31,457.14,13580475
2022-05-26,457.14,459.49,455.53,456.68,8334188
2022-05-27,456.68,482.28,456.68,480.79,13851248
2022-05-31,480.79,490.82,480.79,488.23,7733108
2022-06-01,488.23,494.33,488.23,492.79,10744775
2022-06-02,492.79,492.79,482.31,488.17,11260256
2022-06-03,488.17,488.17,484.83,484.88,12545350
2022-06-06,484.88,484.88,470.77,471.67,7393635
2022-06-07,471.67,489.74,471.67,488.27,12652348
2022-06-08,488.27,494.2,488.27,491.03,7446385
2022-06-09,491.03,494.18,491.03,492.99,11904053
2022-06-10,492.99,496.51,492.99,495.16,8822787
2022-06-13,495.16,517.13,495.16,515.46,4284078
2022-06-14,515.46,524.2,515.46,518.67,6617950
2022-06-15,518.67,518.67,514.27,517.06,12475147
2022-06-16,517.06,535.61,517.06,535.29,7869773
2022-06-17,535.29,535.88,534.05,534.26,14438649
2022-06-21,534.26,534.26,515.69,517.66,5469418
2022-06-22,517.66,517.66,502.31,503.15,11739327
2022-06-23,503.15,503.15,497.43,501.59,8718755
2022-06-24,501.59,505.74,501.1,504.64,8050831
2022-06-27,504.64,513.15,504.64,512.84,5546500
2022-06-28,512.84,512.84,502.1,504.25,9664869
2022-06-29,504.25,505.24,497.93,502.36,5935377
2022-06-30,502.36,502.36,492.35,494.97,6889958
2022-07-01,494.97,508.16,494.97,505.81,8399920
2022-07-05,505.81,520.82,505.81,518.54,7676773
2022-07-06,518.54,539.45,518.54,538.45,13404699
2022-07-07,538.45,543.43,538.45,542.34,3153232
2022-07-08,542.34,567.7,542.34,562.17,8274175
2022-07-11,562.17,562.17,552.69,555.12,7685827
2022-07-12,555.12,560.61,555.12,557.7,8855910
2022-07-13,557.7,557.7,546.49,546.88,7147620
2022-07-14,546.88,556.01,546.59,553.15,13383758
2022-07-15,553.15,557.39,553.15,556.44,8015717
2022-07-18,556.44,556.44,531.18,531.41,9371451
2022-07-19,531.41,543.29,531.41,543.01,12697330
2022-07-20,543.01,555.05,543.01,552.18,9072886
2022-07-21,552.18,552.18,544.71,546.68,5348443
2022-07-22,546.68,553.04,546.68,549.9,7492149
2022-07-25,549.9,549.9,531.73,534.82,8455715
2022-07-26,534.82,534.82,522.91,527.34,4599118
2022-07-27,527.34,547.15,527.34,544.59,6684328
2022-07-28,544.59,544.59,529.08,533.08,8646743
