signal_date,regime,fast_risk_score,slow_risk_score,risk_on_score,overshoot_score,fast_risk_lt_60_streak,risk_off_confirmed_streak,risk_off_release_streak
2024-06-14 00:00:00,CAUTION,36.0,45.5,36.2925,2.625,1,0,0
2024-01-02,CAUTION,43.0,31.5,39.255,0.0,2,0,0
2024-01-03,CAUTION,30.0,27.5,37.96,0.0,3,0,0
2024-01-04,CAUTION,30.0,34.0,39.54,0.0,4,0,0
2024-01-05,CAUTION,30.0,45.5,41.5525,10.0,5,0,0
2024-01-08,CAUTION,30.0,31.5,28.26,10.0,6,0,0
2024-01-09,CAUTION,30.0,27.5,47.3375,10.0,7,0,0
2024-01-10,CAUTION,36.0,36.5,39.705,10.0,8,0,0
2024-01-11,CAUTION,36.0,27.5,39.685,0.0,9,0,0
2024-01-12,CAUTION,39.0,31.5,46.145,3.5,10,0,0
2024-01-16,CAUTION,36.0,36.5,37.8425,0.0,11,0,0
2024-01-17,CAUTION,36.0,45.5,46.7325,4.55,12,0,0
2024-01-18,CAUTION,30.0,40.5,40.43,0.0,13,0,0
2024-01-19,CAUTION,36.0,27.5,40.035,0.0,14,0,0
2024-01-22,CAUTION,30.0,40.5,39.3575,0.0,15,0,0
2024-01-23,CAUTION,36.0,31.5,41.55,0.0,16,0,0
2024-01-24,CAUTION,36.0,27.5,39.315,0.0,17,0,0
2024-01-25,CAUTION,36.0,31.5,39.65,0.0,18,0,0
2024-01-26,CAUTION,36.0,27.5,38.71,0.0,19,0,0
2024-01-29,CAUTION,46.0,36.5,41.8725,0.0,20,0,0
2024-01-30,CAUTION,40.0,43.5,41.61,6.5,21,0,0
2024-01-31,CAUTION,46.0,27.5,38.945,0.0,22,0,0
2024-02-01,CAUTION,36.0,31.5,39.55,0.0,23,0,0
2024-02-02,CAUTION,45.0,45.5,39.3725,0.0,24,0,0
2024-02-05,CAUTION,48.0,36.5,39.0275,0.0,25,0,0
2024-02-06,CAUTION,45.0,49.5,49.6025,0.0,26,0,0
2024-02-07,CAUTION,45.0,44.0,31.1825,0.0,27,0,0
2024-02-08,CAUTION,48.0,60.0,38.89,0.0,28,0,0
2024-02-09,CAUTION,71.0,49.0,41.08,0.0,0,0,0
2024-02-12,CAUTION,49.0,47.0,39.9825,0.0,1,0,0
2024-02-13,CAUTION,45.0,60.0,40.7025,0.0,2,0,0
2024-02-14,CAUTION,55.0,44.0,33.917500000000004,0.0,3,0,0
2024-02-15,CAUTION,45.0,59.0,39.005,0.0,4,0,0
2024-02-16,CAUTION,39.0,50.0,39.2025,0.0,5,0,0
2024-02-20,CAUTION,36.0,64.0,38.445,0.0,6,0,0
2024-02-21,CAUTION,49.0,60.0,39.8175,0.0,7,0,0
2024-02-22,CAUTION,33.0,60.0,40.135,0.0,8,0,0
2024-02-23,CAUTION,33.0,78.0,25.6475,12.35,9,1,0
2024-02-26,CAUTION,30.0,64.0,38.4875,17.225,10,0,0
2024-02-27,CAUTION,30.0,67.0,37.445,12.35,11,0,0
2024-02-28,CAUTION,30.0,82.0,38.4075,5.8500000000000005,12,1,0
2024-02-29,CAUTION,30.0,64.0,40.55,5.8500000000000005,13,0,0
2024-03-01,CAUTION,30.0,60.0,38.4925,5.8500000000000005,14,0,0
2024-03-04,CAUTION,30.0,61.5,30.825000000000003,21.125,15,0,0
2024-03-05,CAUTION,30.0,32.5,38.05,14.625,16,0,0
2024-03-06,CAUTION,30.0,32.5,38.935,17.225,17,0,0
2024-03-07,CAUTION,30.0,45.5,40.9125,17.225,18,0,0
2024-03-08,CAUTION,33.0,41.5,37.9025,18.525,19,0,0
2024-03-11,CAUTION,43.0,47.0,37.4475,18.525,20,0,0
2024-03-12,CAUTION,30.0,44.0,41.505,29.25,21,0,0
2024-03-13,CAUTION,30.0,49.0,41.4425,18.525,22,0,0
2024-03-14,CAUTION,30.0,32.5,38.697500000000005,25.025,23,0,0
2024-03-15,CAUTION,30.0,41.5,41.0225,25.025,24,0,0
2024-03-18,CAUTION,30.0,45.5,39.725,3.9,25,0,0
2024-03-19,CAUTION,30.0,32.5,38.05,3.9,26,0,0
2024-03-20,CAUTION,30.0,32.5,40.9225,23.075,27,0,0
2024-03-21,CAUTION,30.0,51.5,40.13,7.9,28,0,0
2024-03-22,CAUTION,30.0,49.0,38.4875,6.5,29,0,0
2024-03-25,CAUTION,30.0,48.5,37.31,0.0,30,0,0
2024-03-26,CAUTION,30.0,36.5,38.9775,10.4,31,0,0
2024-03-27,CAUTION,30.0,68.0,40.915,3.9,32,0,0
2024-03-28,CAUTION,36.0,80.0,25.35,6.5,33,1,0
2024-03-29,CAUTION,36.0,53.0,39.56,2.6,34,0,0
